parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
tp,h0,prefill,overall,all,243,0.047005070555952454,0.03891340048167517,0.027639167386654572,0.022151973797889312,0.33187286591564547,0.16593643295782273,0.017553656839514164,0.025935345556405084,0.021302528004383273,phase33_blind
tp,h0,prefill,model,deepseek-v2-lite,81,0.047005070555952454,0.038913400481675145,0.027639167386654583,0.022151973797889326,0.3432865296823823,0.17164326484119116,0.01775143434575759,0.025612111297392937,0.021035052301565552,phase33_blind
tp,h0,prefill,model,qwen3-30b-a3b,81,0.047005070555952405,0.03891340048167514,0.0276391673866546,0.02215197379788932,0.3432865296823824,0.1716432648411912,0.017751434345757586,0.025612111297392947,0.021035052301565545,phase33_blind
tp,h0,prefill,model,qwen3-8b,81,0.04700507055595249,0.03891340048167522,0.027639167386654527,0.022151973797889295,0.3090455383821717,0.15452276919108585,0.017158101827027317,0.026581814074429368,0.021585160653280824,phase33_blind
tp,h0,prefill,policy,balanced,81,0.03690729069405552,0.039034712387494,0.027639167386654565,0.022151973797889305,0.27057360456053264,0.13528680228026632,0.013781075899812286,0.026141879611159425,0.021340258167382904,phase33_blind
tp,h0,prefill,policy,latency,81,0.026451975554698418,0.02717267651244984,0.027639167386654572,0.022151973797889312,0.3274241604778518,0.1637120802389259,0.017154165290661695,0.025006903475416415,0.020949922940336495,phase33_blind
tp,h0,prefill,policy,throughput,81,0.07765594541910342,0.08295203204732458,0.027639167386654572,0.022151973797889312,0.397620832708552,0.198810416354276,0.021725729328068516,0.026657253582639408,0.02162701150663772,phase33_blind
tp,h0,prefill,parallel_size,2,81,0.047005070555952454,0.038913400481675166,0.027639167386654572,0.022151973797889312,0.33187286591564547,0.16593643295782273,0.017553656839514167,0.025935345556405084,0.021302528004383273,phase33_blind
tp,h0,prefill,parallel_size,4,81,0.047005070555952454,0.038913400481675166,0.027639167386654572,0.022151973797889312,0.33187286591564547,0.16593643295782273,0.017553656839514167,0.025935345556405084,0.021302528004383273,phase33_blind
tp,h0,prefill,parallel_size,8,81,0.047005070555952454,0.038913400481675166,0.027639167386654572,0.022151973797889312,0.33187286591564547,0.16593643295782273,0.017553656839514167,0.025935345556405084,0.021302528004383273,phase33_blind
tp,h0,prefill,source,burstgpt,243,0.047005070555952454,0.03891340048167517,0.027639167386654572,0.022151973797889312,0.33187286591564547,0.16593643295782273,0.017553656839514164,0.025935345556405084,0.021302528004383273,phase33_blind
tp,h0,decode,overall,all,243,0.11341631935883957,0.0884960324838926,0.017261587053530685,0.012918159823907982,0.29589077959645077,0.14794538979822539,0.01365962568248426,0.10723759541760212,0.08333121382074087,phase33_blind
tp,h0,decode,model,deepseek-v2-lite,81,0.11341631935883957,0.08849603248389261,0.017261587053530685,0.012918159823907982,0.2383019940328698,0.1191509970164349,0.010553735643118727,0.10864108431032633,0.08454507930548823,phase33_blind
tp,h0,decode,model,qwen3-30b-a3b,81,0.11341631935883957,0.08849603248389261,0.017261587053530685,0.012918159823907984,0.2383019940328698,0.1191509970164349,0.01055373564311872,0.10864108431032635,0.08454507930548823,phase33_blind
tp,h0,decode,model,qwen3-8b,81,0.11341631935883954,0.0884960324838926,0.017261587053530678,0.012918159823907982,0.41106835072361264,0.20553417536180632,0.019871405761215332,0.10443061763215367,0.08090227862518136,phase33_blind
tp,h0,decode,policy,balanced,81,0.11055000236608992,0.08802282274370717,0.017261587053530685,0.012918159823907979,0.26280667677313985,0.13140333838656992,0.01287870922305346,0.10592595362982542,0.08216027456579209,phase33_blind
tp,h0,decode,policy,latency,81,0.11394549400621633,0.07911772515879494,0.01726158705353067,0.012918159823907977,0.26779038339835,0.133895191699175,0.012169439078159185,0.11112764164984552,0.07620778853094148,phase33_blind
tp,h0,decode,policy,throughput,81,0.11575346170421248,0.12070056237495279,0.017261587053530692,0.01291815982390799,0.3570752786178625,0.17853763930893124,0.015930728746240134,0.10465919097313542,0.10742790650972912,phase33_blind
tp,h0,decode,parallel_size,2,81,0.11341631935883957,0.0884960324838926,0.01726158705353068,0.012918159823907982,0.29589077959645077,0.14794538979822539,0.01365962568248426,0.10723759541760212,0.08333121382074087,phase33_blind
tp,h0,decode,parallel_size,4,81,0.11341631935883957,0.0884960324838926,0.01726158705353068,0.012918159823907982,0.29589077959645077,0.14794538979822539,0.01365962568248426,0.10723759541760212,0.08333121382074087,phase33_blind
tp,h0,decode,parallel_size,8,81,0.11341631935883957,0.0884960324838926,0.01726158705353068,0.012918159823907982,0.29589077959645077,0.14794538979822539,0.01365962568248426,0.10723759541760212,0.08333121382074087,phase33_blind
tp,h0,decode,source,burstgpt,243,0.11341631935883957,0.0884960324838926,0.017261587053530685,0.012918159823907982,0.29589077959645077,0.14794538979822539,0.01365962568248426,0.10723759541760212,0.08333121382074087,phase33_blind
tp,h0,total,overall,all,243,0.11215477013287978,0.08798800975612782,0.024367824052974718,0.01974637633153567,0.2968740436565189,0.14843702182825946,0.01449070473733188,0.0718261731652772,0.057464248763666514,phase33_blind
tp,h0,total,model,deepseek-v2-lite,81,0.11215477013287979,0.08798800975612783,0.024367824052974715,0.01974637633153566,0.24104151988190115,0.12052075994095057,0.011429290204067862,0.0777602289211424,0.06288981163959814,phase33_blind
tp,h0,total,model,qwen3-30b-a3b,81,0.11215477013287979,0.0879880097561278,0.024367824052974756,0.019746376331535687,0.24104151988190115,0.12052075994095057,0.011429290204067868,0.07776022892114239,0.0628898116395981,phase33_blind
tp,h0,total,model,qwen3-8b,81,0.11215477013287976,0.08798800975612782,0.02436782405297468,0.019746376331535663,0.40853909120575455,0.20426954560287727,0.020613533803859913,0.05995806165354685,0.048554186054874895,phase33_blind
tp,h0,total,policy,balanced,81,0.10932229111469277,0.08752238189108057,0.024367824052974715,0.019746376331535666,0.2640049131381147,0.13200245656905735,0.013738175576735836,0.07087316303997747,0.053516219430967196,phase33_blind
tp,h0,total,policy,latency,81,0.1119112784850431,0.07858435404717085,0.0243678240529747,0.019746376331535642,0.26905472358505533,0.13452736179252767,0.013418082033309471,0.08300363119234037,0.058897572015952825,phase33_blind
tp,h0,total,policy,throughput,81,0.11523074079890346,0.12030058307206791,0.02436782405297474,0.019746376331535708,0.35756249424638675,0.17878124712319338,0.016315856601950333,0.0616017252635138,0.05982958428477787,phase33_blind
tp,h0,total,parallel_size,2,81,0.11215477013287979,0.08798800975612782,0.024367824052974718,0.019746376331535673,0.2968740436565189,0.14843702182825946,0.014490704737331881,0.07182617316527722,0.05746424876366652,phase33_blind
tp,h0,total,parallel_size,4,81,0.11215477013287979,0.08798800975612782,0.024367824052974718,0.019746376331535673,0.2968740436565189,0.14843702182825946,0.014490704737331881,0.07182617316527722,0.05746424876366652,phase33_blind
tp,h0,total,parallel_size,8,81,0.11215477013287979,0.08798800975612782,0.024367824052974718,0.019746376331535673,0.2968740436565189,0.14843702182825946,0.014490704737331881,0.07182617316527722,0.05746424876366652,phase33_blind
tp,h0,total,source,burstgpt,243,0.11215477013287978,0.08798800975612782,0.024367824052974718,0.01974637633153567,0.2968740436565189,0.14843702182825946,0.01449070473733188,0.0718261731652772,0.057464248763666514,phase33_blind
tp,h0_plus_dnn_residual,prefill,overall,all,243,0.03572290802619534,0.029343157546969194,1.2153503000779324e-16,1.1385703560801275e-16,0.3278141079885934,0.1639070539942967,0.017682786978747065,0.0008795233695080614,0.0006576897120617538,phase33_blind
tp,h0_plus_dnn_residual,prefill,model,deepseek-v2-lite,81,0.03567292569021106,0.029127284301851585,1.1000522534020028e-16,1.0281635336723576e-16,0.336605273496813,0.1683026367484065,0.017843927290588917,0.0010477573163516604,0.0008584226679131645,phase33_blind
tp,h0_plus_dnn_residual,prefill,model,qwen3-30b-a3b,81,0.03576437620565669,0.029306941306941624,1.2111992193384424e-16,1.0726819547179648e-16,0.33636230603745904,0.16818115301872952,0.01781094372919963,0.0010522931579297476,0.0008637174164390125,phase33_blind
tp,h0_plus_dnn_residual,prefill,model,qwen3-8b,81,0.035731422182718284,0.029553924721820477,1.3347994274933515e-16,1.223937138029149e-16,0.31047474443150813,0.15523737221575407,0.017393489916452648,0.0005385196342427766,0.00044201154090358106,phase33_blind
tp,h0_plus_dnn_residual,prefill,policy,balanced,81,0.04298351450666343,0.04425417794909114,1.3107617525051794e-16,1.25242739168814e-16,0.2755468900613604,0.1377734450306802,0.014116491969783738,0.0011379247926744662,0.0008530378110408026,phase33_blind
tp,h0_plus_dnn_residual,prefill,policy,latency,81,0.016251203025730604,0.016133452640844672,1.3845164994127388e-16,1.4118272415393582e-16,0.3241390321330985,0.16206951606654926,0.017679707868751535,0.0010326644096136002,0.0006030479585522837,phase33_blind
tp,h0_plus_dnn_residual,prefill,policy,throughput,81,0.047934006546191996,0.050693202360605254,9.507726483158787e-17,7.514564350128841e-17,0.38375640177132125,0.19187820088566063,0.021252161097705922,0.0004679809062361181,0.0005167173327026088,phase33_blind
tp,h0_plus_dnn_residual,prefill,parallel_size,2,81,0.035722910522258566,0.029343161101390795,1.2153503000779324e-16,1.1385703560801275e-16,0.32784498008217045,0.16392249004108522,0.0176800336022196,0.0008795235291975661,0.0006576897917296133,phase33_blind
tp,h0_plus_dnn_residual,prefill,parallel_size,4,81,0.035722910312772714,0.029343159273408283,1.2153503000779324e-16,1.1385703560801275e-16,0.32780530673224717,0.16390265336612359,0.017682506079464665,0.0008795234001536687,0.0006576897507576965,phase33_blind
tp,h0_plus_dnn_residual,prefill,parallel_size,8,81,0.03572290324355475,0.029343152266108504,1.2153503000779324e-16,1.1385703560801275e-16,0.32779203715136257,0.16389601857568128,0.017685821254556932,0.0008795231791729497,0.0006576895936979516,phase33_blind
tp,h0_plus_dnn_residual,prefill,source,burstgpt,243,0.03572290802619534,0.029343157546969194,1.2153503000779324e-16,1.1385703560801275e-16,0.3278141079885934,0.1639070539942967,0.017682786978747065,0.0008795233695080614,0.0006576897120617538,phase33_blind
tp,h0_plus_dnn_residual,decode,overall,all,243,0.07056010551273265,0.043348003560326025,9.061065250594365e-17,8.075716914900184e-17,0.23552457701201485,0.11776228850600742,0.01081498190946281,0.06755392699424281,0.04104851384125485,phase33_blind
tp,h0_plus_dnn_residual,decode,model,deepseek-v2-lite,81,0.07039704630000074,0.04346671868557852,9.236658922176588e-17,1.0740036082196178e-16,0.1708480948543183,0.08542404742715914,0.007644799921425921,0.0680840068559818,0.0417028508810275,phase33_blind
tp,h0_plus_dnn_residual,decode,model,qwen3-30b-a3b,81,0.07069644643529115,0.04331315657288339,7.949112702826835e-17,5.751393892814104e-17,0.16881568233289546,0.08440784116644773,0.007555136141131486,0.06838134043503973,0.04155552027774403,phase33_blind
tp,h0_plus_dnn_residual,decode,model,qwen3-8b,81,0.07058682380290607,0.0433048641889979,9.997424126779669e-17,8.616277044633539e-17,0.36690995384883074,0.18345497692441537,0.017245009665831024,0.06619643369170691,0.03992732426962959,phase33_blind
tp,h0_plus_dnn_residual,decode,policy,balanced,81,0.06899904712245358,0.0470949260033656,1.0590142065350873e-16,8.919996410548839e-17,0.1895006678631697,0.09475033393158484,0.009173940381964563,0.06664192712795877,0.0442476500677398,phase33_blind
