parallelism,model,rows,max_relative_error,mean_relative_error
pp,deepseek-v2-lite,1692,9.689492796345162e-16,8.545554456475413e-17
pp,llama-3.2-3b-instruct,1692,7.333295525993085e-16,9.592924884129027e-17
pp,mixtral-8x7b-instruct-v0.1,1692,9.495171314582782e-16,8.189840555956236e-17
pp,qwen2.5-14b-instruct,1692,7.333295525993084e-16,8.894346287898759e-17
pp,qwen3-30b-a3b,1692,9.689492796345162e-16,8.545554456475413e-17
pp,qwen3-8b,1692,9.495171314582782e-16,8.189840555956236e-17
tp,deepseek-v2-lite,1692,1.066661167417174e-15,9.096490779007738e-17
tp,llama-3.2-3b-instruct,1692,6.758679903054528e-16,9.223544291599399e-17
tp,mixtral-8x7b-instruct-v0.1,1692,8.142370691827104e-16,8.605219471960733e-17
tp,qwen2.5-14b-instruct,1692,5.806155632951225e-16,9.813792479241067e-17
tp,qwen3-30b-a3b,1692,1.2246232631030952e-15,8.32025950492508e-17
tp,qwen3-8b,1692,6.429190598130924e-16,9.052916671942571e-17
