parallelism,rank,candidate_id,seed,path,sha256,bytes,direction_path
tp,1,tp34_c13_lowdim_cost_protected_gate_shared_lr0.001_w32,20260813,checkpoints/tp_top1_seed20260813.pt,5ee44a0d49ef181e3981dd7143a56d5418e67011139c9b8076184b2d94a48775,336007,tp/checkpoints/tp_top1_seed20260813.pt
tp,1,tp34_c13_lowdim_cost_protected_gate_shared_lr0.001_w32,20260914,checkpoints/tp_top1_seed20260914.pt,515cd5d850a5ec5832e7dc176443fd0aa51f05e0ee07e9132344555b69eef99c,336007,tp/checkpoints/tp_top1_seed20260914.pt
tp,1,tp34_c13_lowdim_cost_protected_gate_shared_lr0.001_w32,20261015,checkpoints/tp_top1_seed20261015.pt,b79961648402cc061ee8522cf7880d20fb5a731276fa0ee172515747e2a10f46,336007,tp/checkpoints/tp_top1_seed20261015.pt
tp,2,tp34_c17_lowdim_cost_protected_gate_model_policy_lr0.001_w32,20260813,checkpoints/tp_top2_seed20260813.pt,3f980ca1d39b3004cd6338d30d6bffbbe4d3a19af4b21fa664f2ee56daa07695,674965,tp/checkpoints/tp_top2_seed20260813.pt
tp,2,tp34_c17_lowdim_cost_protected_gate_model_policy_lr0.001_w32,20260914,checkpoints/tp_top2_seed20260914.pt,c1f5fb3a3ef6660d2bdf0a054e880af9457eb6f3c12c97c3e13d01104c0070db,674965,tp/checkpoints/tp_top2_seed20260914.pt
tp,2,tp34_c17_lowdim_cost_protected_gate_model_policy_lr0.001_w32,20261015,checkpoints/tp_top2_seed20261015.pt,a2dfda5dd992eed341cb5eeece2b1e744171e8d04296b4f11ca0cf4281fe2e3b,674965,tp/checkpoints/tp_top2_seed20261015.pt
tp,3,tp34_c15_lowdim_cost_protected_gate_policy_lr0.001_w32,20260813,checkpoints/tp_top3_seed20260813.pt,d13f67f5885c7040193e7e7e47e9c35800a71eaa9dbae0d5941275b99b8b9f7f,375523,tp/checkpoints/tp_top3_seed20260813.pt
tp,3,tp34_c15_lowdim_cost_protected_gate_policy_lr0.001_w32,20260914,checkpoints/tp_top3_seed20260914.pt,3c6595ec80ac52df076bd9f974a77c46f946d7a99e1c4a1c63d1dccc1a8fdd91,375523,tp/checkpoints/tp_top3_seed20260914.pt
tp,3,tp34_c15_lowdim_cost_protected_gate_policy_lr0.001_w32,20261015,checkpoints/tp_top3_seed20261015.pt,8c75b7ffbabc7732645363c5dcc9866f7aba8354f8511eba214093398d0c950e,375523,tp/checkpoints/tp_top3_seed20261015.pt
pp,1,pp34_c03_pp_split_retrain_policy_lr0.001_w64,20260813,checkpoints/pp_top1_seed20260813.pt,900e55d68322037295a72889ee1cce5e1588ae6cce38513e8d77580536877abe,707911,pp/checkpoints/pp_top1_seed20260813.pt
pp,1,pp34_c03_pp_split_retrain_policy_lr0.001_w64,20260914,checkpoints/pp_top1_seed20260914.pt,326e5ca8ac7eeaf4987b688b8c4eba229743c67c529611a5dee837e813298c43,707911,pp/checkpoints/pp_top1_seed20260914.pt
pp,1,pp34_c03_pp_split_retrain_policy_lr0.001_w64,20261015,checkpoints/pp_top1_seed20261015.pt,7f40def8e9508cacde9de6564873dd8d50ff3ce0b5cc5993e68d0d7df878b43b,707911,pp/checkpoints/pp_top1_seed20261015.pt
pp,2,pp34_c04_pp_split_retrain_policy_lr0.003_w64,20260813,checkpoints/pp_top2_seed20260813.pt,cba1bdf108c86ca3eb39f448a31189c7917b80ef33610e699e46cb8b9ee0bc83,707911,pp/checkpoints/pp_top2_seed20260813.pt
pp,2,pp34_c04_pp_split_retrain_policy_lr0.003_w64,20260914,checkpoints/pp_top2_seed20260914.pt,8495e5bf971cd0f19c53fc2c54d94682289d68a4d6477b4042ee7ebe4edf6748,707911,pp/checkpoints/pp_top2_seed20260914.pt
pp,2,pp34_c04_pp_split_retrain_policy_lr0.003_w64,20261015,checkpoints/pp_top2_seed20261015.pt,11804ba6b10276aec62836fe8c78066efa54b37818dde591f1db3d41289eae7c,707911,pp/checkpoints/pp_top2_seed20261015.pt
pp,3,pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,20260813,checkpoints/pp_top3_seed20260813.pt,0fe6ed218cb7cea8d818b2414f7990190f1b192493179018c4f5e2ee6a48acfe,747555,pp/checkpoints/pp_top3_seed20260813.pt
pp,3,pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,20260914,checkpoints/pp_top3_seed20260914.pt,aa317620e7aebbfff3e98498971ed2ffff62d9fb776073aa68f75d9d3fd75215,747555,pp/checkpoints/pp_top3_seed20260914.pt
pp,3,pp34_c08_pp_calls_shape_gate_policy_lr0.003_w64,20261015,checkpoints/pp_top3_seed20261015.pt,c9a2c72219d8d53ba0cbe1056475fe3ffdd5e33d78f88bc348c2b514cb581bc9,747555,pp/checkpoints/pp_top3_seed20261015.pt
