candidate_id,family,head_mode,gate_mode,engineered,calls_only,learning_rate,width,weight_decay,calls_weight,shape_weight,wape_weight,mape_weight,tv_weight,emd_weight,cost_weight,mb16_weight,screen_seed,alpha,score,calls_wape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_wape,mb16_calls_mape
tp34_c01_split_total_shape_shared_lr0.001_w64,split_total_shape,shared,none,True,True,0.001,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,1.0,20260850,0.75,3.6891645738075303,0.08783625028672812,1.3770008371778875e-16,0.191679144784819,0.022766481760824,0.04708735382915937,
tp34_c02_split_total_shape_shared_lr0.003_w64,split_total_shape,shared,none,True,True,0.003,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,1.0,20260887,0.75,3.61407325037384,0.08432951370862896,1.3770008371778875e-16,0.19222590183256166,0.022637485792743068,0.045207458620750644,
tp34_c03_split_total_shape_policy_lr0.001_w64,split_total_shape,policy,none,True,True,0.001,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,1.0,20260924,1.0,3.6650611418782937,0.08527621598914181,1.3770008371778875e-16,0.19463394071848483,0.023120748048692484,0.04571496782233726,
tp34_c04_split_total_shape_policy_lr0.003_w64,split_total_shape,policy,none,True,True,0.003,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,1.0,20260961,0.75,3.6074871594147004,0.08321052176670951,1.3770008371778875e-16,0.19345526318175094,0.022898846552144407,0.04460758818765337,
tp34_c05_split_total_shape_model_lr0.001_w64,split_total_shape,model,none,True,True,0.001,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,1.0,20260998,0.75,3.7036545001687986,0.08745936224969071,1.3770008371778875e-16,0.1935879943356036,0.02308536701233668,0.04688531127501998,
tp34_c06_split_total_shape_model_lr0.003_w64,split_total_shape,model,none,True,True,0.003,64,0.0003,7.0,2.0,3.0,0.25,2.0,1.0,3.0,1.0,20261035,0.75,3.550286103263462,0.0826161937925563,1.3770008371778875e-16,0.189473815990115,0.022274387038454992,0.044288980192455876,
tp34_c07_shared_trunk_small_heads_shared_lr0.001_w64,shared_trunk_small_heads,shared,sample,True,True,0.001,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,1.0,20261072,1.0,3.582332176504396,0.08106997966453713,1.3770008371778875e-16,0.19631705072572678,0.02302113614619301,0.04346008401913318,
tp34_c08_shared_trunk_small_heads_shared_lr0.003_w64,shared_trunk_small_heads,shared,sample,True,True,0.003,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,1.0,20261109,1.0,3.616176148777269,0.08393177521919225,1.3770008371778875e-16,0.1937090437477925,0.022710710179601135,0.0449942385331166,
tp34_c09_shared_trunk_small_heads_policy_lr0.001_w64,shared_trunk_small_heads,policy,sample,True,True,0.001,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,1.0,20261146,1.0,3.5413832874061053,0.08206546374158158,1.3770008371778875e-16,0.18953107243226053,0.022329960085749077,0.04399374421995086,
tp34_c10_shared_trunk_small_heads_policy_lr0.003_w64,shared_trunk_small_heads,policy,sample,True,True,0.003,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,1.0,20261183,1.0,3.5822688497503927,0.08007413914503307,1.3770008371778875e-16,0.1974890477083041,0.023388939125838847,0.04292623273624905,
tp34_c11_shared_trunk_small_heads_model_policy_lr0.001_w64,shared_trunk_small_heads,model_policy,sample,True,True,0.001,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,1.0,20261220,1.0,3.5340083771434085,0.08202181710741267,1.3770008371778875e-16,0.18928634904844444,0.02219878847856783,0.04397034608421698,
tp34_c12_shared_trunk_small_heads_model_policy_lr0.003_w64,shared_trunk_small_heads,model_policy,sample,True,True,0.003,64,0.0007,9.0,2.0,4.0,0.5,2.0,1.0,4.0,1.0,20261257,1.0,3.585594423269486,0.08096416309740243,1.3770008371778875e-16,0.19691628624108973,0.02308260514863118,0.04340335775723796,
