parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
tp,h0,prefill,overall,all,648,0.04784242020505388,0.0425892867818441,0.042111733644950036,0.03683166391726247,0.3855981708785167,0.19279908543925836,0.01911097643810132,0.04152798289480007,0.036707809607873704,phase34_blind_six_model
tp,h0,prefill,model,deepseek-v2-lite,108,0.0478424202050538,0.04258928678184396,0.04211173364495003,0.03683166391726247,0.43682865882572797,0.21841432941286398,0.021264459435624508,0.0412626743246566,0.03662266129952936,phase34_blind_six_model
tp,h0,prefill,model,llama-3.2-3b-instruct,108,0.04784242020505374,0.042589286781843934,0.04211173364495004,0.03683166391726247,0.41042299814644523,0.20521149907322261,0.0206584862556173,0.04153436148969204,0.03669131589151167,phase34_blind_six_model
tp,h0,prefill,model,mixtral-8x7b-instruct-v0.1,108,0.04784242020505393,0.042589286781844087,0.042111733644950036,0.03683166391726248,0.3055606666441576,0.1527803333220788,0.01530277274543165,0.04167428776888088,0.036726018885369874,phase34_blind_six_model
tp,h0,prefill,model,qwen2.5-14b-instruct,108,0.04784242020505397,0.042589286781844184,0.04211173364495004,0.036831663917262454,0.418387376184884,0.209193688092442,0.020872908010878318,0.04175961169203339,0.03674696248741865,phase34_blind_six_model
tp,h0,prefill,model,qwen3-30b-a3b,108,0.047842420205053936,0.04258928678184416,0.04211173364495003,0.03683166391726243,0.436828658825728,0.218414329412864,0.02126445943562451,0.041262674324656606,0.036622661299529326,phase34_blind_six_model
tp,h0,prefill,model,qwen3-8b,108,0.04784242020505392,0.042589286781844156,0.042111733644950036,0.03683166391726248,0.30556066664415765,0.15278033332207883,0.015302772745431651,0.041674287768880935,0.03672601888536992,phase34_blind_six_model
tp,h0,prefill,policy,balanced,216,0.030504926208051453,0.031764347681514885,0.04211173364495005,0.03683166391726247,0.40244026806526806,0.20122013403263403,0.017834603989117886,0.04153688563677285,0.03655259490120862,phase34_blind_six_model
tp,h0,prefill,policy,latency,216,0.030644848611655548,0.03561181553579124,0.042111733644950036,0.03683166391726247,0.3391681179532345,0.16958405897661724,0.01617797359885847,0.041138159102267494,0.03677430750484466,phase34_blind_six_model
tp,h0,prefill,policy,throughput,216,0.08237748579545465,0.090525394627404,0.042111733644950015,0.036831663917262454,0.4151861266170477,0.20759306330852384,0.023320351726327612,0.04190890394535988,0.036796185078907105,phase34_blind_six_model
tp,h0,prefill,parallel_size,2,216,0.04784242020505388,0.04258928678184409,0.042111733644950036,0.03683166391726247,0.3855981708785168,0.1927990854392584,0.01911097643810132,0.04152798289480008,0.036707809607873704,phase34_blind_six_model
tp,h0,prefill,parallel_size,4,216,0.04784242020505388,0.04258928678184409,0.042111733644950036,0.03683166391726247,0.3855981708785168,0.1927990854392584,0.01911097643810132,0.04152798289480008,0.036707809607873704,phase34_blind_six_model
tp,h0,prefill,parallel_size,8,216,0.04784242020505388,0.04258928678184409,0.042111733644950036,0.03683166391726247,0.3855981708785168,0.1927990854392584,0.01911097643810132,0.04152798289480008,0.036707809607873704,phase34_blind_six_model
tp,h0,prefill,source,burstgpt,648,0.04784242020505388,0.0425892867818441,0.042111733644950036,0.03683166391726247,0.3855981708785167,0.19279908543925836,0.01911097643810132,0.04152798289480007,0.036707809607873704,phase34_blind_six_model
tp,h0,decode,overall,all,648,0.16638814200714125,0.1342997488232224,0.03393369176868638,0.017940966035344803,0.4036226039436132,0.2018113019718066,0.020342657089123566,0.1571909389896107,0.12683198726591,phase34_blind_six_model
tp,h0,decode,model,deepseek-v2-lite,108,0.16638814200714122,0.13429974882322243,0.03393369176868638,0.017940966035344796,0.34312235144680586,0.17156117572340293,0.016192171152248486,0.16062068225409962,0.1298041645569571,phase34_blind_six_model
tp,h0,decode,model,llama-3.2-3b-instruct,108,0.16638814200714125,0.1342997488232224,0.03393369176868639,0.017940966035344813,0.4158068860339475,0.20790344301697375,0.019981800743764405,0.15796652671671793,0.12767434674094366,phase34_blind_six_model
tp,h0,decode,model,mixtral-8x7b-instruct-v0.1,108,0.16638814200714125,0.1342997488232224,0.03393369176868637,0.017940966035344792,0.4459675455463627,0.22298377277318135,0.023015772616374462,0.15544575388495036,0.12561776925699134,phase34_blind_six_model
