parallelism,placement_id,topology,curve_kind,phase,slice_type,slice_value,cases,cost_mape,cost_wape,signed_bias,evidence_set
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,model,deepseek-v2-lite,108,0.18764055617488337,0.04699548442496603,0.015115303361388494,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,model,llama-3.2-3b-instruct,108,0.1867722211176378,0.04716900315026227,0.015937316396230198,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,model,mixtral-8x7b-instruct-v0.1,108,0.18568930354996777,0.047305322475227736,0.01643358942953104,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen2.5-14b-instruct,108,0.18455647124722305,0.047439195439689115,0.01688740815720432,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen3-30b-a3b,108,0.18764239586619594,0.046995641995075936,0.015115729250672604,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen3-8b,108,0.18568819022693958,0.047305398395438014,0.016433807995298012,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,overall,all,648,0.18633152303047457,0.04720204189511391,0.015988681643881678,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb1,216,0.03395435771617836,0.0238318833190078,0.0012122246931847195,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb16,216,0.43003239583427444,0.23258791095625556,0.1614194847136592,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb4,216,0.09500781554097089,0.060317692612585926,0.013476763718031843,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,deepseek-v2-lite,108,0.04272565056461891,0.025809175217439338,-0.018233025733559453,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,llama-3.2-3b-instruct,108,0.030939652408874144,0.01770570814728277,-0.01287042474801912,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,mixtral-8x7b-instruct-v0.1,108,0.02447464084652385,0.013580824147676609,-0.00977194366239968,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen2.5-14b-instruct,108,0.02024591124822239,0.01099855126836041,-0.0075223594604855335,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen3-30b-a3b,108,0.04270951791006983,0.025796702532150367,-0.018252619717010882,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen3-8b,108,0.024483920870012048,0.013582726663773973,-0.009764265100275591,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,overall,all,648,0.030929882308053526,0.016200797920165034,-0.011511430884697079,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb1,216,0.0025369360325386285,0.002303278609892864,-0.002145666448256254,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb16,216,0.04647614753882564,0.022744718674759794,-0.018306949320775444,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb4,216,0.043776563352796324,0.024300427859163982,-0.014688821578007966,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,total,model,deepseek-v2-lite,108,0.10371729630529077,0.04146106566380663,0.011847483745548223,phase34_open_target_repeated_engineering
