field,max_difference,kind
predicted_calls_by_12bin_json_absolute,0.0,absolute
predicted_calls_by_12bin_json_relative,0.0,relative
predicted_common_reference_cost_us_per_1000_absolute,0.0,absolute
predicted_common_reference_cost_us_per_1000_relative,0.0,relative
predicted_logical_bytes_by_12bin_json_absolute,0.0,absolute
predicted_logical_bytes_by_12bin_json_relative,0.0,relative
predicted_total_calls_per_1000_absolute,0.0,absolute
predicted_total_calls_per_1000_relative,0.0,relative
predicted_total_logical_bytes_per_1000_absolute,0.0,absolute
predicted_total_logical_bytes_per_1000_relative,0.0,relative
