profile_id,split_role,source,request_count,h0_total_calls_per_1000,target_total_calls_per_1000,calls_12bin_l1,h0_total_logical_bytes_per_1000,target_total_logical_bytes_per_1000,logical_bytes_12bin_l1
phase31_burstgpt_1_005,development_train,burstgpt,2959,1031.25,1033.1192970597933,39.67767826966162,27555840000.0,25350771065.900616,10549467057.78977
phase31_burstgpt_1_013,development_validation,burstgpt,2380,1000.0,1007.1428571428402,27.31092436976486,9142272000.0,10684612194.957954,1542340194.957955
phase31_burstgpt_1_008,development_train,burstgpt,144,1593.75,1604.1666666666686,163.19444444444477,369543168000.0,373579776000.0,21568512000.0
phase31_burstgpt_1_007,development_train,burstgpt,124,1437.5,1467.7419354838717,250.00000000000085,282313728000.0,292547947354.8386,38974166709.67733
phase31_burstgpt_1_010,development_train,burstgpt,68,1218.75,1191.1764705882365,86.39705882353056,132710400000.0,132662693647.05876,2866718117.647003
phase31_burstgpt_1_003,development_train,burstgpt,122,1093.75,1098.3606557377054,978.9959016393447,66650112000.0,66659781245.901634,9634345967.21311
phase31_burstgpt_1_012,development_train,burstgpt,91,1187.5,1197.8021978021989,109.89010989010896,127420416000.0,122328525362.63736,7040416351.648359
phase31_burstgpt_1_015,development_validation,burstgpt,64,1187.5,1203.125,171.875,119089152000.0,123139584000.0,19012608000.0
phase31_burstgpt_1_014,development_validation,burstgpt,144,1031.25,1048.6111111111122,156.2500000000012,30237696000.0,32839680000.0,18566144000.0
phase31_burstgpt_1_002,development_train,burstgpt,83,1125.0,1144.5783132530128,185.24096385542177,90141696000.0,94565487036.14459,25052974265.060223
phase31_burstgpt_1_001,development_train,burstgpt,67,1093.75,1089.5522388059705,256.9962686567168,61641216000.0,64352439402.98508,6400924656.716423
phase31_burstgpt_1_006,development_train,burstgpt,32,1250.0,1250.0,250.0,167132160000.0,167192064000.0,70092288000.0
phase31_burstgpt_1_011,development_train,burstgpt,121,1125.0,1107.438016528925,692.6652892561982,78124032000.0,72204694214.87604,26535682115.702496
phase31_burstgpt_1_009,development_train,burstgpt,292,1062.5,1071.9178082191756,196.0616438356188,47623680000.0,47278837479.45206,6369329095.890407
phase31_burstgpt_1_004,development_train,burstgpt,509,1031.25,1049.1159135559851,57.15864440079286,32260608000.0,34446185115.91371,2686319151.2771688
phase31_burstgpt_2_028,development_train,burstgpt,139,1031.25,1071.9424460431644,64.07374100719538,53936640000.0,48968122014.3885,8946912690.647482
phase31_burstgpt_2_025,development_train,burstgpt,292,1031.25,1044.5205479452015,80.90753424657923,32311296000.0,31203103561.643883,3909982684.9314594
phase31_burstgpt_2_022,development_train,burstgpt,382,1062.5,1068.0628272251336,68.06282722512823,47849472000.0,45924051769.6335,5098619308.900532
phase31_burstgpt_2_033,development_validation,burstgpt,364,1125.0,1109.8901098901124,263.736263736261,75612672000.0,72927119472.52747,40475608615.38462
phase31_burstgpt_2_020,development_train,burstgpt,944,1031.25,1033.898305084741,120.23305084746062,24662016000.0,25731696813.559315,6493062508.474581
phase31_burstgpt_2_024,development_train,burstgpt,281,1031.25,1032.0284697508905,151.3567615658366,19800576000.0,22711372526.690384,15281390690.391445
phase31_burstgpt_2_026,development_train,burstgpt,451,1000.0,1028.824833702883,55.432372505542595,16003584000.0,20027205818.181816,10807680851.441242
phase31_burstgpt_2_030,development_train,burstgpt,760,1031.25,1053.9473684210388,106.90789473685598,37739520000.0,37292592505.26315,3252471915.789481
phase31_burstgpt_2_019,development_train,burstgpt,377,1156.25,1156.4986737400525,165.36803713527797,98302464000.0,99819889400.53053,13202262238.726753
phase31_burstgpt_2_032,development_validation,burstgpt,51,1093.75,1098.039215686275,124.38725490196072,69161472000.0,69923056941.17647,15194744470.588232
phase31_burstgpt_2_027,development_train,burstgpt,525,1125.0,1125.7142857142921,78.57142857143567,84049920000.0,83673836982.85706,2590275291.428484
phase31_burstgpt_2_031,development_validation,burstgpt,40,1093.75,1075.0,281.25,58844160000.0,56840601600.0,27113472000.0
phase31_burstgpt_2_023,development_train,burstgpt,49,1093.75,1081.6326530612248,306.7602040816323,57282048000.0,57643258775.5102,2378198204.081624
phase31_burstgpt_2_021,development_train,burstgpt,59,1062.5,1101.694915254237,148.30508474576237,56028672000.0,65013100474.57628,9085960677.96611
phase31_burstgpt_2_029,development_train,burstgpt,348,1031.25,1028.7356321839102,704.3821839080452,21676032000.0,22957373793.103455,17548005517.24137
phase31_burstgpt_3_050,development_validation,burstgpt,64,1531.25,1562.5,156.25,327725568000.0,344468736000.0,54943488000.0
phase31_burstgpt_3_045,development_train,burstgpt,166,1031.25,1036.1445783132542,89.23192771084226,21528576000.0,27246493301.204823,12789365204.81928
phase31_burstgpt_3_040,development_train,burstgpt,1319,1062.5,1066.7172100075984,57.619408642894264,46153728000.0,47025943096.28496,3563804142.5323286
phase31_burstgpt_3_043,development_train,burstgpt,112,1000.0,1017.8571428571438,71.42857142857045,17233920000.0,20317330285.714283,5982500571.428569
phase31_burstgpt_3_037,development_train,burstgpt,87,1375.0,1390.804597701149,228.44827586206887,242145792000.0,241217677241.37927,41120467862.06895
phase31_burstgpt_3_047,development_train,burstgpt,923,1062.5,1085.5904658721593,319.47453954496007,54899712000.0,56578851224.26864,7660263315.276292
phase31_burstgpt_3_038,development_train,burstgpt,314,1093.75,1101.910828025475,121.21815286624476,60456960000.0,66358487235.66879,22576382369.42675
phase31_burstgpt_3_041,development_train,burstgpt,53,1406.25,1396.2264150943397,624.4103773584906,246274560000.0,242985230490.566,104119846641.50945
phase31_burstgpt_3_039,development_train,burstgpt,64,1250.0,1281.25,250.0,161409024000.0,173088000000.0,27419904000.0
phase31_burstgpt_3_049,development_validation,burstgpt,47,1343.75,1340.425531914894,236.03723404255345,213225984000.0,214837117276.59576,32419240851.06386
phase31_burstgpt_3_048,development_train,burstgpt,34,1187.5,1205.8823529411766,415.4411764705883,129752064000.0,138404803764.70587,34151243294.117657
phase31_burstgpt_3_044,development_train,burstgpt,55,1187.5,1181.818181818182,392.0454545454545,116324352000.0,117010357527.27274,12296657454.545467
phase31_burstgpt_3_046,development_train,burstgpt,48,1250.0,1270.833333333333,166.6666666666669,166330368000.0,167623680000.0,13074432000.0
phase31_burstgpt_3_042,development_train,burstgpt,49,1218.75,1204.0816326530614,212.3724489795923,133558272000.0,131296026122.44897,19394037551.020397
phase31_burstgpt_3_051,development_validation,burstgpt,57,1281.25,1280.7017543859647,417.21491228070187,183343104000.0,173291843368.42105,14891762526.315807
phase31_mooncake_conversation_056,development_validation,mooncake,918,2437.5,2407.4074074073483,553.7854030501584,877169664000.0,862200771764.7118,69362165960.77843
phase31_mooncake_conversation_055,development_train,mooncake,1093,2343.75,2325.709057639533,258.0912625800586,815708160000.0,813881165994.5079,15532349599.270592
phase31_mooncake_synthetic_059,development_train,mooncake,1215,2437.5,2384.362139917752,318.3641975308078,879118848000.0,862975620740.7411,20831266133.332985
phase31_mooncake_toolagent_058,development_train,mooncake,2178,2375.0,2363.177226813603,205.2341597796207,842199552000.0,830325413024.7991,20985470942.15441
phase33_burstgpt_1_development_train_10,development_train,burstgpt,2619,1000.0,1003.8182512409799,13.745704467305778,9142272000.0,9505929237.113441,363657237.11344194
phase33_burstgpt_1_development_validation_02,development_validation,burstgpt,319,1062.5,1072.1003134796174,71.70846394983688,46960128000.0,46951099786.83385,4340548213.166135
phase33_burstgpt_1_development_train_03,development_train,burstgpt,159,1312.5,1308.1761006289314,186.32075471698104,198641664000.0,193463199396.2264,17363813433.962296
phase33_burstgpt_1_development_train_08,development_train,burstgpt,494,1156.25,1161.9433198380527,116.01720647773698,99283968000.0,101817174024.29155,3497789149.7975955
phase33_burstgpt_1_development_validation_01,development_validation,burstgpt,153,1500.0,1503.26797385621,286.35620915032683,312380928000.0,308993566117.6471,51758351058.82362
phase33_burstgpt_1_development_validation_03,development_validation,burstgpt,390,1468.75,1464.1025641025587,610.0961538461524,289294848000.0,287626917415.38477,90397546338.46156
phase33_burstgpt_1_development_train_07,development_train,burstgpt,152,1468.75,1486.8421052631563,77.30263157894741,298902528000.0,300019604210.5263,24582952421.05275
phase33_burstgpt_1_development_train_02,development_train,burstgpt,44,1156.25,1159.0909090909092,372.1590909090907,99256320000.0,97689600000.0,21848622545.454544
phase33_burstgpt_1_development_train_04,development_train,burstgpt,160,1031.25,1025.0,68.75,24804864000.0,22092595200.0,6538752000.0
phase33_burstgpt_1_development_train_11,development_train,burstgpt,104,1093.75,1105.7692307692316,213.942307692307,68567040000.0,71161698461.53845,8807660307.69231
phase33_burstgpt_1_development_train_06,development_train,burstgpt,308,1125.0,1139.6103896103916,148.53896103895892,90528768000.0,89909859740.25975,20945454545.454544
phase33_burstgpt_1_development_train_05,development_train,burstgpt,471,1125.0,1127.3885350318506,261.14649681528783,79552512000.0,81477110216.56056,2996510980.891673
phase33_burstgpt_1_development_train_01,development_train,burstgpt,320,1093.75,1115.625,334.375,70308864000.0,73770854400.0,9731635200.0
phase33_burstgpt_1_development_train_09,development_train,burstgpt,223,1093.75,1112.1076233183855,115.61098654708519,69709824000.0,74910954188.34079,16677529829.596395
phase33_burstgpt_1_development_train_12,development_train,burstgpt,322,1062.5,1065.2173913043443,66.38198757763625,48001536000.0,46126251726.70806,11548420770.186327
phase33_burstgpt_2_development_validation_03,development_validation,burstgpt,123,1093.75,1097.5609756097558,133.89227642276464,59996160000.0,64029471219.51219,12139944585.36585
phase33_burstgpt_2_development_train_02,development_train,burstgpt,115,1062.5,1060.8695652173903,345.10869565217297,41789952000.0,41869810643.47825,24587606817.39131
phase33_burstgpt_2_development_train_06,development_train,burstgpt,833,1062.5,1064.8259303721522,83.88355342136454,39716352000.0,43873382031.21249,9805420177.671083
phase33_burstgpt_2_development_train_10,development_train,burstgpt,599,1093.75,1105.1752921535913,137.57303839732975,63959040000.0,66795844808.01335,10241237689.482473
phase33_burstgpt_2_development_train_01,development_train,burstgpt,1174,1031.25,1034.0715502555238,92.36584327087857,25574400000.0,26574359550.255573,5281835611.584288
phase33_burstgpt_2_development_validation_01,development_validation,burstgpt,147,1062.5,1088.435374149661,96.513605442178,51208704000.0,59270290285.71427,14774846693.877533
phase33_burstgpt_2_development_train_07,development_train,burstgpt,178,1125.0,1146.0674157303392,145.36516853932824,93920256000.0,92636332584.26965,7961484943.820218
phase33_burstgpt_2_development_train_04,development_train,burstgpt,492,1125.0,1123.983739837396,36.585365853656135,83460096000.0,82855286634.14645,1051972682.9269352
phase33_burstgpt_2_development_train_09,development_train,burstgpt,1470,1031.25,1053.0612244897782,89.32823129249869,36559872000.0,36157615542.85709,6480628506.122404
phase33_burstgpt_2_development_train_08,development_train,burstgpt,37,1062.5,1081.0810810810806,209.45945945945996,54144000000.0,54773926054.05406,18100473081.081078
phase33_burstgpt_2_development_train_12,development_train,burstgpt,280,1031.25,1032.1428571428557,581.2500000000014,24030720000.0,23993197714.285713,14115620571.42858
phase33_burstgpt_2_development_validation_02,development_validation,burstgpt,34,1000.0,999.9999999999998,327.205882352941,17192448000.0,17568948705.88235,18124348235.294117
phase33_burstgpt_2_development_train_03,development_train,burstgpt,127,1125.0,1125.9842519685058,902.5590551181119,84059136000.0,83248781102.3622,26755209070.86614
phase33_burstgpt_2_development_train_11,development_train,burstgpt,149,1093.75,1120.8053691275165,175.96476510067106,70161408000.0,77359969932.8859,7581551677.852364
phase33_burstgpt_2_development_train_05,development_train,burstgpt,57,1062.5,1087.7192982456138,76.75438596491213,52517376000.0,54245699368.42105,12031487999.999994
phase33_burstgpt_3_development_train_05,development_train,burstgpt,1231,1062.5,1067.4248578391434,144.5471161657305,46448640000.0,46816980536.149506,3585780146.222553
phase33_burstgpt_3_development_validation_03,development_validation,burstgpt,125,1000.0,1024.0,89.5,17948160000.0,20906901504.0,12677935104.0
phase33_burstgpt_3_development_train_08,development_train,burstgpt,52,1062.5,1096.153846153846,235.57692307692312,52125696000.0,60272639999.99999,12119748923.076927
phase33_burstgpt_3_development_train_04,development_train,burstgpt,46,1437.5,1434.7826086956527,176.63043478260857,271577088000.0,272283915130.43484,7267417043.478228
phase33_burstgpt_3_development_train_10,development_train,burstgpt,251,1125.0,1127.4900398406394,217.38047808765177,81833472000.0,84438827856.57368,36242948079.68124
phase33_burstgpt_3_development_train_07,development_train,burstgpt,32,1187.5,1187.5,500.0,120946176000.0,120946176000.0,13602816000.0
phase33_burstgpt_3_development_train_06,development_train,burstgpt,32,1156.25,1156.25,500.0,103560192000.0,103569408000.0,21694464000.0
phase33_burstgpt_3_development_train_12,development_train,burstgpt,46,1281.25,1304.347826086957,392.6630434782611,184854528000.0,191394682434.78256,15953697391.30431
phase33_burstgpt_3_development_train_11,development_train,burstgpt,356,1031.25,1053.3707865168549,171.69943820224773,28620288000.0,35556777707.86517,20835770966.29214
phase33_burstgpt_3_development_validation_02,development_validation,burstgpt,35,1187.5,1200.0,126.78571428571442,127586304000.0,122430610285.7143,9087239314.285717
phase33_burstgpt_3_development_validation_01,development_validation,burstgpt,44,1343.75,1363.636363636364,519.8863636363636,223810560000.0,230245841454.5454,80487517090.90906
phase33_burstgpt_3_development_train_01,development_train,burstgpt,36,1250.0,1250.0,284.72222222222234,155400192000.0,160407552000.0,21107712000.0
phase33_burstgpt_3_development_train_03,development_train,burstgpt,50,1406.25,1420.0,328.75,254693376000.0,257245839360.0,17147658240.0
phase33_burstgpt_3_development_train_09,development_train,burstgpt,45,1281.25,1288.8888888888891,449.3055555555556,179693568000.0,174578073600.0,63573606400.0
phase33_burstgpt_3_development_train_02,development_train,burstgpt,32,1312.5,1312.5,187.5,201581568000.0,201595392000.0,15321600000.0
