[1;33m'--disable-cuda-graph' is deprecated and will be removed in a future release. Use '--cuda-graph-backend-{decode,prefill}=disabled' instead.[0m
TensorRT-LLM MHA only supports page_size of 16, 32 or 64, changing page_size from None to 64.
[2026-07-29 16:08:48 TP0] Init torch distributed begin.
[2026-07-29 16:08:48 TP1] Init torch distributed begin.
[2026-07-29 16:08:48 TP0] sglang is using nccl==2.28.9
[2026-07-29 16:08:49 TP0] Init torch distributed ends. elapsed=1.52 s, mem usage=1.16 GB
[2026-07-29 16:08:49 TP1] Init torch distributed ends. elapsed=1.33 s, mem usage=1.16 GB
[2026-07-29 16:08:51 TP0] Load weight begin. avail mem=176.54 GB
[2026-07-29 16:08:51 TP1] Load weight begin. avail mem=176.54 GB
Multi-thread loading shards:   0% Completed | 0/5 [00:00<?, ?it/s]Multi-thread loading shards:  20% Completed | 1/5 [00:00<00:02,  1.67it/s]Multi-thread loading shards:  40% Completed | 2/5 [00:01<00:02,  1.49it/s]Multi-thread loading shards:  60% Completed | 3/5 [00:02<00:01,  1.47it/s]Multi-thread loading shards:  80% Completed | 4/5 [00:02<00:00,  1.56it/s]Multi-thread loading shards: 100% Completed | 5/5 [00:02<00:00,  2.15it/s]Multi-thread loading shards: 100% Completed | 5/5 [00:02<00:00,  1.82it/s]
[2026-07-29 16:08:54 TP1] Load weight end. elapsed=2.89 s, type=Qwen3ForCausalLM, avail mem=168.90 GB, mem usage=7.65 GB.
[2026-07-29 16:08:54 TP0] Load weight end. elapsed=2.90 s, type=Qwen3ForCausalLM, avail mem=168.90 GB, mem usage=7.65 GB.
[2026-07-29 16:08:54 TP1] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 2073920, K size: 71.20 GB, V size: 71.20 GB
[2026-07-29 16:08:54 TP0] KV Cache is allocated. dtype: torch.bfloat16, #tokens: 2073920, K size: 71.20 GB, V size: 71.20 GB
[2026-07-29 16:08:54 TP1] Memory pool end. avail mem=25.81 GB
[2026-07-29 16:08:54 TP0] Memory pool end. avail mem=25.81 GB
[2026-07-29 16:08:54 TP1] Disable prefill CUDA graph because cuda_graph_config resolved prefill.backend='disabled' (e.g. via --cuda-graph-backend-prefill=disabled or auto-disable rules).
[2026-07-29 16:08:54 TP0] Disable prefill CUDA graph because cuda_graph_config resolved prefill.backend='disabled' (e.g. via --cuda-graph-backend-prefill=disabled or auto-disable rules).
/usr/local/lib/python3.12/dist-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[rank0]:[W729 16:08:55.378303943 ProcessGroupNCCL.cpp:5188] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
/usr/local/lib/python3.12/dist-packages/torch/profiler/profiler.py:224: UserWarning: Warning: Profiler clears events at the end of each cycle.Only events from the current cycle will be reported.To keep events across cycles, set acc_events=True.
  _warn_once(
/usr/local/lib/python3.12/dist-packages/torch/profiler/profiler.py:224: UserWarning: Warning: Profiler clears events at the end of each cycle.Only events from the current cycle will be reported.To keep events across cycles, set acc_events=True.
  _warn_once(
max_total_num_tokens=2073920
Warmup ...
Prefill. latency: 2.47982 s, throughput:     51.62 token/s
Decode 0. Batch size: 1, latency: 0.13120 s, throughput:      7.62 token/s
Decode 1. Batch size: 1, latency: 0.02346 s, throughput:     42.63 token/s
Decode 2. Batch size: 1, latency: 0.02284 s, throughput:     43.79 token/s
Decode 3. Batch size: 1, latency: 0.02645 s, throughput:     37.80 token/s
Decode 4. Batch size: 1, latency: 0.02272 s, throughput:     44.01 token/s
Decode.  median latency: 0.02251 s, median throughput:     44.42 token/s
Total. latency:  3.304 s, throughput:     48.43 token/s
Benchmark ...
Prefill. latency: 0.02669 s, throughput:   4795.19 token/s
Decode 0. Batch size: 1, latency: 0.02344 s, throughput:     42.66 token/s
Decode 1. Batch size: 1, latency: 0.02347 s, throughput:     42.61 token/s
Decode 2. Batch size: 1, latency: 0.02359 s, throughput:     42.40 token/s
Decode 3. Batch size: 1, latency: 0.02752 s, throughput:     36.34 token/s
Decode 4. Batch size: 1, latency: 0.03001 s, throughput:     33.32 token/s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void (anonymous namespace)::all_reduce_one_shot_push...         0.00%       0.000us         0.00%       0.000us       0.000us      19.758ms        33.28%      19.758ms      33.833us           584  
kernel_cutlass_kernel_flashinfernormkernelsfused_add...         0.00%       0.000us         0.00%       0.000us       0.000us      16.358ms        27.55%      16.358ms      28.399us           576  
         nvjet_sm100_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.797ms         9.76%       5.797ms      20.129us           288  
         nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.181ms         8.73%       5.181ms       8.996us           576  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.980ms         5.02%       2.980ms       3.418us           872  
               nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       2.410ms         4.06%       2.410ms       8.368us           288  
fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCaus...         0.00%       0.000us         0.00%       0.000us       0.000us       2.269ms         3.82%       2.269ms       7.880us           288  
kernel_cutlass_kernel_flashinfernormkernelsrmsnormRM...         0.00%       0.000us         0.00%       0.000us       0.000us     802.492us         1.35%     802.492us     100.311us             8  
         nvjet_sm100_tst_192x8_64x8_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     789.149us         1.33%     789.149us      98.644us             8  
void (anonymous namespace)::act_and_mul_kernel<__nv_...         0.00%       0.000us         0.00%       0.000us       0.000us     769.147us         1.30%     769.147us       2.671us           288  
void (anonymous namespace)::fused_rope_kernel<true, ...         0.00%       0.000us         0.00%       0.000us       0.000us     601.409us         1.01%     601.409us       2.088us           288  
void (anonymous namespace)::store_kvcache<1024l, 2, ...         0.00%       0.000us         0.00%       0.000us       0.000us     595.408us         1.00%     595.408us       2.067us           288  
void (anonymous namespace)::fused_qknorm_warp<128l, ...         0.00%       0.000us         0.00%       0.000us       0.000us     519.866us         0.88%     519.866us       1.805us           288  
                               _all_gather_kernel_inner         0.00%       0.000us         0.00%       0.000us       0.000us      76.158us         0.13%      76.158us       9.520us             8  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      71.712us         0.12%      71.712us       8.964us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      41.920us         0.07%      41.920us       1.747us            24  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.824us         0.06%      37.824us       1.576us            24  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      36.126us         0.06%      36.126us       4.516us             8  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.672us         0.05%      28.672us       3.584us             8  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.647us         0.05%      27.647us       3.456us             8  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      23.422us         0.04%      23.422us       1.464us            16  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.943us         0.04%      22.943us       2.868us             8  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      19.005us         0.03%      19.005us       2.376us             8  
                    create_trtllm_mha_kv_indices_triton         0.00%       0.000us         0.00%       0.000us       0.000us      16.415us         0.03%      16.415us       2.052us             8  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      16.160us         0.03%      16.160us       2.020us             8  
void at_cuda_detail::cub::detail::scan::DeviceScanKe...         0.00%       0.000us         0.00%       0.000us       0.000us      16.063us         0.03%      16.063us       2.008us             8  
