workload_id,phase,group_size,batch_size,input_len,output_len,repeat_count,calls,logical_payload_bytes,message_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,rank0_us_median,max_rank_total_us_median,critical_us_median,critical_over_rank0_median,rank0_repeat_iqr_fraction,critical_repeat_iqr_fraction,max_rank_over_rank0_median,per_call_skew_us_median,per_call_skew_us_p95_median
decode-tp2-b1-l128-m32,decode,2,1,128,32,3,2263,18538496,8192,18538496.0,4526,76563.486125,623726.203875,623726.203875,9.128502784067814,1.6435631998855778,0.328675943028176,8.257751228735604,216.111,418.13095
decode-tp2-b1-l128-m128,decode,2,1,128,128,3,9271,75948032,8192,75948032.0,18542,40683.91025,2444623.254,2444623.254,60.088207819207845,0.000653590690683354,0.3093334819384403,60.088207819207845,215.168,415.33965
decode-tp2-b1-l2048-m512,decode,2,1,2048,512,3,37303,305586176,8192,305586176.0,74606,5277590.498249999,5277590.498249999,6404911.686249999,1.2401020152194902,0.44455402555919604,0.48129754601930574,1.0,152.5595,404.73575
decode-tp2-b4-l2048-m128,decode,2,4,2048,128,3,9271,303792128,32768,303792128.0,18542,1138504.882625,1988481.3068750002,2017059.2755,1.5968531409002484,0.8548268919199358,0.1844834706990741,1.0,206.527,426.32515
decode-tp2-b16-l2048-m32,decode,2,16,2048,32,3,2263,296615936,131072,296615936.0,4526,15430.552250000002,635844.491375,635844.491375,41.2667825199086,7.519385732775699,0.22846508978690766,41.2667825199086,218.975,415.89585
decode-tp4-b1-l128-m32,decode,4,1,128,32,3,2263,18538496,8192,27807744.0,13578,506889.389375,729238.3735,743382.855875,1.4117079968517736,0.3737382603255643,0.039897878936943416,1.342448134669045,236.6395,431.46385
decode-tp4-b1-l128-m128,decode,4,1,128,128,3,9271,75948032,8192,113922048.0,55626,2756567.305625,2835892.6327500003,2844905.0607499997,1.0632318723977174,0.20542927580870618,0.0656485018873579,1.0597657704253465,232.62300000000002,432.95245000000006
decode-tp4-b1-l128-m512,decode,4,1,128,512,3,37303,305586176,8192,458379264.0,223818,7821410.07375,10169015.869250001,10513358.840249998,1.4243644870124026,0.4956054082734572,0.04472395744496611,1.3939674282810055,229.63099999999997,422.71665
decode-tp4-b1-l2048-m512,decode,4,1,2048,512,3,37303,305586176,8192,458379264.0,223818,8957032.329,11173669.910374999,11231900.532125,1.1659485836131787,0.35917160107639934,0.09897731022415611,1.034156692447057,220.7345,424.53745000000004
decode-tp4-b4-l2048-m128,decode,4,4,2048,128,3,9271,303792128,32768,455688192.0,55626,2050723.594125,2862386.182125,2982216.159,1.4351308562905218,0.21205301100587692,0.08067661947438341,1.418441405369472,240.87900000000002,437.48350000000005
decode-tp4-b16-l2048-m32,decode,4,16,2048,32,3,2263,296615936,131072,444923904.0,13578,555895.584375,555895.584375,731329.9125,1.3155886340098255,0.38711840853970647,0.17162352044160373,1.0,220.7835,427.7142
decode-tp8-b1-l128-m32,decode,8,1,128,32,3,2263,18538496,8192,32442368.0,31682,598331.771125,877717.7792499999,913140.4058749999,1.4889637189713851,0.16418853833014424,0.10035835395399735,1.4482432810307933,248.159,477.5196000000001
decode-tp8-b1-l128-m512,decode,8,1,128,512,3,37303,305586176,8192,534775808.0,522242,12068278.632375,12476797.774,12571582.269749999,1.0422277942363605,0.014424431498499644,0.00791146766997036,1.0338506554306002,259.69500000000005,459.9292
decode-tp8-b1-l2048-m512,decode,8,1,2048,512,3,37303,305586176,8192,534775808.0,522242,17465831.810000002,20719197.688875,21925979.69625,1.1818890683365801,0.24046751713224018,0.16899229738335111,1.0527563595557377,434.367,781.9714
decode-tp8-b2-l8192-m32,decode,8,2,8192,32,3,2263,37076992,16384,64884736.0,31682,770041.1935,790289.296875,846057.638125,1.2328630551001036,0.10721920529632019,0.19890158333117877,1.1747297039861477,290.159,492.68365
decode-tp8-b4-l2048-m128,decode,8,4,2048,128,3,9271,303792128,32768,531636224.0,129794,1997182.6642500001,3212671.72425,3438176.7025,1.7215133918614975,0.3414796350168149,0.03586781828223961,1.6086018478717625,256.832,465.94055000000003
decode-tp8-b8-l8192-m32,decode,8,8,8192,32,3,2263,148307968,65536,259538944.0,31682,715998.91675,892681.3203750001,909848.6205,1.139815331386909,0.24962842157470372,0.18501655181385196,1.0604418822510282,256.687,452.5829
decode-tp8-b16-l128-m128,decode,8,16,128,128,3,9271,1215168512,131072,2126544896.0,129794,3346695.1576249995,3549173.40075,3929967.740125,1.178169042753554,0.012940610332801796,0.048893403844172116,1.0563475734132686,259.935,470.41095
decode-tp8-b16-l2048-m32,decode,8,16,2048,32,3,2263,296615936,131072,519077888.0,31682,665457.60175,831390.685625,867869.672125,1.2591743922474474,0.8988414287056418,0.35492798791525704,1.2383708906966437,282.2545,488.88935
prefill-tp2-b1-l128-m8,prefill,2,1,128,8,3,73,76546048,1048576,76546048.0,146,6858.1410000000005,10192.574,10255.387,1.3978960187607692,2.4285194048941254,1.186856770982899,1.0,165.184,284.9007999999998
prefill-tp2-b1-l2048-m8,prefill,2,1,2048,8,3,73,1224736768,16777216,1224736768.0,146,14158.241999999998,15158.071,15695.667,1.0048604164269999,2.233668523253099,1.6790371189704776,1.0,129.887,261.20799999999997
prefill-tp2-b1-l8192-m8,prefill,2,1,8192,8,3,73,4898947072,67108864,4898947072.0,146,12093.231,12093.231,12272.464000000002,1.01482093577804,0.062344587645766635,0.046371942912197574,1.0,4.9599999999999795,70.36739999999998
prefill-tp2-b8-l128-m8,prefill,2,8,128,8,3,73,612368384,8388608,612368384.0,146,1716.9580000000003,22714.773,22714.773,13.22966141280101,8.49815312896413,0.21322471503457222,13.22966141280101,358.04699999999997,413.2214
prefill-tp4-b1-l128-m8,prefill,4,1,128,8,3,73,76546048,1048576,114819072.0,438,29635.036,36190.296,36219.780000000006,1.0174569366180033,0.19198697784608734,0.2705878252159454,1.0166286957971244,379.07,425.65599999999995
prefill-tp4-b1-l2048-m8,prefill,4,1,2048,8,3,73,1224736768,16777216,1837105152.0,438,73517.624,73517.624,73614.65899999999,1.0063322360100226,0.8883928294527037,0.6779517921831303,1.0055847806177074,311.743,548.6959999999999
prefill-tp4-b1-l8192-m8,prefill,4,1,8192,8,3,73,4898947072,67108864,7348420608.0,438,15225.573999999999,15496.860999999999,15639.451,1.030910288977895,0.07857677483949048,0.02751826135073406,1.0168850120199082,6.52800000000002,127.32119999999935
prefill-tp8-b1-l128-m8,prefill,8,1,128,8,3,73,76546048,1048576,133955584.0,1022,37598.96399999999,55293.09099999999,55391.08600000001,1.4732077724269217,0.17972739887194764,0.12913425275684248,1.4706014506144371,436.66999999999996,498.6796
prefill-tp8-b1-l2048-m8,prefill,8,1,2048,8,3,73,1224736768,16777216,2143289344.0,1022,38966.905,52940.92600000001,63372.817,1.3748810689481241,0.5420527239717908,0.32394195921573116,1.3586125456974325,333.59799999999996,593.226799999999
prefill-tp8-b1-l8192-m8,prefill,8,1,8192,8,3,73,4898947072,67108864,8573157376.0,1022,24121.21,31530.588,31804.103,1.0844767151786834,0.1385618922102167,0.13217170438669515,1.0772919927005913,8.895999999999958,377.8619999999994
