timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/29 11:49:28.490, 0, P0, 36, 243.04 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.492, 1, P0, 33, 240.11 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.495, 2, P0, 36, 236.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.497, 3, P0, 33, 239.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.499, 4, P0, 34, 235.81 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.502, 5, P0, 36, 244.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.504, 6, P0, 33, 242.42 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:28.506, 7, P0, 37, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 0, P0, 36, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 2, P0, 36, 236.85 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 3, P0, 33, 239.49 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 4, P0, 34, 235.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 5, P0, 36, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 6, P0, 33, 242.43 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:29.509, 7, P0, 37, 243.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 0, P0, 36, 243.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 2, P0, 36, 236.87 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 3, P0, 33, 239.54 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 4, P0, 34, 235.84 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 5, P0, 36, 244.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 6, P0, 33, 242.42 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:30.509, 7, P0, 37, 243.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 11:49:31.509, 0, P0, 36, 243.65 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:31.550, 1, P0, 33, 240.71 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:31.562, 2, P0, 36, 237.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:31.563, 3, P0, 33, 239.66 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:31.563, 4, P0, 34, 235.77 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/29 11:49:31.575, 5, P0, 36, 244.29 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/29 11:49:31.586, 6, P0, 33, 242.44 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/29 11:49:31.587, 7, P0, 37, 243.34 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/29 11:49:32.587, 0, P0, 36, 243.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:32.592, 1, P0, 33, 240.64 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:32.603, 2, P0, 36, 236.98 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:32.604, 3, P0, 33, 239.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:32.604, 4, P0, 34, 236.53 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:32.605, 5, P0, 36, 244.82 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:32.605, 6, P0, 33, 242.45 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/29 11:49:32.652, 7, P0, 37, 243.39 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/29 11:49:33.664, 0, P0, 36, 243.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:33.670, 1, P0, 33, 240.56 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:33.681, 2, P0, 36, 236.96 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:33.682, 3, P0, 33, 239.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/29 11:49:33.682, 4, P0, 34, 236.59 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
