timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/29 12:05:26.068, 0, P0, 36, 243.37 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.071, 1, P0, 33, 240.56 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.073, 2, P0, 37, 237.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.076, 3, P0, 33, 239.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.078, 4, P0, 34, 236.55 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.081, 5, P0, 37, 245.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.083, 6, P0, 33, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:26.086, 7, P0, 38, 244.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 0, P0, 36, 243.59 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 1, P0, 33, 240.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 2, P0, 37, 237.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 3, P0, 33, 239.73 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 4, P0, 34, 236.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 5, P0, 36, 245.48 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 6, P0, 33, 243.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:05:27.088, 7, P0, 38, 244.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
