timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/29 12:04:17.821, 0, P0, 36, 243.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.823, 1, P0, 33, 240.51 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.826, 2, P0, 36, 236.88 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.828, 3, P0, 33, 239.38 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.830, 4, P0, 34, 236.54 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.833, 5, P0, 36, 245.29 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.835, 6, P0, 33, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:17.838, 7, P0, 37, 244.57 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 0, P0, 36, 243.60 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 2, P0, 36, 237.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 3, P0, 33, 239.50 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 4, P0, 34, 236.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 5, P0, 36, 245.32 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 6, P0, 33, 243.20 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:18.840, 7, P0, 37, 244.59 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.840, 0, P0, 36, 243.52 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.841, 1, P0, 33, 240.51 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.841, 2, P0, 36, 237.17 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.841, 3, P0, 33, 239.58 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.841, 4, P0, 34, 236.59 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.841, 5, P0, 36, 245.34 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/29 12:04:19.841, 6, P0, 33, 243.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
