curve_id,model_id,topology_level,page_count,payload_bytes,descriptor_count,descriptor_bytes,official_latency_us,official_effective_gib_per_s,cross_replica_relative_spread
qwen3-8b__l1,qwen3-8b,L1,1,147456,72,2048,94.6865,1.4503556638221924,0.014247015149994874
qwen3-8b__l1,qwen3-8b,L1,2,294912,72,4096,98.975,2.775026048244506,0.0037080070724929554
qwen3-8b__l1,qwen3-8b,L1,3,442368,72,6144,101.979,4.039922971273498,0.0036281979623256216
qwen3-8b__l1,qwen3-8b,L1,4,589824,72,8192,102.9795,5.334230659985725,0.0006797469399248703
qwen3-8b__l1,qwen3-8b,L1,6,884736,72,12288,108.16749999999999,7.617580228580674,0.010872027180067838
qwen3-8b__l1,qwen3-8b,L1,8,1179648,72,16384,112.3035,9.782712137199642,0.004269679929833011
qwen3-8b__l1,qwen3-8b,L1,12,1769472,72,24576,123.5575,13.337508599235173,0.004771058009428816
qwen3-8b__l1,qwen3-8b,L1,16,2359296,72,32768,135.1405,16.259120137930527,0.004950403468982364
qwen3-8b__l1,qwen3-8b,L1,24,3538944,72,49152,158.1575,20.83934329702986,0.00439119232410715
qwen3-8b__l1,qwen3-8b,L1,32,4718592,72,65536,178.5025,24.618877886864333,0.007025111693113649
qwen3-8b__l1,qwen3-8b,L1,48,7077888,72,98304,253.929,25.95921251609702,0.00872094168054856
qwen3-8b__l1,qwen3-8b,L1,64,9437184,72,131072,302.6805,29.03742560224395,0.008124078029473333
qwen3-8b__l1,qwen3-8b,L1,96,14155776,72,196608,431.9735,30.51945026720389,0.001529028979786985
qwen3-8b__l1,qwen3-8b,L1,128,18874368,72,262144,560.8019999999999,31.34461895642313,0.01090759305423298
qwen3-8b__l1,qwen3-8b,L1,192,28311552,72,393216,795.285,33.15438804956714,0.005206938393154608
qwen3-8b__l1,qwen3-8b,L1,256,37748736,72,524288,982.996,35.76438764755909,0.0018082474394606203
qwen3-8b__l1,qwen3-8b,L1,384,56623104,72,786432,1391.402,37.90017191293386,0.005670539499008985
qwen3-8b__l1,qwen3-8b,L1,512,75497472,72,1048576,1829.1045,38.44094200194686,0.0054174050744503
qwen3-8b__l1,qwen3-8b,L1,768,113246208,72,1572864,2736.3945,38.542962281206165,0.01806227135743762
qwen3-8b__l1,qwen3-8b,L1,1024,150994944,72,2097152,3619.135,38.85596972757302,0.0011197427009491997
qwen3-8b__l1,qwen3-8b,L1,1536,226492416,72,3145728,5520.257,38.21153616579808,0.012353048055552488
qwen3-8b__l1,qwen3-8b,L1,2048,301989888,72,4194304,7312.649,38.46075478256922,0.0009270238459415255
qwen3-8b__l1,qwen3-8b,L1,3072,452984832,72,6291456,11198.587,37.67216346133669,0.010340947478463139
qwen3-8b__l1,qwen3-8b,L1,4096,603979776,72,8388608,14889.798,37.77754406070519,0.0020135263084161107
qwen3-8b__l2,qwen3-8b,L2,1,147456,72,2048,83.14150000000001,1.6517515508199876,0.00823896609996214
qwen3-8b__l2,qwen3-8b,L2,2,294912,72,4096,93.51849999999999,2.936939783304908,0.003047525355945579
qwen3-8b__l2,qwen3-8b,L2,3,442368,72,6144,95.1135,4.331533427825703,0.002649466164109147
qwen3-8b__l2,qwen3-8b,L2,4,589824,72,8192,96.791,5.6752839236086,0.0005217427240135917
qwen3-8b__l2,qwen3-8b,L2,6,884736,72,12288,102.111,8.069401037841173,1.4689896289402339e-05
qwen3-8b__l2,qwen3-8b,L2,8,1179648,72,16384,107.497,10.22012532907895,0.0022698307859754206
qwen3-8b__l2,qwen3-8b,L2,12,1769472,72,24576,118.727,13.880155472217776,0.00029479393903658466
qwen3-8b__l2,qwen3-8b,L2,16,2359296,72,32768,130.2485,16.869796005328276,0.0006180493441383254
qwen3-8b__l2,qwen3-8b,L2,24,3538944,72,49152,153.908,21.414731121839022,0.0057664318943782015
qwen3-8b__l2,qwen3-8b,L2,32,4718592,72,65536,173.9895,25.25745088065659,0.004968690639377621
qwen3-8b__l2,qwen3-8b,L2,48,7077888,72,98304,248.489,26.52751982985162,0.00501833079130269
qwen3-8b__l2,qwen3-8b,L2,64,9437184,72,131072,296.07550000000003,29.6852069826784,0.0002803339013191798
qwen3-8b__l2,qwen3-8b,L2,96,14155776,72,196608,425.6885,30.970049108679234,0.0018957524105066488
qwen3-8b__l2,qwen3-8b,L2,128,18874368,72,262144,551.343,31.882376306582294,0.004146239273918314
qwen3-8b__l2,qwen3-8b,L2,192,28311552,72,393216,793.665,33.22206157509781,0.0009966421601052585
qwen3-8b__l2,qwen3-8b,L2,256,37748736,72,524288,989.2864999999999,35.53697538579572,0.029752250738284594
qwen3-8b__l2,qwen3-8b,L2,384,56623104,72,786432,1386.197,38.04248241772274,0.00018972772268293755
qwen3-8b__l2,qwen3-8b,L2,512,75497472,72,1048576,1818.7745,38.65927304346965,0.0002828827872834143
qwen3-8b__l2,qwen3-8b,L2,768,113246208,72,1572864,2732.5505000000003,38.59718237595242,0.007539842356069929
qwen3-8b__l2,qwen3-8b,L2,1024,150994944,72,2097152,3656.8725,38.45499125277132,0.0035987035369705422
qwen3-8b__l2,qwen3-8b,L2,1536,226492416,72,3145728,5501.413,38.342422210439395,0.009326331253443433
qwen3-8b__l2,qwen3-8b,L2,2048,301989888,72,4194304,7314.78,38.449550088997896,0.008905667702924768
qwen3-8b__l2,qwen3-8b,L2,3072,452984832,72,6291456,11139.592,37.87167429471385,0.005022984683819634
qwen3-8b__l2,qwen3-8b,L2,4096,603979776,72,8388608,14866.001,37.83801709686418,0.0014924659294722163
qwen3-8b__l3,qwen3-8b,L3,1,147456,72,2048,85.2085,1.6116831250696821,0.002077257550596557
qwen3-8b__l3,qwen3-8b,L3,2,294912,72,4096,95.2945,2.882204147406199,0.006490406057012707
qwen3-8b__l3,qwen3-8b,L3,3,442368,72,6144,96.773,4.25725465457824,0.00022216940675604956
qwen3-8b__l3,qwen3-8b,L3,4,589824,72,8192,98.729,5.563880989881393,0.004461708312653832
qwen3-8b__l3,qwen3-8b,L3,6,884736,72,12288,104.05799999999999,7.918416742345615,0.00254665667224035
qwen3-8b__l3,qwen3-8b,L3,8,1179648,72,16384,109.77250000000001,10.00826994465827,0.003156528274385716
qwen3-8b__l3,qwen3-8b,L3,12,1769472,72,24576,120.98750000000001,13.620822140717015,0.0007728071081723807
qwen3-8b__l3,qwen3-8b,L3,16,2359296,72,32768,132.832,16.541688937906528,0.0022998976150324845
qwen3-8b__l3,qwen3-8b,L3,24,3538944,72,49152,156.143,21.10820489871464,0.002363218331913693
qwen3-8b__l3,qwen3-8b,L3,32,4718592,72,65536,176.4385,24.906872649676796,0.003029384176356115
qwen3-8b__l3,qwen3-8b,L3,48,7077888,72,98304,251.69299999999998,26.189829971433454,0.0010310179464664267
qwen3-8b__l3,qwen3-8b,L3,64,9437184,72,131072,301.36,29.16466186620653,0.0024870586673746077
qwen3-8b__l3,qwen3-8b,L3,96,14155776,72,196608,430.6975,30.60986829503306,0.0022010808049732797
qwen3-8b__l3,qwen3-8b,L3,128,18874368,72,262144,554.3405,31.70997789264901,0.0009299338583415329
qwen3-8b__l3,qwen3-8b,L3,192,28311552,72,393216,794.334,33.19408145691863,0.007522024740222513
qwen3-8b__l3,qwen3-8b,L3,256,37748736,72,524288,986.4895,35.6377335998001,0.0058763930077309744
qwen3-8b__l3,qwen3-8b,L3,384,56623104,72,786432,1387.449,38.00815381322124,0.0007517393432119812
qwen3-8b__l3,qwen3-8b,L3,512,75497472,72,1048576,1824.905,38.529402900424955,0.0021620303522649335
qwen3-8b__l3,qwen3-8b,L3,768,113246208,72,1572864,2719.708,38.779438822108844,0.0005254240528762968
qwen3-8b__l3,qwen3-8b,L3,1024,150994944,72,2097152,3661.7195,38.404088570956894,0.004599751564804541
qwen3-8b__l3,qwen3-8b,L3,1536,226492416,72,3145728,5500.255,38.350494658883996,0.006373159062625294
qwen3-8b__l3,qwen3-8b,L3,2048,301989888,72,4194304,7340.387,38.315418519486784,0.004521968664594837
qwen3-8b__l3,qwen3-8b,L3,3072,452984832,72,6291456,11173.161,37.757891432872036,0.0020295062426827536
qwen3-8b__l3,qwen3-8b,L3,4096,603979776,72,8388608,14840.835,37.90218003232298,0.0008115446334387432
deepseek-v2-lite__l1,deepseek-v2-lite,L1,1,1990656,27,73728,83.4885,22.205966942677733,0.00883355192631317
deepseek-v2-lite__l1,deepseek-v2-lite,L1,2,3981312,27,147456,139.84949999999998,26.513400063550463,0.0024419107683616775
deepseek-v2-lite__l1,deepseek-v2-lite,L1,3,5971968,27,221184,204.75,27.163998111263737,0.00013186813186806746
deepseek-v2-lite__l1,deepseek-v2-lite,L1,4,7962624,27,294912,257.9,28.754445460934473,0.005645599069406594
deepseek-v2-lite__l1,deepseek-v2-lite,L1,6,11943936,27,442368,358.956,30.988915707113126,0.002278830831633915
deepseek-v2-lite__l1,deepseek-v2-lite,L1,8,15925248,27,589824,461.95000000000005,32.10638157538695,0.003859725078471729
deepseek-v2-lite__l1,deepseek-v2-lite,L1,12,23887872,27,884736,664.861,33.4616024298688,0.0005204095292098704
deepseek-v2-lite__l1,deepseek-v2-lite,L1,16,31850496,27,1179648,850.031,34.8964754667771,0.013308926380331999
deepseek-v2-lite__l1,deepseek-v2-lite,L1,24,47775744,27,1769472,1177.449,37.78900734235623,0.0042838373466705295
deepseek-v2-lite__l1,deepseek-v2-lite,L1,32,63700992,27,2359296,1541.579,38.48402960535918,0.000509218145810143
deepseek-v2-lite__l1,deepseek-v2-lite,L1,48,95551488,27,3538944,2295.5825,38.76543657764423,0.007925221594083313
deepseek-v2-lite__l1,deepseek-v2-lite,L1,64,127401984,27,4718592,3067.682,38.67817581809327,0.011450013397738098
deepseek-v2-lite__l2,deepseek-v2-lite,L2,1,1990656,27,73728,79.26849999999999,23.38814120481339,0.0015453805736198878
deepseek-v2-lite__l2,deepseek-v2-lite,L2,2,3981312,27,147456,135.2385,27.41738293597977,0.0025103798104828645
deepseek-v2-lite__l2,deepseek-v2-lite,L2,3,5971968,27,221184,198.799,27.97714582709797,0.0065870552668775275
deepseek-v2-lite__l2,deepseek-v2-lite,L2,4,7962624,27,294912,252.9015,29.322765916275706,0.007085762638813932
deepseek-v2-lite__l2,deepseek-v2-lite,L2,6,11943936,27,442368,352.5455,31.55240168024411,0.002816657708012143
deepseek-v2-lite__l2,deepseek-v2-lite,L2,8,15925248,27,589824,455.1875,32.58337052038995,0.0011984072497597234
deepseek-v2-lite__l2,deepseek-v2-lite,L2,12,23887872,27,884736,662.789,33.56620953746215,0.006376086507168947
deepseek-v2-lite__l2,deepseek-v2-lite,L2,16,31850496,27,1179648,848.57,34.95655742896873,0.006751358167269691
