model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
qwen3-8b,L1,1,147456,94.6865,93.3375,94.6865,0.014247015149994874,False
qwen3-8b,L1,2,294912,98.975,98.608,98.975,0.0037080070724929554,False
qwen3-8b,L1,3,442368,101.979,101.609,101.979,0.0036281979623256216,False
qwen3-8b,L1,4,589824,102.9795,102.90950000000001,102.9795,0.0006797469399248703,False
qwen3-8b,L1,6,884736,108.16749999999999,106.9915,108.16749999999999,0.010872027180067838,False
qwen3-8b,L1,8,1179648,112.3035,111.824,112.3035,0.004269679929833011,False
qwen3-8b,L1,12,1769472,123.5575,122.968,123.5575,0.004771058009428816,False
qwen3-8b,L1,16,2359296,135.1405,134.4715,135.1405,0.004950403468982364,False
qwen3-8b,L1,24,3538944,158.1575,157.46300000000002,158.1575,0.00439119232410715,False
qwen3-8b,L1,32,4718592,177.24849999999998,178.5025,178.5025,0.007025111693113649,False
qwen3-8b,L1,48,7077888,253.929,251.7145,253.929,0.00872094168054856,False
qwen3-8b,L1,64,9437184,302.6805,300.2215,302.6805,0.008124078029473333,False
qwen3-8b,L1,96,14155776,431.9735,431.313,431.9735,0.001529028979786985,False
qwen3-8b,L1,128,18874368,560.8019999999999,554.685,560.8019999999999,0.01090759305423298,False
qwen3-8b,L1,192,28311552,795.285,791.144,795.285,0.005206938393154608,False
qwen3-8b,L1,256,37748736,981.2185,982.996,982.996,0.0018082474394606203,False
qwen3-8b,L1,384,56623104,1391.402,1383.512,1391.402,0.005670539499008985,False
qwen3-8b,L1,512,75497472,1829.1045,1819.1955,1829.1045,0.0054174050744503,False
qwen3-8b,L1,768,113246208,2736.3945,2686.969,2736.3945,0.01806227135743762,False
qwen3-8b,L1,1024,150994944,3619.135,3615.0825000000004,3619.135,0.0011197427009491997,False
qwen3-8b,L1,1536,226492416,5520.257,5452.065,5520.257,0.012353048055552488,False
qwen3-8b,L1,2048,301989888,7312.649,7305.87,7312.649,0.0009270238459415255,False
qwen3-8b,L1,3072,452984832,11198.587,11082.783,11198.587,0.010340947478463139,False
qwen3-8b,L1,4096,603979776,14889.798,14859.817,14889.798,0.0020135263084161107,False
qwen3-8b,L2,1,147456,83.14150000000001,82.4565,83.14150000000001,0.00823896609996214,False
qwen3-8b,L2,2,294912,93.51849999999999,93.23349999999999,93.51849999999999,0.003047525355945579,False
qwen3-8b,L2,3,442368,95.1135,94.8615,95.1135,0.002649466164109147,False
qwen3-8b,L2,4,589824,96.791,96.7405,96.791,0.0005217427240135917,False
qwen3-8b,L2,6,884736,102.1095,102.111,102.111,1.4689896289402339e-05,False
qwen3-8b,L2,8,1179648,107.253,107.497,107.497,0.0022698307859754206,False
qwen3-8b,L2,12,1769472,118.69200000000001,118.727,118.727,0.00029479393903658466,False
qwen3-8b,L2,16,2359296,130.2485,130.168,130.2485,0.0006180493441383254,False
qwen3-8b,L2,24,3538944,153.02050000000003,153.908,153.908,0.0057664318943782015,False
qwen3-8b,L2,32,4718592,173.125,173.9895,173.9895,0.004968690639377621,False
qwen3-8b,L2,48,7077888,247.242,248.489,248.489,0.00501833079130269,False
qwen3-8b,L2,64,9437184,296.07550000000003,295.9925,296.07550000000003,0.0002803339013191798,False
qwen3-8b,L2,96,14155776,425.6885,424.8815,425.6885,0.0018957524105066488,False
qwen3-8b,L2,128,18874368,551.343,549.057,551.343,0.004146239273918314,False
qwen3-8b,L2,192,28311552,793.665,792.874,793.665,0.0009966421601052585,False
qwen3-8b,L2,256,37748736,959.853,989.2864999999999,989.2864999999999,0.029752250738284594,False
qwen3-8b,L2,384,56623104,1385.934,1386.197,1386.197,0.00018972772268293755,False
qwen3-8b,L2,512,75497472,1818.26,1818.7745,1818.7745,0.0002828827872834143,False
qwen3-8b,L2,768,113246208,2732.5505000000003,2711.9475,2732.5505000000003,0.007539842356069929,False
qwen3-8b,L2,1024,150994944,3643.7124999999996,3656.8725,3656.8725,0.0035987035369705422,False
qwen3-8b,L2,1536,226492416,5450.105,5501.413,5501.413,0.009326331253443433,False
qwen3-8b,L2,2048,301989888,7249.637,7314.78,7314.78,0.008905667702924768,False
qwen3-8b,L2,3072,452984832,11083.638,11139.592,11139.592,0.005022984683819634,False
qwen3-8b,L2,4096,603979776,14866.001,14843.814,14866.001,0.0014924659294722163,False
qwen3-8b,L3,1,147456,85.0315,85.2085,85.2085,0.002077257550596557,False
qwen3-8b,L3,2,294912,95.2945,94.676,95.2945,0.006490406057012707,False
qwen3-8b,L3,3,442368,96.773,96.7515,96.773,0.00022216940675604956,False
qwen3-8b,L3,4,589824,98.729,98.2885,98.729,0.004461708312653832,False
qwen3-8b,L3,6,884736,104.05799999999999,103.793,104.05799999999999,0.00254665667224035,False
qwen3-8b,L3,8,1179648,109.77250000000001,109.426,109.77250000000001,0.003156528274385716,False
qwen3-8b,L3,12,1769472,120.98750000000001,120.894,120.98750000000001,0.0007728071081723807,False
qwen3-8b,L3,16,2359296,132.832,132.5265,132.832,0.0022998976150324845,False
qwen3-8b,L3,24,3538944,156.143,155.774,156.143,0.002363218331913693,False
qwen3-8b,L3,32,4718592,176.4385,175.904,176.4385,0.003029384176356115,False
qwen3-8b,L3,48,7077888,251.69299999999998,251.4335,251.69299999999998,0.0010310179464664267,False
qwen3-8b,L3,64,9437184,300.6105,301.36,301.36,0.0024870586673746077,False
qwen3-8b,L3,96,14155776,429.7495,430.6975,430.6975,0.0022010808049732797,False
qwen3-8b,L3,128,18874368,554.3405,553.825,554.3405,0.0009299338583415329,False
qwen3-8b,L3,192,28311552,794.334,788.359,794.334,0.007522024740222513,False
qwen3-8b,L3,256,37748736,980.6925,986.4895,986.4895,0.0058763930077309744,False
qwen3-8b,L3,384,56623104,1387.449,1386.406,1387.449,0.0007517393432119812,False
qwen3-8b,L3,512,75497472,1820.9595,1824.905,1824.905,0.0021620303522649335,False
qwen3-8b,L3,768,113246208,2719.708,2718.279,2719.708,0.0005254240528762968,False
qwen3-8b,L3,1024,150994944,3661.7195,3644.8765,3661.7195,0.004599751564804541,False
qwen3-8b,L3,1536,226492416,5500.255,5465.201,5500.255,0.006373159062625294,False
qwen3-8b,L3,2048,301989888,7340.387,7307.194,7340.387,0.004521968664594837,False
qwen3-8b,L3,3072,452984832,11150.485,11173.161,11173.161,0.0020295062426827536,False
qwen3-8b,L3,4096,603979776,14828.791,14840.835,14840.835,0.0008115446334387432,False
deepseek-v2-lite,L1,1,1990656,82.751,83.4885,83.4885,0.00883355192631317,False
deepseek-v2-lite,L1,2,3981312,139.50799999999998,139.84949999999998,139.84949999999998,0.0024419107683616775,False
deepseek-v2-lite,L1,3,5971968,204.723,204.75,204.75,0.00013186813186806746,False
