round,stage,candidate_id,family,oof_target,oof_protection,oof_score,calls_histogram_wape,bytes_histogram_wape,parent_ids
0,seed,p58_r0_mlp_0,phase56_mlp,False,True,0.14033357614971373,0.22698093302880537,0.20676110262681255,
0,seed,p58_r0_mlp_1,phase56_mlp,False,False,0.15623837467119162,0.25471054434143225,0.2259225813294515,
0,seed,p58_r0_ridge_0,ridge,False,False,0.15950216532339465,0.2616875252722218,0.22749646394033046,
0,seed,p58_r0_ridge_1,ridge,False,True,0.15638644136017638,0.25535713141354816,0.22512406540238736,
0,seed,p58_r0_ridge_2,ridge,False,True,0.15614931199349008,0.25395230264180874,0.22613176600979618,
0,seed,p58_r0_ridge_3,ridge,False,True,0.1578898699007945,0.2583229858591068,0.22632224394041292,
0,seed,p58_r0_ratio_0,ratio_ridge,False,False,0.17114748252833525,0.26199360763202695,0.2732487054259354,
0,seed,p58_r0_ratio_1,ratio_ridge,False,False,0.16858735657627325,0.26176995274473447,0.26323089208301165,
0,adaptive,p58_r0_from_0_mlp,phase56_mlp,False,True,0.13956693851894827,0.22562003564804683,0.20582841912546312,[]
0,adaptive,p58_r0_from_0_blend,blend,False,True,0.14033357614971373,0.22698093302880537,0.20676110262681255,"[""p58_r0_mlp_0""]"
0,adaptive,p58_r0_from_1_ridge,ridge,False,True,0.15752362955765442,0.2563481645723149,0.22786600473459517,[]
0,adaptive,p58_r0_from_1_blend,blend,False,True,0.15617472455192596,0.25397633221632754,0.2262001813712557,"[""p58_r0_ridge_2""]"
1,seed,p58_r1_mlp_0,phase56_mlp,False,True,0.14092331308916528,0.22781706282392947,0.2078692669188656,
1,seed,p58_r1_mlp_1,phase56_mlp,False,False,0.15607785078446276,0.2543013448753693,0.22590907948018166,
1,seed,p58_r1_ridge_0,ridge,False,False,0.15950216532339465,0.2616875252722218,0.22749646394033046,
1,seed,p58_r1_ridge_1,ridge,False,True,0.15638644136017638,0.25535713141354816,0.22512406540238736,
1,seed,p58_r1_ridge_2,ridge,False,True,0.15614931199349008,0.25395230264180874,0.22613176600979618,
1,seed,p58_r1_ridge_3,ridge,False,True,0.1578898699007945,0.2583229858591068,0.22632224394041292,
1,seed,p58_r1_ratio_0,ratio_ridge,False,False,0.17114748252833525,0.26199360763202695,0.2732487054259354,
1,seed,p58_r1_ratio_1,ratio_ridge,False,False,0.16858735657627325,0.26176995274473447,0.26323089208301165,
1,adaptive,p58_r1_from_0_mlp,phase56_mlp,False,True,0.14014955398151305,0.22710226625832197,0.20585461745505645,[]
1,adaptive,p58_r1_from_0_blend,blend,False,True,0.14092331308916528,0.22781706282392947,0.2078692669188656,"[""p58_r1_mlp_0""]"
1,adaptive,p58_r1_from_1_ridge,ridge,False,True,0.15752362955765442,0.2563481645723149,0.22786600473459517,[]
1,adaptive,p58_r1_from_1_blend,blend,False,True,0.15617472455192596,0.25397633221632754,0.2262001813712557,"[""p58_r1_ridge_2""]"
2,seed,p58_r2_mlp_0,phase56_mlp,False,True,0.14054440502202986,0.22714266368632244,0.20742968492137448,
2,seed,p58_r2_mlp_1,phase56_mlp,False,False,0.1558370649872855,0.25402110055235133,0.22530675224938343,
2,seed,p58_r2_ridge_0,ridge,False,False,0.15950216532339465,0.2616875252722218,0.22749646394033046,
2,seed,p58_r2_ridge_1,ridge,False,True,0.15638644136017638,0.25535713141354816,0.22512406540238736,
2,seed,p58_r2_ridge_2,ridge,False,True,0.15614931199349008,0.25395230264180874,0.22613176600979618,
2,seed,p58_r2_ridge_3,ridge,False,True,0.1578898699007945,0.2583229858591068,0.22632224394041292,
2,seed,p58_r2_ratio_0,ratio_ridge,False,False,0.17114748252833525,0.26199360763202695,0.2732487054259354,
2,seed,p58_r2_ratio_1,ratio_ridge,False,False,0.16858735657627325,0.26176995274473447,0.26323089208301165,
2,adaptive,p58_r2_from_0_mlp,phase56_mlp,False,True,0.14055196144409757,0.22638567164502332,0.20872917104665273,[]
2,adaptive,p58_r2_from_0_blend,blend,False,True,0.14054440502202986,0.22714266368632244,0.20742968492137448,"[""p58_r2_mlp_0""]"
2,adaptive,p58_r2_from_1_ridge,ridge,False,True,0.15752362955765442,0.2563481645723149,0.22786600473459517,[]
2,adaptive,p58_r2_from_1_blend,blend,False,True,0.15617472455192596,0.25397633221632754,0.2262001813712557,"[""p58_r2_ridge_2""]"
