timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/30 06:02:08.873, 0, P0, 37, 245.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.875, 1, P0, 34, 241.76 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.877, 2, P0, 37, 236.46 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.879, 3, P0, 33, 238.61 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.882, 4, P0, 33, 235.74 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.884, 5, P0, 36, 244.31 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.886, 6, P0, 33, 242.45 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:08.889, 7, P0, 37, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 0, P0, 37, 245.10 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 1, P0, 34, 241.78 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 2, P0, 37, 236.44 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 3, P0, 33, 238.58 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 4, P0, 33, 235.70 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 5, P0, 36, 244.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 6, P0, 33, 242.47 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/30 06:02:09.891, 7, P0, 37, 243.33 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
