workload_id,group_size,batch_size,input_len,output_len,calls,logical_payload_bytes,message_payload_bytes,baseline_repeat_count,warmed_repeat_count,baseline_rank0_median_us,warmed_rank0_median_us,baseline_rank0_iqr_fraction,warmed_rank0_iqr_fraction,baseline_intrinsic_median_us,warmed_intrinsic_median_us,warmed_over_baseline_intrinsic_median,baseline_intrinsic_iqr_fraction,warmed_intrinsic_iqr_fraction,baseline_intrinsic_p95_over_median,warmed_intrinsic_p95_over_median,baseline_post_rendezvous_median_us,warmed_post_rendezvous_median_us,warmed_over_baseline_post_rendezvous_median,baseline_post_rendezvous_iqr_fraction,warmed_post_rendezvous_iqr_fraction,baseline_sync_inclusive_iqr_fraction,warmed_sync_inclusive_iqr_fraction
prefill-tp2-b1-l128-m8,2,1,128,8,73,76546048,1048576,3,10,6858.1410000000005,1193.6605,2.4285194048941254,1.6979836394016559,545.8840000000001,547.9535,1.0037910984751337,0.01641649141575866,0.10375789186491174,1.0187374973437577,1.0263821656399676,715.1962890625,692.277587890625,0.9679546698964036,0.03805773382252742,0.12824427830886853,1.186856770982899,1.3711872742075113
prefill-tp2-b1-l2048-m8,2,1,2048,8,73,1224736768,16777216,3,10,14158.241999999998,2759.9045,2.233668523253099,2.3257157992242123,2738.034,2738.8695,1.0003051459550902,0.0037904934708627644,0.012341223267483147,1.0055110345598337,1.004559271626487,2739.49755859375,2742.511962890625,1.0011003493277149,0.003253102090351807,0.006351946070483647,1.6790371189704776,0.2367290615777643
prefill-tp2-b1-l8192-m8,2,1,8192,8,73,4898947072,67108864,3,10,12093.231,11647.710000000001,0.062344587645766635,0.03481149942778461,11189.006,11189.5845,1.0000517025372944,0.00349249075387031,0.011154413284961496,1.0048089526451232,1.0159168376627388,11214.3994140625,11220.658203125,1.000558102920309,0.0037400036312828485,0.011099718066756402,0.046371942912197574,0.033544662984872596
prefill-tp2-b8-l128-m8,2,8,128,8,73,612368384,8388608,3,10,1716.9580000000003,11078.163,8.49815312896413,1.8091027591848934,1696.4099999999999,1705.0839999999998,1.0051131507123867,0.054420216810794675,0.012001754752258507,1.0109013740782007,1.0079852370909586,1696.7578125,1707.728271484375,1.0064655420494049,0.01831100214103184,0.011608246346779169,0.21322471503457222,0.3776554295532913
prefill-tp4-b1-l128-m8,4,1,128,8,73,76546048,1048576,3,10,29635.036,24160.274,0.19198697784608734,0.8919441476532923,828.8349999999999,810.472,0.9778448062642143,0.11659196341853323,0.015433290724417346,1.0011694728142513,1.023991698664482,985.46044921875,981.620849609375,0.9961037506757182,0.007977562439829493,0.011545074400872083,0.2705878252159454,0.21081494479969876
prefill-tp4-b1-l2048-m8,4,1,2048,8,73,1224736768,16777216,3,10,73517.624,19520.7195,0.8883928294527037,0.8540220943188083,3482.1629999999996,3476.8975,0.998487865157375,0.0023247045011965998,0.004331663501728091,1.0011847808388064,1.0028671106927944,3704.97265625,3699.509765625,0.9985255247118263,0.0017997349423757977,0.00695094472504539,0.6779517921831303,0.279766732287761
prefill-tp4-b1-l8192-m8,4,1,8192,8,73,4898947072,67108864,3,10,15225.573999999999,14056.559000000001,0.07857677483949048,0.016087952250618546,13434.776,13447.6635,1.0009592642259164,0.000844487470427317,0.0009518196227918664,1.0014276977896766,1.0016624263389695,13544.05126953125,13550.071044921875,1.0004444589931645,0.0007995647304943934,0.00065247366038264,0.02751826135073406,0.011064565847992725
prefill-tp8-b1-l128-m8,8,1,128,8,73,76546048,1048576,3,10,37598.96399999999,41881.56249999999,0.17972739887194764,0.6830254363122199,1020.447,1015.056,0.9947170210701781,0.003934550251017433,0.009545778755063936,1.0035781378160746,1.0211186870478082,1282.09326171875,1271.276611328125,0.9915632889481656,0.008683118999042932,0.007726781008187014,0.12913425275684248,0.15932693781613363
prefill-tp8-b1-l2048-m8,8,1,2048,8,73,1224736768,16777216,3,10,38966.905,23224.2375,0.5420527239717908,0.10496747202141724,4088.0139999999997,4087.7905,0.9999453279758828,0.004196169582589603,0.01084387764001123,1.0068501477734666,1.0092919512386949,4373.546875,4387.2177734375,1.0031258150028401,0.004825765790065986,0.0042413084798234215,0.32394195921573116,0.08197766360449339
prefill-tp8-b1-l8192-m8,8,1,8192,8,73,4898947072,67108864,3,10,24121.21,19759.0305,0.1385618922102167,0.04327568096015647,18786.077999999998,18711.463499999998,0.9960282023741198,0.009778438053967338,0.0037762145114945914,1.003210446587095,1.0030152852554801,18894.62060546875,18922.19873046875,1.0014595754831943,0.004336034900393147,0.001236708558583445,0.13217170438669515,0.03974997317191859
