model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-8b,P1D2,L1,qwen3-8b__dev_00__p1_p1,0,qwen3-8b__p1d2__l1__r0,147456,147456,5,78.62049999999999,72.1245,70.086,72.1245,0.02442565230024339
qwen3-8b,P1D2,L1,qwen3-8b__dev_00__p1_p1,1,qwen3-8b__p1d2__l1__r1,147456,147456,5,78.91499999999999,76.97550000000001,75.2355,76.97550000000001,0.11994125184657073
qwen3-8b,P1D2,L1,qwen3-8b__dev_01__p4_p4,0,qwen3-8b__p1d2__l1__r0,589824,589824,5,83.184,77.7125,73.6495,77.7125,0.02042507558317119
qwen3-8b,P1D2,L1,qwen3-8b__dev_01__p4_p4,1,qwen3-8b__p1d2__l1__r1,589824,589824,5,86.13,81.32300000000001,78.862,81.32300000000001,0.13062811333593247
qwen3-8b,P1D2,L1,qwen3-8b__dev_02__p16_p16,0,qwen3-8b__p1d2__l1__r0,2359296,2359296,5,134.739,109.123,106.5505,109.123,0.06771459475137903
qwen3-8b,P1D2,L1,qwen3-8b__dev_02__p16_p16,1,qwen3-8b__p1d2__l1__r1,2359296,2359296,5,135.83249999999998,110.44749999999999,108.1285,110.44749999999999,0.0726760745860233
qwen3-8b,P1D2,L1,qwen3-8b__dev_03__p64_p64,0,qwen3-8b__p1d2__l1__r0,9437184,9437184,5,438.2185,275.6365,272.1735,275.6365,0.025444197798027087
qwen3-8b,P1D2,L1,qwen3-8b__dev_03__p64_p64,1,qwen3-8b__p1d2__l1__r1,9437184,9437184,5,438.5725,275.021,271.10749999999996,275.021,0.026309157069118943
qwen3-8b,P1D2,L1,qwen3-8b__dev_04__p256_p256,0,qwen3-8b__p1d2__l1__r0,37748736,37748736,5,1690.085,968.39,939.44,968.39,0.011686159709310518
qwen3-8b,P1D2,L1,qwen3-8b__dev_04__p256_p256,1,qwen3-8b__p1d2__l1__r1,37748736,37748736,5,1684.658,967.361,937.549,967.361,0.010907901057461684
qwen3-8b,P1D2,L1,qwen3-8b__dev_05__p4096_p4096,0,qwen3-8b__p1d2__l1__r0,603979776,603979776,5,26824.295,14796.178,14533.293,14796.178,0.00457813141876079
qwen3-8b,P1D2,L1,qwen3-8b__dev_05__p4096_p4096,1,qwen3-8b__p1d2__l1__r1,603979776,603979776,5,26780.38,14853.174,14530.974,14853.174,0.006400356926604915
qwen3-8b,P1D2,L1,qwen3-8b__dev_06__p1_p64,0,qwen3-8b__p1d2__l1__r0,147456,9437184,5,260.547,64.76150000000001,257.76599999999996,257.76599999999996,0.003402915450237018
qwen3-8b,P1D2,L1,qwen3-8b__dev_06__p1_p64,1,qwen3-8b__p1d2__l1__r1,147456,9437184,5,260.9515,65.01050000000001,258.7625,258.7625,0.01774425658152689
qwen3-8b,P1D2,L1,qwen3-8b__dev_07__p4_p256,0,qwen3-8b__p1d2__l1__r0,589824,37748736,5,925.5665,76.21000000000001,923.7685,923.7685,0.002662247349250916
qwen3-8b,P1D2,L1,qwen3-8b__dev_07__p4_p256,1,qwen3-8b__p1d2__l1__r1,589824,37748736,5,928.415,77.93299999999999,928.0465,928.0465,0.02594774807347091
qwen3-8b,P1D2,L1,qwen3-8b__dev_08__p16_p1024,0,qwen3-8b__p1d2__l1__r0,2359296,150994944,5,3561.755,110.233,3575.841,3575.841,0.001797454417159428
qwen3-8b,P1D2,L1,qwen3-8b__dev_08__p16_p1024,1,qwen3-8b__p1d2__l1__r1,2359296,150994944,5,3569.236,110.928,3551.553,3551.553,0.013206587099488224
qwen3-8b,P1D2,L1,qwen3-8b__dev_09__p64_p4096,0,qwen3-8b__p1d2__l1__r0,9437184,603979776,5,14459.668,273.783,14496.872,14496.872,0.002879997111521432
qwen3-8b,P1D2,L1,qwen3-8b__dev_09__p64_p4096,1,qwen3-8b__p1d2__l1__r1,9437184,603979776,5,14423.061,272.923,14470.693,14470.693,0.009888350163816877
qwen3-8b,P1D2,L2,qwen3-8b__dev_00__p1_p1,0,qwen3-8b__p1d2__l2__r0,147456,147456,5,78.42599999999999,68.5475,70.59649999999999,70.59649999999999,0.014314057509540064
qwen3-8b,P1D2,L2,qwen3-8b__dev_00__p1_p1,1,qwen3-8b__p1d2__l2__r1,147456,147456,5,78.487,68.1745,70.45949999999999,70.45949999999999,0.0162671386162309
qwen3-8b,P1D2,L2,qwen3-8b__dev_01__p4_p4,0,qwen3-8b__p1d2__l2__r0,589824,589824,5,81.753,74.656,77.14500000000001,77.14500000000001,0.015053381475191549
qwen3-8b,P1D2,L2,qwen3-8b__dev_01__p4_p4,1,qwen3-8b__p1d2__l2__r1,589824,589824,5,84.55199999999999,73.467,77.152,77.152,0.02499472005921662
qwen3-8b,P1D2,L2,qwen3-8b__dev_02__p16_p16,0,qwen3-8b__p1d2__l2__r0,2359296,2359296,5,133.2945,107.14699999999999,109.0415,109.0415,0.007572446874618861
qwen3-8b,P1D2,L2,qwen3-8b__dev_02__p16_p16,1,qwen3-8b__p1d2__l2__r1,2359296,2359296,5,133.3775,106.68,108.265,108.265,0.011406967181506503
qwen3-8b,P1D2,L2,qwen3-8b__dev_03__p64_p64,0,qwen3-8b__p1d2__l2__r0,9437184,9437184,5,443.2145,272.06,275.09000000000003,275.09000000000003,0.011995020215663519
qwen3-8b,P1D2,L2,qwen3-8b__dev_03__p64_p64,1,qwen3-8b__p1d2__l2__r1,9437184,9437184,5,437.84299999999996,274.16200000000003,274.0095,274.16200000000003,0.011798663722437501
qwen3-8b,P1D2,L2,qwen3-8b__dev_04__p256_p256,0,qwen3-8b__p1d2__l2__r0,37748736,37748736,5,1686.939,968.668,943.35,968.668,0.0005279705207616798
qwen3-8b,P1D2,L2,qwen3-8b__dev_04__p256_p256,1,qwen3-8b__p1d2__l2__r1,37748736,37748736,5,1693.214,966.118,940.762,966.118,0.0034652254383159813
qwen3-8b,P1D2,L2,qwen3-8b__dev_05__p4096_p4096,0,qwen3-8b__p1d2__l2__r0,603979776,603979776,5,26863.851,14952.585,14530.943,14952.585,0.002731524140054414
qwen3-8b,P1D2,L2,qwen3-8b__dev_05__p4096_p4096,1,qwen3-8b__p1d2__l2__r1,603979776,603979776,5,26909.174,14940.072,14527.436,14940.072,0.0027215414518647583
qwen3-8b,P1D2,L2,qwen3-8b__dev_06__p1_p64,0,qwen3-8b__p1d2__l2__r0,147456,9437184,5,260.38599999999997,61.683499999999995,258.728,258.728,0.002053618720953968
qwen3-8b,P1D2,L2,qwen3-8b__dev_06__p1_p64,1,qwen3-8b__p1d2__l2__r1,147456,9437184,5,261.2825,61.453,259.631,259.631,0.004427648050650603
qwen3-8b,P1D2,L2,qwen3-8b__dev_07__p4_p256,0,qwen3-8b__p1d2__l2__r0,589824,37748736,5,923.3295,74.3895,925.4749999999999,925.4749999999999,0.0016716913751536335
qwen3-8b,P1D2,L2,qwen3-8b__dev_07__p4_p256,1,qwen3-8b__p1d2__l2__r1,589824,37748736,5,926.0675,74.37,926.6659999999999,926.6659999999999,0.002176373237246783
qwen3-8b,P1D2,L2,qwen3-8b__dev_08__p16_p1024,0,qwen3-8b__p1d2__l2__r0,2359296,150994944,5,3568.541,108.54,3574.072,3574.072,0.005594518295284324
qwen3-8b,P1D2,L2,qwen3-8b__dev_08__p16_p1024,1,qwen3-8b__p1d2__l2__r1,2359296,150994944,5,3575.659,107.56,3567.803,3567.803,0.006149970402302569
qwen3-8b,P1D2,L2,qwen3-8b__dev_09__p64_p4096,0,qwen3-8b__p1d2__l2__r0,9437184,603979776,5,14435.996,270.343,14536.854,14536.854,0.0029635276423033963
qwen3-8b,P1D2,L2,qwen3-8b__dev_09__p64_p4096,1,qwen3-8b__p1d2__l2__r1,9437184,603979776,5,14478.611,271.745,14524.604,14524.604,0.0031576011040374734
qwen3-8b,P1D2,L3,qwen3-8b__dev_00__p1_p1,0,qwen3-8b__p1d2__l3__r0,147456,147456,5,78.513,70.281,71.27350000000001,71.27350000000001,0.017281768899507485
qwen3-8b,P1D2,L3,qwen3-8b__dev_00__p1_p1,1,qwen3-8b__p1d2__l3__r1,147456,147456,5,79.1225,69.43,70.926,70.926,0.00826115933150188
qwen3-8b,P1D2,L3,qwen3-8b__dev_01__p4_p4,0,qwen3-8b__p1d2__l3__r0,589824,589824,5,84.447,74.19,75.8295,75.8295,0.027462723848219957
qwen3-8b,P1D2,L3,qwen3-8b__dev_01__p4_p4,1,qwen3-8b__p1d2__l3__r1,589824,589824,5,83.432,75.8625,75.51400000000001,75.8625,0.02724411919058056
qwen3-8b,P1D2,L3,qwen3-8b__dev_02__p16_p16,0,qwen3-8b__p1d2__l3__r0,2359296,2359296,5,135.06099999999998,106.69,108.3605,108.3605,0.036165700065773486
qwen3-8b,P1D2,L3,qwen3-8b__dev_02__p16_p16,1,qwen3-8b__p1d2__l3__r1,2359296,2359296,5,135.2855,107.945,109.06,109.06,0.01186259626411858
qwen3-8b,P1D2,L3,qwen3-8b__dev_03__p64_p64,0,qwen3-8b__p1d2__l3__r0,9437184,9437184,5,442.9375,274.2935,273.48,274.2935,0.006189335496829236
qwen3-8b,P1D2,L3,qwen3-8b__dev_03__p64_p64,1,qwen3-8b__p1d2__l3__r1,9437184,9437184,5,436.68399999999997,274.009,274.214,274.214,0.007621628941728451
qwen3-8b,P1D2,L3,qwen3-8b__dev_04__p256_p256,0,qwen3-8b__p1d2__l3__r0,37748736,37748736,5,1689.525,966.645,937.059,966.645,0.0019209930480489157
qwen3-8b,P1D2,L3,qwen3-8b__dev_04__p256_p256,1,qwen3-8b__p1d2__l3__r1,37748736,37748736,5,1690.171,971.701,942.542,971.701,0.0021754333514203395
qwen3-8b,P1D2,L3,qwen3-8b__dev_05__p4096_p4096,0,qwen3-8b__p1d2__l3__r0,603979776,603979776,5,26843.133,14864.556,14517.159,14864.556,0.002751627105420999
qwen3-8b,P1D2,L3,qwen3-8b__dev_05__p4096_p4096,1,qwen3-8b__p1d2__l3__r1,603979776,603979776,5,26858.276,14927.581,14518.163,14927.581,0.001484958431216039
qwen3-8b,P1D2,L3,qwen3-8b__dev_06__p1_p64,0,qwen3-8b__p1d2__l3__r0,147456,9437184,5,260.4815,63.063500000000005,258.1205,258.1205,0.0119492022789621
qwen3-8b,P1D2,L3,qwen3-8b__dev_06__p1_p64,1,qwen3-8b__p1d2__l3__r1,147456,9437184,5,261.19,62.422,258.889,258.889,0.0075453026235612975
qwen3-8b,P1D2,L3,qwen3-8b__dev_07__p4_p256,0,qwen3-8b__p1d2__l3__r0,589824,37748736,5,924.3295,75.51599999999999,925.2560000000001,925.2560000000001,0.003843380438534496
qwen3-8b,P1D2,L3,qwen3-8b__dev_07__p4_p256,1,qwen3-8b__p1d2__l3__r1,589824,37748736,5,929.6514999999999,75.1565,927.706,927.706,0.014421245492163016
qwen3-8b,P1D2,L3,qwen3-8b__dev_08__p16_p1024,0,qwen3-8b__p1d2__l3__r0,2359296,150994944,5,3569.958,108.629,3577.121,3577.121,0.004217530971724943
