model_id,configuration,topology_level,pair_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P1D2,L1,qwen3-8b__dev_00__p1_p1,78.62049999999999,78.91499999999999,78.91499999999999,0.003731863397326229,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_01__p4_p4,83.184,86.13,86.13,0.03420411006617901,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_02__p16_p16,134.739,135.83249999999998,135.83249999999998,0.008050356137154052,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_03__p64_p64,438.2185,438.5725,438.5725,0.0008071641518790736,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_04__p256_p256,1690.085,1684.658,1690.085,0.003211081099471408,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_05__p4096_p4096,26824.295,26780.38,26824.295,0.0016371352909739934,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_06__p1_p64,260.547,260.9515,260.9515,0.001550096473865774,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_07__p4_p256,925.5665,928.415,928.415,0.0030681322468938403,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_08__p16_p1024,3561.755,3569.236,3569.236,0.0020959667559107237,False
qwen3-8b,P1D2,L1,qwen3-8b__dev_09__p64_p4096,14459.668,14423.061,14459.668,0.0025316625526948457,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_00__p1_p1,78.42599999999999,78.487,78.487,0.0007771987717712112,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_01__p4_p4,81.753,84.55199999999999,84.55199999999999,0.033103888731194915,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_02__p16_p16,133.2945,133.3775,133.3775,0.0006222938651571548,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_03__p64_p64,443.2145,437.84299999999996,443.2145,0.012119413963216514,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_04__p256_p256,1686.939,1693.214,1693.214,0.0037059698301572415,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_05__p4096_p4096,26863.851,26909.174,26909.174,0.0016842954748443903,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_06__p1_p64,260.38599999999997,261.2825,261.2825,0.0034311521054799306,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_07__p4_p256,923.3295,926.0675,926.0675,0.0029565879377042633,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_08__p16_p1024,3568.541,3575.659,3575.659,0.001990681997360469,False
qwen3-8b,P1D2,L2,qwen3-8b__dev_09__p64_p4096,14435.996,14478.611,14478.611,0.0029433071998413106,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_00__p1_p1,78.513,79.1225,79.1225,0.007703244968245405,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_01__p4_p4,84.447,83.432,84.447,0.012019373097919412,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_02__p16_p16,135.06099999999998,135.2855,135.2855,0.0016594535260618067,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_03__p64_p64,442.9375,436.68399999999997,442.9375,0.014118244673345631,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_04__p256_p256,1689.525,1690.171,1690.171,0.00038220984740594777,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_05__p4096_p4096,26843.133,26858.276,26858.276,0.0005638113183437398,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_06__p1_p64,260.4815,261.19,261.19,0.002712584708449845,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_07__p4_p256,924.3295,929.6514999999999,929.6514999999999,0.0057247258784607884,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_08__p16_p1024,3569.958,3578.725,3578.725,0.0024497551502280354,False
qwen3-8b,P1D2,L3,qwen3-8b__dev_09__p64_p4096,14412.608,14471.068,14471.068,0.004039784762257984,False
