candidate_id,evidence,slice_type,slice_value,points,wape,signed_bias
global_affine_max_min,all_development_refit,configuration,P1D2,60,0.01639128173610056,0.007704412754036205
global_affine_max_min,all_development_refit,configuration,P2D1,60,0.019075597521444228,-0.007587498316435313
global_affine_max_min,all_development_refit,configuration_topology,P1D2/L1,20,0.018327232334471477,0.009465034814374738
global_affine_max_min,all_development_refit,configuration_topology,P1D2/L2,20,0.015881850064621148,0.006598730538403425
global_affine_max_min,all_development_refit,configuration_topology,P1D2/L3,20,0.014968589782114898,0.007053217914995052
global_affine_max_min,all_development_refit,configuration_topology,P2D1/L1,20,0.019402475717199226,-0.008110304724196628
global_affine_max_min,all_development_refit,configuration_topology,P2D1/L2,20,0.019275095205693406,-0.008411995595937872
global_affine_max_min,all_development_refit,configuration_topology,P2D1/L3,20,0.018548003726483707,-0.006237158205873655
global_affine_max_min,all_development_refit,model,deepseek-v2-lite,60,0.03832605429748607,0.007011408323617503
global_affine_max_min,all_development_refit,model,qwen3-8b,60,0.010656977188926959,-0.002414102732592379
global_affine_max_min,all_development_refit,overall,all,120,0.017743701108483462,0.0
global_affine_max_min,all_development_refit,topology,L1,40,0.01886957526971429,0.0006001941779628171
global_affine_max_min,all_development_refit,topology,L2,40,0.01759121795886217,-0.0009630141209226345
global_affine_max_min,all_development_refit,topology,L3,40,0.016770184843007428,0.00036388934084954835
phase51_max,all_development_refit,configuration,P1D2,60,0.2804416667712125,-0.25753936235340813
phase51_max,all_development_refit,configuration,P2D1,60,0.277745314203749,-0.26880620002973427
phase51_max,all_development_refit,configuration_topology,P1D2/L1,20,0.2792655549805126,-0.256700976087751
phase51_max,all_development_refit,configuration_topology,P1D2/L2,20,0.28117621288557826,-0.2580136420182304
phase51_max,all_development_refit,configuration_topology,P1D2/L3,20,0.28088073242156286,-0.25790170714555316
phase51_max,all_development_refit,configuration_topology,P2D1/L1,20,0.2775147487442174,-0.2696422194923318
phase51_max,all_development_refit,configuration_topology,P2D1/L2,20,0.2773901492857339,-0.2690783827904787
phase51_max,all_development_refit,configuration_topology,P2D1/L3,20,0.2783323654895877,-0.267695395557681
phase51_max,all_development_refit,model,deepseek-v2-lite,60,0.2921819442054734,-0.27461312510531266
phase51_max,all_development_refit,model,qwen3-8b,60,0.27457313967978425,-0.2592916485906241
phase51_max,all_development_refit,overall,all,120,0.27908318299410906,-0.2632158515437462
phase51_max,all_development_refit,topology,L1,40,0.2783824643161228,-0.263228420986716
phase51_max,all_development_refit,topology,L2,40,0.27926896030167464,-0.2635875725324885
phase51_max,all_development_refit,topology,L3,40,0.27959808522027696,-0.2628310785302091
