model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D2,L1,qwen3-8b__res_00__p2_p2,2,2,294912,294912,98.975,98.975,98.975,70.95391397350417,76.64,81.798,17.176999999999992,10.84408602649583,5.158000000000001,17.176999999999992,-10.84408602649583,0.0251412014963691
qwen3-8b,P1D2,L1,qwen3-8b__res_01__p8_p8,8,8,1179648,1179648,112.3035,112.3035,112.3035,95.29948498022588,86.174,92.491,19.8125,2.8084849802258844,6.316999999999993,19.8125,2.8084849802258844,0.008038619973835264
qwen3-8b,P1D2,L1,qwen3-8b__res_02__p32_p32,32,32,4718592,4718592,178.5025,178.5025,178.5025,216.2172518012462,154.0745,217.0335,38.531000000000006,0.8162481987538115,62.959,-38.531000000000006,-0.8162481987538115,0.008275220184902295
qwen3-8b,P1D2,L1,qwen3-8b__res_03__p128_p128,128,128,18874368,18874368,560.8019999999999,560.8019999999999,560.8019999999999,914.5178575021275,502.914,856.2635,295.4615000000001,58.254357502127505,353.34950000000003,-295.4615000000001,58.254357502127505,0.010147577235278718
qwen3-8b,P1D2,L1,qwen3-8b__res_04__p512_p512,512,512,75497472,75497472,1829.1045,1829.1045,1829.1045,3231.173788158438,1858.702,3316.886,1487.7815,85.71221184156184,1458.184,-1487.7815,-85.71221184156184,0.0003810803265472867
qwen3-8b,P1D2,L1,qwen3-8b__res_05__p2048_p2048,2048,2048,301989888,301989888,7312.649,7312.649,7312.649,13247.306285683906,7233.215,13194.685,5882.035999999999,52.621285683906535,5961.469999999999,-5882.035999999999,52.621285683906535,0.0013898020301355992
qwen3-8b,P1D2,L1,qwen3-8b__res_06__p2_p32,2,32,294912,4718592,98.975,178.5025,178.5025,148.61080041377582,146.452,151.36950000000002,27.13299999999998,2.7586995862241963,4.917500000000018,27.13299999999998,-2.7586995862241963,0.0024575624547878805
qwen3-8b,P1D2,L1,qwen3-8b__res_07__p8_p128,8,128,1179648,18874368,112.3035,560.8019999999999,560.8019999999999,533.2485853936948,479.96950000000004,486.964,73.83799999999991,46.28458539369484,6.9944999999999595,73.83799999999991,46.28458539369484,0.0014508259337444834
qwen3-8b,P1D2,L1,qwen3-8b__res_08__p32_p512,32,512,4718592,75497472,178.5025,1829.1045,1829.1045,1827.9944618491568,1787.3875,1798.4450000000002,30.659499999999753,29.549461849156614,11.057500000000118,30.659499999999753,29.549461849156614,0.00015652410832694405
qwen3-8b,P1D2,L1,qwen3-8b__res_09__p128_p2048,128,2048,18874368,301989888,560.8019999999999,7312.649,7312.649,7507.55065422136,7123.014,7097.361,215.28800000000047,410.1896542213599,25.653000000000247,215.28800000000047,410.1896542213599,0.010367656372558706
qwen3-8b,P1D2,L2,qwen3-8b__res_00__p2_p2,2,2,294912,294912,93.51849999999999,93.51849999999999,93.51849999999999,60.98718041772693,72.6095,79.394,14.124499999999983,18.406819582273073,6.784500000000008,14.124499999999983,-18.406819582273073,0.003986447338589879
qwen3-8b,P1D2,L2,qwen3-8b__res_01__p8_p8,8,8,1179648,1179648,107.497,107.497,107.497,86.52002839892958,83.6615,91.5435,15.953500000000005,5.023471601070412,7.881999999999991,15.953500000000005,-5.023471601070412,0.005440036703861994
qwen3-8b,P1D2,L2,qwen3-8b__res_02__p32_p32,32,32,4718592,4718592,173.9895,173.9895,173.9895,207.97389643842703,155.801,228.776,54.78650000000002,20.802103561572977,72.97500000000002,-54.78650000000002,-20.802103561572977,0.0006272511102563961
qwen3-8b,P1D2,L2,qwen3-8b__res_03__p128_p128,128,128,18874368,18874368,551.343,551.343,551.343,897.240237653489,503.36400000000003,876.7605000000001,325.41750000000013,20.479737653488883,373.39650000000006,-325.41750000000013,20.479737653488883,0.00031365464114782875
