model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-8b,P1D2,L1,qwen3-8b__res_00__p2_p2,0,qwen3-8b__p1d2__l1__r0,294912,294912,5,79.7415,76.64,74.3745,76.64,0.1444045969683583
qwen3-8b,P1D2,L1,qwen3-8b__res_00__p2_p2,1,qwen3-8b__p1d2__l1__r1,294912,294912,9,81.798,72.6575,63.97449999999999,72.6575,0.13984700824501858
qwen3-8b,P1D2,L1,qwen3-8b__res_01__p8_p8,0,qwen3-8b__p1d2__l1__r0,1179648,1179648,5,92.491,86.174,82.0695,86.174,0.09634040110110334
qwen3-8b,P1D2,L1,qwen3-8b__res_01__p8_p8,1,qwen3-8b__p1d2__l1__r1,1179648,1179648,9,91.7475,74.0215,72.5215,74.0215,0.10347378976956118
qwen3-8b,P1D2,L1,qwen3-8b__res_02__p32_p32,0,qwen3-8b__p1d2__l1__r0,4718592,4718592,5,215.2375,154.0745,153.856,154.0745,0.04245260809912536
qwen3-8b,P1D2,L1,qwen3-8b__res_02__p32_p32,1,qwen3-8b__p1d2__l1__r1,4718592,4718592,9,217.0335,146.78750000000002,145.42399999999998,146.78750000000002,0.03917533171934994
qwen3-8b,P1D2,L1,qwen3-8b__res_03__p128_p128,0,qwen3-8b__p1d2__l1__r0,18874368,18874368,5,856.2635,502.914,490.7725,502.914,0.022809923220765367
qwen3-8b,P1D2,L1,qwen3-8b__res_03__p128_p128,1,qwen3-8b__p1d2__l1__r1,18874368,18874368,9,847.5745,475.12850000000003,474.5425,475.12850000000003,0.01990036570386453
qwen3-8b,P1D2,L1,qwen3-8b__res_04__p512_p512,0,qwen3-8b__p1d2__l1__r0,75497472,75497472,5,3316.886,1858.702,1802.403,1858.702,0.008104762055812358
qwen3-8b,P1D2,L1,qwen3-8b__res_04__p512_p512,1,qwen3-8b__p1d2__l1__r1,75497472,75497472,9,3315.622,1769.849,1767.379,1769.849,0.009048765282488045
qwen3-8b,P1D2,L1,qwen3-8b__res_05__p2048_p2048,0,qwen3-8b__p1d2__l1__r0,301989888,301989888,5,13194.685,7233.215,7131.709,7233.215,0.005109899254639251
qwen3-8b,P1D2,L1,qwen3-8b__res_05__p2048_p2048,1,qwen3-8b__p1d2__l1__r1,301989888,301989888,9,13176.347,7023.345,6973.057,7023.345,0.0046135364686231825
qwen3-8b,P1D2,L1,qwen3-8b__res_06__p2_p32,0,qwen3-8b__p1d2__l1__r0,294912,4718592,5,150.9975,66.852,146.452,146.452,0.03804531261555104
qwen3-8b,P1D2,L1,qwen3-8b__res_06__p2_p32,1,qwen3-8b__p1d2__l1__r1,294912,4718592,9,151.36950000000002,58.105000000000004,141.03199999999998,141.03199999999998,0.027929303358913925
qwen3-8b,P1D2,L1,qwen3-8b__res_07__p8_p128,0,qwen3-8b__p1d2__l1__r0,1179648,18874368,5,486.964,85.0775,479.96950000000004,479.96950000000004,0.01532346342923393
qwen3-8b,P1D2,L1,qwen3-8b__res_07__p8_p128,1,qwen3-8b__p1d2__l1__r1,1179648,18874368,9,486.25750000000005,69.952,469.33299999999997,469.33299999999997,0.014591065740518295
qwen3-8b,P1D2,L1,qwen3-8b__res_08__p32_p512,0,qwen3-8b__p1d2__l1__r0,4718592,75497472,5,1798.1635,157.9305,1787.3875,1787.3875,0.014121833263703481
qwen3-8b,P1D2,L1,qwen3-8b__res_08__p32_p512,1,qwen3-8b__p1d2__l1__r1,4718592,75497472,9,1798.4450000000002,143.122,1759.673,1759.673,0.014202395237938483
