model_id,configuration,topology_level,pair_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P1D2,L1,qwen3-8b__res_00__p2_p2,79.7415,81.798,81.798,0.0251412014963691,False
qwen3-8b,P1D2,L1,qwen3-8b__res_01__p8_p8,92.491,91.7475,92.491,0.008038619973835264,False
qwen3-8b,P1D2,L1,qwen3-8b__res_02__p32_p32,215.2375,217.0335,217.0335,0.008275220184902295,False
qwen3-8b,P1D2,L1,qwen3-8b__res_03__p128_p128,856.2635,847.5745,856.2635,0.010147577235278718,False
qwen3-8b,P1D2,L1,qwen3-8b__res_04__p512_p512,3316.886,3315.622,3316.886,0.0003810803265472867,False
qwen3-8b,P1D2,L1,qwen3-8b__res_05__p2048_p2048,13194.685,13176.347,13194.685,0.0013898020301355992,False
qwen3-8b,P1D2,L1,qwen3-8b__res_06__p2_p32,150.9975,151.36950000000002,151.36950000000002,0.0024575624547878805,False
qwen3-8b,P1D2,L1,qwen3-8b__res_07__p8_p128,486.964,486.25750000000005,486.964,0.0014508259337444834,False
qwen3-8b,P1D2,L1,qwen3-8b__res_08__p32_p512,1798.1635,1798.4450000000002,1798.4450000000002,0.00015652410832694405,False
qwen3-8b,P1D2,L1,qwen3-8b__res_09__p128_p2048,7023.778,7097.361,7097.361,0.010367656372558706,False
qwen3-8b,P1D2,L2,qwen3-8b__res_00__p2_p2,79.0775,79.394,79.394,0.003986447338589879,False
qwen3-8b,P1D2,L2,qwen3-8b__res_01__p8_p8,91.0455,91.5435,91.5435,0.005440036703861994,False
qwen3-8b,P1D2,L2,qwen3-8b__res_02__p32_p32,228.6325,228.776,228.776,0.0006272511102563961,False
qwen3-8b,P1D2,L2,qwen3-8b__res_03__p128_p128,876.4855,876.7605000000001,876.7605000000001,0.00031365464114782875,False
qwen3-8b,P1D2,L2,qwen3-8b__res_04__p512_p512,3313.86,3312.638,3313.86,0.0003687542624010089,False
qwen3-8b,P1D2,L2,qwen3-8b__res_05__p2048_p2048,13186.87,13284.71,13284.71,0.007364857795164391,False
qwen3-8b,P1D2,L2,qwen3-8b__res_06__p2_p32,152.7835,151.8995,152.7835,0.005785965107488796,False
qwen3-8b,P1D2,L2,qwen3-8b__res_07__p8_p128,487.22249999999997,487.0165,487.22249999999997,0.0004228047760519279,False
qwen3-8b,P1D2,L2,qwen3-8b__res_08__p32_p512,1798.436,1804.0515,1804.0515,0.0031127160172534493,False
qwen3-8b,P1D2,L2,qwen3-8b__res_09__p128_p2048,7124.263,7101.829,7124.263,0.003148957302671195,False
qwen3-8b,P1D2,L3,qwen3-8b__res_00__p2_p2,80.007,78.74700000000001,80.007,0.015748621995575272,False
qwen3-8b,P1D2,L3,qwen3-8b__res_01__p8_p8,92.0775,91.33500000000001,92.0775,0.008063859249002119,False
qwen3-8b,P1D2,L3,qwen3-8b__res_02__p32_p32,230.4315,229.6275,230.4315,0.003489106307080421,False
qwen3-8b,P1D2,L3,qwen3-8b__res_03__p128_p128,878.1669999999999,878.2305,878.2305,7.23044804297847e-05,False
qwen3-8b,P1D2,L3,qwen3-8b__res_04__p512_p512,3321.582,3323.582,3323.582,0.000601760389844451,False
qwen3-8b,P1D2,L3,qwen3-8b__res_05__p2048_p2048,13276.558,13199.287,13276.558,0.005820107892422165,False
qwen3-8b,P1D2,L3,qwen3-8b__res_06__p2_p32,151.375,152.317,152.317,0.006184470544981895,False
qwen3-8b,P1D2,L3,qwen3-8b__res_07__p8_p128,486.0335,487.23749999999995,487.23749999999995,0.0024710741681417195,False
qwen3-8b,P1D2,L3,qwen3-8b__res_08__p32_p512,1801.5735,1797.0695,1801.5735,0.0025000367734094144,False
qwen3-8b,P1D2,L3,qwen3-8b__res_09__p128_p2048,7122.484,7130.018,7130.018,0.0010566593240016577,False
qwen3-8b,P2D1,L1,qwen3-8b__res_00__p2_p2,64.8125,78.076,78.076,0.1698793483272708,False
qwen3-8b,P2D1,L1,qwen3-8b__res_01__p8_p8,94.624,101.03399999999999,101.03399999999999,0.06344398915216656,False
qwen3-8b,P2D1,L1,qwen3-8b__res_02__p32_p32,238.5575,247.4065,247.4065,0.03576704734920057,False
qwen3-8b,P2D1,L1,qwen3-8b__res_03__p128_p128,854.318,873.722,873.722,0.02220843700856794,False
qwen3-8b,P2D1,L1,qwen3-8b__res_04__p512_p512,3298.862,3335.182,3335.182,0.010889960427946575,False
qwen3-8b,P2D1,L1,qwen3-8b__res_05__p2048_p2048,13102.426,13213.73,13213.73,0.008423359641827107,False
qwen3-8b,P2D1,L1,qwen3-8b__res_06__p2_p32,146.6375,151.56,151.56,0.032478886249670186,False
qwen3-8b,P2D1,L1,qwen3-8b__res_07__p8_p128,470.446,481.029,481.029,0.022000752553380295,False
qwen3-8b,P2D1,L1,qwen3-8b__res_08__p32_p512,1772.4560000000001,1792.4885,1792.4885,0.011175803917291408,False
qwen3-8b,P2D1,L1,qwen3-8b__res_09__p128_p2048,7036.398,7182.593,7182.593,0.020354069902053438,False
qwen3-8b,P2D1,L2,qwen3-8b__res_00__p2_p2,68.8605,72.20949999999999,72.20949999999999,0.04637893905926491,False
qwen3-8b,P2D1,L2,qwen3-8b__res_01__p8_p8,86.621,89.94550000000001,89.94550000000001,0.03696127099187858,False
qwen3-8b,P2D1,L2,qwen3-8b__res_02__p32_p32,202.97899999999998,191.99599999999998,202.97899999999998,0.05410904576335485,False
qwen3-8b,P2D1,L2,qwen3-8b__res_03__p128_p128,873.6700000000001,874.0260000000001,874.0260000000001,0.00040731053767278604,False
qwen3-8b,P2D1,L2,qwen3-8b__res_04__p512_p512,3338.93,3335.365,3338.93,0.0010677073194107257,False
qwen3-8b,P2D1,L2,qwen3-8b__res_05__p2048_p2048,13256.027,13362.782,13362.782,0.007988980139015903,False
qwen3-8b,P2D1,L2,qwen3-8b__res_06__p2_p32,147.60899999999998,150.166,150.166,0.017027822543052466,False
qwen3-8b,P2D1,L2,qwen3-8b__res_07__p8_p128,474.30150000000003,482.199,482.199,0.016378092862075574,False
qwen3-8b,P2D1,L2,qwen3-8b__res_08__p32_p512,1794.2105000000001,1798.9275,1798.9275,0.002622117900804713,False
qwen3-8b,P2D1,L2,qwen3-8b__res_09__p128_p2048,7024.798,7265.507,7265.507,0.033130378926068044,False
qwen3-8b,P2D1,L3,qwen3-8b__res_00__p2_p2,75.689,76.4495,76.4495,0.00994774328151273,False
qwen3-8b,P2D1,L3,qwen3-8b__res_01__p8_p8,86.8965,90.7515,90.7515,0.042478636716748376,False
qwen3-8b,P2D1,L3,qwen3-8b__res_02__p32_p32,207.5655,229.57299999999998,229.57299999999998,0.09586275389527513,False
qwen3-8b,P2D1,L3,qwen3-8b__res_03__p128_p128,850.9005,872.9559999999999,872.9559999999999,0.025265305467858563,False
qwen3-8b,P2D1,L3,qwen3-8b__res_04__p512_p512,3319.055,3341.581,3341.581,0.006741120445681339,False
qwen3-8b,P2D1,L3,qwen3-8b__res_05__p2048_p2048,13215.638,13359.546,13359.546,0.0107719229380998,False
qwen3-8b,P2D1,L3,qwen3-8b__res_06__p2_p32,148.0675,148.68,148.68,0.0041195856873823735,False
qwen3-8b,P2D1,L3,qwen3-8b__res_07__p8_p128,481.461,481.5155,481.5155,0.0001131843107853471,False
qwen3-8b,P2D1,L3,qwen3-8b__res_08__p32_p512,1798.6975,1800.4775,1800.4775,0.0009886266282138892,False
qwen3-8b,P2D1,L3,qwen3-8b__res_09__p128_p2048,7304.97,7286.267,7304.97,0.0025603116782136584,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_00__p2_p2,179.60750000000002,179.1345,179.60750000000002,0.0026335203151316797,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_01__p3_p3,272.786,272.218,272.786,0.0020822182956602743,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_02__p6_p6,537.5595000000001,539.572,539.572,0.003729808070099879,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_03__p12_p12,1062.726,1068.219,1068.219,0.005142203986261186,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_04__p24_p24,2119.268,2113.006,2119.268,0.0029547938250377823,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_05__p48_p48,4185.226,4187.967,4187.967,0.0006544941734259094,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_06__p1_p6,340.422,332.2045,340.422,0.024139156693750784,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_07__p3_p12,683.558,683.195,683.558,0.0005310449149888418,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_08__p6_p24,1310.6865,1311.5875,1311.5875,0.0006869537869185756,False
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_09__p12_p48,2562.89,2572.292,2572.292,0.003655106029953071,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_00__p2_p2,185.00349999999997,185.639,185.639,0.0034233108344692434,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_01__p3_p3,280.977,281.924,281.924,0.003359061307302687,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_02__p6_p6,542.6595,543.197,543.197,0.000989512092298048,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_03__p12_p12,1068.257,1075.729,1075.729,0.006945987325804157,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_04__p24_p24,2110.335,2117.274,2117.274,0.0032773273558357827,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_05__p48_p48,4194.042,4208.863,4208.863,0.0035213785765894285,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_06__p1_p6,331.87850000000003,332.082,332.082,0.000612800452900075,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_07__p3_p12,680.763,680.217,680.763,0.0008020412390215818,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_08__p6_p24,1309.3805,1310.824,1310.824,0.0011012157238501014,False
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_09__p12_p48,2573.859,2574.113,2574.113,9.867476680313002e-05,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_00__p2_p2,187.515,187.04649999999998,187.515,0.0024984667893235527,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_01__p3_p3,279.916,282.296,282.296,0.008430866891489768,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_02__p6_p6,555.1335,557.0725,557.0725,0.0034806959596820246,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_03__p12_p12,1079.67,1084.448,1084.448,0.0044059281772846825,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_04__p24_p24,2122.235,2117.896,2122.235,0.0020445426637483322,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_05__p48_p48,4216.609,4214.632,4216.609,0.00046886016702064886,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_06__p1_p6,331.5915,331.79549999999995,331.79549999999995,0.0006148365484159699,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_07__p3_p12,680.722,680.61,680.722,0.00016453118894345467,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_08__p6_p24,1312.5475000000001,1312.3310000000001,1312.5475000000001,0.0001649464114632014,False
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_09__p12_p48,2571.406,2590.781,2590.781,0.0074784398990111476,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_00__p2_p2,195.3905,199.981,199.981,0.02295468069466595,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_01__p3_p3,284.507,291.97950000000003,291.97950000000003,0.025592550161912135,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_02__p6_p6,550.819,559.4105,559.4105,0.015358131461601091,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_03__p12_p12,1067.833,1084.84,1084.84,0.01567696618856222,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_04__p24_p24,2100.134,2136.557,2136.557,0.0170475208477938,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_05__p48_p48,4157.041,4244.36,4244.36,0.020572948571751574,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_06__p1_p6,315.2245,317.2425,317.2425,0.006361064485370116,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_07__p3_p12,654.239,661.286,661.286,0.01065650868156881,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_08__p6_p24,1277.3519999999999,1294.162,1294.162,0.012989100282654082,False
deepseek-v2-lite,P2D1,L1,deepseek-v2-lite__res_09__p12_p48,2534.181,2558.761,2558.761,0.009606211756393007,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__res_00__p2_p2,173.68200000000002,150.209,173.68200000000002,0.13514929583952287,False
deepseek-v2-lite,P2D1,L2,deepseek-v2-lite__res_01__p3_p3,265.714,280.2145,280.2145,0.05174785744492162,False
