model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_00__p2_p2,0,qwen3-30b-a3b__p1d2__l1__r0,196608,196608,5,95.0455,91.365,89.5195,91.365,0.1444919790380446
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_00__p2_p2,1,qwen3-30b-a3b__p1d2__l1__r1,196608,196608,7,94.036,91.973,85.8295,91.973,0.1375415345274561
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_01__p8_p8,0,qwen3-30b-a3b__p1d2__l1__r0,786432,786432,5,100.6785,97.78999999999999,90.2295,97.78999999999999,0.1417374640224391
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_01__p8_p8,1,qwen3-30b-a3b__p1d2__l1__r1,786432,786432,7,99.463,94.723,88.8355,94.723,0.11834670034415748
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_02__p32_p32,0,qwen3-30b-a3b__p1d2__l1__r0,3145728,3145728,5,157.6035,134.6805,133.8835,134.6805,0.059852924243614936
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_02__p32_p32,1,qwen3-30b-a3b__p1d2__l1__r1,3145728,3145728,7,178.60649999999998,137.8615,133.9185,137.8615,0.058290452845197405
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_03__p128_p128,0,qwen3-30b-a3b__p1d2__l1__r0,12582912,12582912,5,560.826,354.483,349.842,354.483,0.027800826795767345
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_03__p128_p128,1,qwen3-30b-a3b__p1d2__l1__r1,12582912,12582912,7,592.658,361.229,352.357,361.229,0.02894426533187316
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_04__p512_p512,0,qwen3-30b-a3b__p1d2__l1__r0,50331648,50331648,5,2192.201,1266.243,1231.891,1266.243,0.010393189084292442
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_04__p512_p512,1,qwen3-30b-a3b__p1d2__l1__r1,50331648,50331648,7,2230.705,1267.884,1225.575,1267.884,0.008603263900622379
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_05__p2048_p2048,0,qwen3-30b-a3b__p1d2__l1__r0,201326592,201326592,5,8766.85,4849.677,4751.518,4849.677,0.005195130791291216
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_05__p2048_p2048,1,qwen3-30b-a3b__p1d2__l1__r1,201326592,201326592,7,8792.767,4851.567,4741.721,4851.567,0.006169030945683907
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_06__p2_p32,0,qwen3-30b-a3b__p1d2__l1__r0,196608,3145728,5,133.6575,80.27950000000001,126.348,126.348,0.10445716196069804
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_06__p2_p32,1,qwen3-30b-a3b__p1d2__l1__r1,196608,3145728,7,133.715,80.79599999999999,125.973,125.973,0.04486013427716253
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_07__p8_p128,0,qwen3-30b-a3b__p1d2__l1__r0,786432,12582912,5,352.652,88.836,340.3855,340.3855,0.01779695293410943
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_07__p8_p128,1,qwen3-30b-a3b__p1d2__l1__r1,786432,12582912,7,354.1605,87.85300000000001,340.63199999999995,340.63199999999995,0.01440982338640645
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_08__p32_p512,0,qwen3-30b-a3b__p1d2__l1__r0,3145728,50331648,5,1227.0995,139.35750000000002,1221.8245000000002,1221.8245000000002,0.018306421693899205
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_08__p32_p512,1,qwen3-30b-a3b__p1d2__l1__r1,3145728,50331648,7,1228.2930000000001,140.316,1219.618,1219.618,0.015138118031615942
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_09__p128_p2048,0,qwen3-30b-a3b__p1d2__l1__r0,12582912,201326592,5,4738.489,354.28,4751.405,4751.405,0.015390807259357547
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_09__p128_p2048,1,qwen3-30b-a3b__p1d2__l1__r1,12582912,201326592,7,4746.901,358.389,4756.388,4756.388,0.013935160000187729
