model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,graph_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,graph_absolute_error_us,graph_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v00,1|1|1|1,4,589824,94.6865|94.6865|94.6865|94.6865,94.6865,378.746,378.746,224.10690752070678,75.768,135.97199999999998,41.285499999999985,88.1349075207068,88.1349075207068,0.11959447533315673
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v01,2|2|2|2,4,1179648,98.975|98.975|98.975|98.975,98.975,395.9,395.9,239.23151671657743,67.838,139.564,40.589,99.66751671657744,99.66751671657744,0.1342000802499212
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v02,4|4|4|4,4,2359296,102.9795|102.9795|102.9795|102.9795,102.9795,411.918,411.918,253.35451952055655,70.289,153.20600000000002,50.226500000000016,100.14851952055653,100.14851952055653,0.18346213594767838
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v03,8|8|8|8,4,4718592,112.3035|112.3035|112.3035|112.3035,112.3035,449.214,449.214,286.23824486561847,80.19,144.503,32.199499999999986,141.73524486561848,141.73524486561848,0.13238825491512277
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v04,16|16|16|16,4,9437184,135.1405|135.1405|135.1405|135.1405,135.1405,540.562,540.562,366.779389836144,111.671,201.84550000000002,66.70500000000001,164.93388983614398,164.93388983614398,0.1280583416524025
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v05,1|2|4|8,4,2211840,94.6865|98.975|102.9795|112.3035,112.3035,408.9445,408.94449999999995,252.00508031061872,77.9405,149.92849999999999,37.624999999999986,102.07658031061874,102.07658031061874,0.16558226087768488
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v06,1|1|8|8,4,2654208,94.6865|94.6865|112.3035|112.3035,112.3035,413.98,413.97999999999996,256.2857666890615,79.81700000000001,141.26600000000002,28.96250000000002,115.0197666890615,115.0197666890615,0.12252417425282815
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v07,2|4|8|16,4,4423680,98.975|102.9795|112.3035|135.1405,135.1405,449.3985,449.3985,289.28115675875995,102.42750000000001,161.132,25.991500000000002,128.14915675875994,128.14915675875994,0.00832857532954356
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v08,1|4|4|16,4,3686400,94.6865|102.9795|102.9795|135.1405,135.1405,435.786,435.78599999999994,277.70914934607947,101.73249999999999,157.957,22.81649999999999,119.75214934607948,119.75214934607948,0.005814873668150158
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v09,2|2|2|16,4,3244032,98.975|98.975|98.975|135.1405,135.1405,432.0655,432.06549999999993,274.5463465120022,102.0535,163.18349999999998,28.042999999999978,111.36284651200219,111.36284651200219,0.012951677099706698
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v00,1|1|1|1,4,589824,83.1415|83.1415|83.1415|83.1415,83.14150000000001,332.56600000000003,332.56600000000003,183.3901969770839,79.326,107.3005,24.158999999999992,76.08969697708389,76.08969697708389,0.009515333106555895
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v01,2|2|2|2,4,1179648,93.5185|93.5185|93.5185|93.5185,93.51849999999999,374.07399999999996,374.07399999999996,219.98762489489891,80.554,112.199,18.68050000000001,107.78862489489892,107.78862489489892,0.007647126979741389
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v02,4|4|4|4,4,2359296,96.791|96.791|96.791|96.791,96.791,387.164,387.164,231.529022491608,82.7065,114.4445,17.653500000000008,117.084522491608,117.084522491608,0.0046660171524189106
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v03,8|8|8|8,4,4718592,107.497|107.497|107.497|107.497,107.497,429.988,429.988,269.28676203946657,91.374,115.18,7.683000000000007,154.10676203946656,154.10676203946656,0.01008855704115303
