model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v00,0,qwen3-8b__p1d4__l1__r0,7,135.97199999999998,66.4445,0.1074570993797614
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v00,1,qwen3-8b__p1d4__l1__r1,5,119.7105,75.768,0.07163258044694086
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v01,0,qwen3-8b__p1d4__l1__r0,7,139.564,67.838,0.1217044553546235
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v01,1,qwen3-8b__p1d4__l1__r1,5,120.83449999999999,66.5635,0.05346106618584007
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v02,0,qwen3-8b__p1d4__l1__r0,7,153.20600000000002,70.289,0.12664728448984763
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v02,1,qwen3-8b__p1d4__l1__r1,5,125.0985,69.256,0.1106293652107583
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v03,0,qwen3-8b__p1d4__l1__r0,7,144.503,80.19,0.1433073435936294
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v03,1,qwen3-8b__p1d4__l1__r1,5,125.3725,79.529,0.13847898183394577
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v04,0,qwen3-8b__p1d4__l1__r0,7,175.9975,111.671,0.05425944750095573
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v04,1,qwen3-8b__p1d4__l1__r1,5,201.84550000000002,103.5635,0.06092850650328618
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v05,0,qwen3-8b__p1d4__l1__r0,7,149.92849999999999,77.9405,0.14274235792012832
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v05,1,qwen3-8b__p1d4__l1__r1,5,125.10300000000001,77.4675,0.14217476254319666
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v06,0,qwen3-8b__p1d4__l1__r0,7,141.26600000000002,79.81700000000001,0.1462264175085543
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v06,1,qwen3-8b__p1d4__l1__r1,5,123.9575,78.243,0.1370251483023093
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v07,0,qwen3-8b__p1d4__l1__r0,7,159.79,102.42750000000001,0.10260667721973114
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v07,1,qwen3-8b__p1d4__l1__r1,5,161.132,101.1485,0.017528316997665657
