model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v00,135.97199999999998,119.7105,135.97199999999998,0.11959447533315673,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v01,139.564,120.83449999999999,139.564,0.1342000802499212,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v02,153.20600000000002,125.0985,153.20600000000002,0.18346213594767838,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v03,144.503,125.3725,144.503,0.13238825491512277,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v04,175.9975,201.84550000000002,201.84550000000002,0.1280583416524025,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v05,149.92849999999999,125.10300000000001,149.92849999999999,0.16558226087768488,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v06,141.26600000000002,123.9575,141.26600000000002,0.12252417425282815,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v07,159.79,161.132,161.132,0.00832857532954356,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v08,157.0385,157.957,157.957,0.005814873668150158,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__v09,163.18349999999998,161.07,163.18349999999998,0.012951677099706698,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v00,107.3005,106.2795,107.3005,0.009515333106555895,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v01,111.341,112.199,112.199,0.007647126979741389,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v02,114.4445,113.9105,114.4445,0.0046660171524189106,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v03,115.18,114.018,115.18,0.01008855704115303,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v04,200.895,201.4155,201.4155,0.002584210251941873,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v05,111.979,112.0375,112.0375,0.0005221466026999452,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v06,113.715,114.316,114.316,0.005257356800447873,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v07,161.1055,160.2875,161.1055,0.00507741821353096,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v08,158.88799999999998,150.85899999999998,158.88799999999998,0.05053245053119177,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v09,158.8765,156.85500000000002,158.8765,0.0127237193669295,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v00,108.126,107.5925,108.126,0.004934058413332627,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v01,111.972,113.46549999999999,113.46549999999999,0.013162591272236913,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v02,112.788,114.31700000000001,114.31700000000001,0.01337508856950419,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v03,115.44300000000001,113.55799999999999,115.44300000000001,0.016328404493992872,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v04,202.16750000000002,202.154,202.16750000000002,6.677631172182386e-05,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v05,115.804,112.763,115.804,0.026259887395944845,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v06,115.297,113.0855,115.297,0.019180898028569704,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v07,159.3255,159.434,159.434,0.0006805323833058963,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v08,158.631,158.809,158.809,0.0011208432771442254,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v09,158.7885,159.4875,159.4875,0.004382788619797866,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v00,83.31899999999999,76.3575,83.31899999999999,0.0835523710078132,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v01,85.83,83.116,85.83,0.031620645461959675,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v02,99.22149999999999,98.7165,99.22149999999999,0.005089622712819253,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v03,142.452,142.356,142.452,0.0006739112121978185,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v04,241.60250000000002,241.8315,241.8315,0.0009469403282863687,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v05,101.8655,95.52699999999999,101.8655,0.06222420741075252,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v06,108.33250000000001,108.8535,108.8535,0.004786249408608695,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v07,143.51749999999998,142.97500000000002,143.51749999999998,0.0037800268259965608,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v08,131.5115,125.9265,131.5115,0.042467768978378374,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v09,116.739,120.2235,120.2235,0.028983518197357398,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v00,84.499,81.818,84.499,0.03172818613238024,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v01,85.5355,82.6505,85.5355,0.033728685750361025,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v02,94.35499999999999,86.441,94.35499999999999,0.08387472841926753,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v03,129.2595,120.128,129.2595,0.07064471083363313,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v04,234.851,229.6235,234.851,0.022258793873562353,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v05,89.80199999999999,93.669,93.669,0.04128366909009389,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v06,95.413,93.07650000000001,95.413,0.024488277278777386,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v07,119.7165,119.022,119.7165,0.005801205347633708,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v08,115.643,120.8905,120.8905,0.04340705018177609,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v09,117.09800000000001,107.188,117.09800000000001,0.08462996806094049,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v00,85.976,85.334,85.976,0.007467200148878709,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v01,85.007,86.1,86.1,0.012694541231126474,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v02,94.8425,95.17150000000001,95.17150000000001,0.0034569172493867147,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v03,130.1405,129.848,130.1405,0.002247570894533137,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v04,225.353,232.7225,232.7225,0.03166646972252356,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v05,93.5445,92.66,93.5445,0.009455392887876921,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v06,96.689,95.49449999999999,96.689,0.012354042341941741,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v07,130.6255,121.4385,130.6255,0.07033083126954526,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v08,120.5955,120.008,120.5955,0.004871657731839129,False
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__v09,114.42699999999999,113.14250000000001,114.42699999999999,0.011225497478741731,False
