slice_type,slice_value,points,max_edge_wape,r61_graph_wape,phase65_wape,max_edge_signed_bias,r61_graph_signed_bias,phase65_signed_bias
configuration,P1D4,60,0.5455958503987599,0.09868554027260076,0.05143361636481742,-0.5455667830993334,0.09278089473855065,-0.037872744365759735
configuration,P2D2_ALL_TO_ALL,60,0.33117916849888807,0.05494369439750256,0.05966298466565985,-0.3311359723779109,-0.05218531864803189,-0.05176915494562065
configuration,P2D2_MATCHING,60,0.04605336473497714,0.19317643845240734,0.050819878548936936,0.044339036217645476,-0.1931764384524074,-0.03754690211725081
configuration,P4D1,60,0.5427893165442591,0.10762630015954795,0.05535390181222801,-0.5421697914660699,0.10094968042225307,-0.04418984765294864
configuration_topology,P1D4/L1,20,0.5449345832083093,0.104674826367027,0.05283551475900935,-0.544847432075032,0.09820103384556846,-0.03413308526207643
configuration_topology,P1D4/L2,20,0.5460865321874754,0.0941009269970307,0.05096118510550911,-0.5460865321874754,0.0886538741513437,-0.040645519394552514
configuration_topology,P1D4/L3,20,0.545767079818806,0.09727497634175612,0.050503018741934094,-0.545767079818806,0.09148245399367762,-0.03884326965325168
configuration_topology,P2D2_ALL_TO_ALL/L1,20,0.3268571298654133,0.048606842102386555,0.05372149548658287,-0.3268571298654133,-0.044509660701382826,-0.04412863759245436
configuration_topology,P2D2_ALL_TO_ALL/L2,20,0.34249729307809873,0.07116336312382421,0.07330064210349008,-0.3424972930780988,-0.06956241493224027,-0.06906134744856783
configuration_topology,P2D2_ALL_TO_ALL/L3,20,0.32390527111513356,0.04466379690976768,0.0516374155177102,-0.32377418760625093,-0.0420649229253977,-0.04170058662975612
configuration_topology,P2D2_MATCHING/L1,20,0.05982877853213345,0.18352924787875272,0.04566697799421964,0.057273080127379895,-0.18352924787875283,-0.025933867613948433
configuration_topology,P2D2_MATCHING/L2,20,0.039165701384044765,0.19699721787320335,0.05318685743706687,0.03908394781413479,-0.19699721787320323,-0.042086906323568346
configuration_topology,P2D2_MATCHING/L3,20,0.039350521603973114,0.1988693254087833,0.053535791095452076,0.03683856468709369,-0.1988693254087833,-0.04445896098035491
configuration_topology,P4D1/L1,20,0.5451799466637105,0.10665324177182413,0.05838605782791693,-0.5450129326883794,0.09780171072297525,-0.046216326383341104
configuration_topology,P4D1/L2,20,0.5414290688485661,0.10694733812083144,0.05438469358776751,-0.5404820524878275,0.1020955077891984,-0.04372807044063668
configuration_topology,P4D1/L3,20,0.541728252565407,0.1092881044103462,0.05325369793760028,-0.5409777464774735,0.10299080813565858,-0.042600654844689265
model,deepseek-v2-lite,120,0.45096495260445496,0.06115956840348186,0.04819243969143423,-0.4431272988940079,0.012579555546042603,-0.03889648139502134
model,qwen3-8b,120,0.2616632134864542,0.5275021846819761,0.11653728181925876,-0.211611655147866,0.16911594309779765,-0.08330057400618333
model_configuration,deepseek-v2-lite/P1D4,30,0.565189205575417,0.05568976871305494,0.04139857826533008,-0.565189205575417,0.04924679390861886,-0.031025243525715326
model_configuration,deepseek-v2-lite/P2D2_ALL_TO_ALL,30,0.34704100561318024,0.03677935204082567,0.055208061192098916,-0.34704100561318024,-0.03370846495379634,-0.050083856301041216
model_configuration,deepseek-v2-lite/P2D2_MATCHING,30,0.03279952171365006,0.11614271479413726,0.04820539757869057,0.030852185329366694,-0.11614271479413721,-0.03397983885997766
model_configuration,deepseek-v2-lite/P4D1,30,0.5627807785959855,0.062329925032237235,0.05032142742076984,-0.5627807785959854,0.055058596004920975,-0.041167246133243025
model_configuration,qwen3-8b/P1D4,30,0.33068682816042094,0.570283137668961,0.16150257630765785,-0.33033893721682817,0.570283137668961,-0.1129793147842541
model_configuration,qwen3-8b/P2D2_ALL_TO_ALL,30,0.19117494599635113,0.21527093837260414,0.09898428728212738,-0.19075048008367568,-0.21527093837260422,-0.06664441338629143
model_configuration,qwen3-8b/P2D2_MATCHING,30,0.1435669867124427,0.7599431789548878,0.07005562086078099,0.14356698671244278,-0.7599431789548879,-0.06379115878150537
model_configuration,qwen3-8b/P4D1,30,0.31835127202142044,0.6161548825734897,0.11185195626205718,-0.31077652792414096,0.6161548825734898,-0.0781236726377945
overall,all,240,0.43362297606240496,0.1038813244197786,0.05445352664432288,-0.42191809668768004,0.02691989057702509,-0.04296435069205827
topology,L1,80,0.43582470574738646,0.10285922390905802,0.05394289388531337,-0.4210096531581489,0.031110548719011092,-0.03925705716894701
topology,L2,80,0.43433399769436165,0.10615698443513753,0.05737276046690946,-0.4240812181185607,0.021067372333050453,-0.048214819072734345
topology,L3,80,0.43069899580382764,0.10262085834578198,0.05203318544032699,-0.4206566266917465,0.02859389263493893,-0.0414100948511033
