model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase65_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v00,3|3|3|3,4,1769472,101.979|101.979|101.979|101.979,101.979,407.916,407.916,249.8259730589805,120.861529387723,85.299,109.064,7.084999999999994,140.76197305898052,11.797529387723003,11.797529387723003,0.010640541333528798
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v01,6|6|6|6,4,3538944,108.1675|108.1675|108.1675|108.1675,108.16749999999999,432.66999999999996,432.66999999999996,271.651470087929,134.03326492925137,89.315,112.77000000000001,4.6025000000000205,158.881470087929,21.263264929251363,21.263264929251363,0.00274009044958776
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v02,12|12|12|12,4,7077888,123.5575|123.5575|123.5575|123.5575,123.5575,494.23,494.23,325.9286615358595,166.7896695481611,103.923,148.812,25.254500000000007,177.11666153585946,17.97766954816109,17.97766954816109,0.03180523076096016
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v03,24|24|24|24,4,14155776,158.1575|158.1575|158.1575|158.1575,158.1575,632.63,632.63,447.9553557592768,240.4330483535071,139.52800000000002,305.663,147.5055,142.2923557592768,65.2299516464929,-65.2299516464929,0.03812368523504651
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v04,32|32|32|32,4,18874368,178.5025|178.5025|178.5025|178.5025,178.5025,714.01,714.01,519.7077573192602,283.73578077532113,163.8895,402.669,224.16649999999998,117.03875731926018,118.93321922467885,-118.93321922467885,0.027541231135249984
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v05,3|6|12|24,4,6635520,101.979|108.1675|123.5575|158.1575,158.1575,491.8615,491.8615,328.28783506345303,199.87167437988694,136.3095,204.01749999999998,45.859999999999985,124.27033506345305,4.145825620113044,-4.145825620113044,0.07382454936463768
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v06,3|3|12|12,4,4423680,101.979|101.979|123.5575|123.5575,123.5575,451.073,451.073,289.24082874180635,154.35430782604624,101.5495,122.418,1.1394999999999982,166.82282874180635,31.93630782604623,31.93630782604623,0.020352399156986733
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v07,6|12|24|32,4,10911744,108.1675|123.5575|158.1575|178.5025,178.5025,568.385,568.385,395.9117184232761,241.7750432174979,160.948,274.65250000000003,96.15000000000003,121.25921842327608,32.87745678250212,-32.87745678250212,0.005066402089913853
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v08,3|12|12|32,4,8699904,101.979|123.5575|123.5575|178.5025,178.5025,527.5965,527.5965,361.23735116141285,230.02214677885567,160.7885,263.1915,84.68900000000002,98.04585116141283,33.16935322114435,-33.16935322114435,0.05549951271222675
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v09,6|6|6|32,4,7372800,108.1675|108.1675|108.1675|178.5025,178.5025,503.005,503.00499999999994,340.33207878022415,222.9362928550568,161.1035,235.202,56.6995,105.13007878022415,12.265707144943207,-12.265707144943207,0.008320507478677875
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v00,3|3|3|3,4,1769472,95.1135|95.1135|95.1135|95.1135,95.1135,380.454,380.454,225.6128438916143,106.24885259037897,84.515,106.92349999999999,11.809999999999988,118.6893438916143,0.6746474096210164,-0.6746474096210164,0.0030535850397712533
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v01,6|6|6|6,4,3538944,102.111|102.111|102.111|102.111,102.111,408.444,408.444,250.29150842422595,121.14248100628676,86.6435,114.63,12.518999999999991,135.66150842422596,6.512481006286762,6.512481006286762,0.006503533106516556
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v02,12|12|12|12,4,7077888,118.727|118.727|118.727|118.727,118.727,474.908,474.908,308.8925359160266,156.5083302036749,102.52,148.7105,29.983499999999992,160.1820359160266,7.797830203674891,7.797830203674891,0.0020644137434813812
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v03,24|24|24|24,4,14155776,153.908|153.908|153.908|153.908,153.908,615.632,615.632,432.96829110313763,231.38832181497187,138.3045,303.7185,149.81050000000002,129.24979110313762,72.33017818502813,-72.33017818502813,0.00031937468412374234
