model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v00,0,qwen3-8b__p1d4__l1__r0,7,107.90350000000001,82.028,0.1267094094349805
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v00,1,qwen3-8b__p1d4__l1__r1,5,109.064,85.299,0.09108762397762063
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v01,0,qwen3-8b__p1d4__l1__r0,7,112.461,85.68549999999999,0.14938903459838182
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v01,1,qwen3-8b__p1d4__l1__r1,5,112.77000000000001,89.315,0.13037592428371042
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v02,0,qwen3-8b__p1d4__l1__r0,7,144.079,101.89250000000001,0.06172278345004767
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v02,1,qwen3-8b__p1d4__l1__r1,5,148.812,103.923,0.04997997070510071
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v03,0,qwen3-8b__p1d4__l1__r0,7,294.01,139.52800000000002,0.030013559320274035
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v03,1,qwen3-8b__p1d4__l1__r1,5,305.663,138.708,0.033136700030073934
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v04,0,qwen3-8b__p1d4__l1__r0,7,391.579,163.47449999999998,0.02282896266412441
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v04,1,qwen3-8b__p1d4__l1__r1,5,402.669,163.8895,0.02299780625757409
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v05,0,qwen3-8b__p1d4__l1__r0,7,188.95600000000002,136.3095,0.04637151722493182
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v05,1,qwen3-8b__p1d4__l1__r1,5,204.01749999999998,136.293,0.041938781606909205
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v06,0,qwen3-8b__p1d4__l1__r0,7,119.9265,100.7875,0.09902385663881481
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v06,1,qwen3-8b__p1d4__l1__r1,5,122.418,101.5495,0.1005791309225607
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v07,0,qwen3-8b__p1d4__l1__r0,7,274.65250000000003,160.948,0.03904871342848712
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v07,1,qwen3-8b__p1d4__l1__r1,5,273.26099999999997,159.524,0.0197008153889017
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v08,0,qwen3-8b__p1d4__l1__r0,7,248.5845,160.7885,0.038509878923453526
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v08,1,qwen3-8b__p1d4__l1__r1,5,263.1915,159.898,0.0394784699827335
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v09,0,qwen3-8b__p1d4__l1__r0,7,233.245,161.1035,0.04966355144052624
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v09,1,qwen3-8b__p1d4__l1__r1,5,235.202,160.04500000000002,0.043174365944820395
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v00,0,qwen3-8b__p1d4__l2__r0,5,106.59700000000001,84.3825,0.028393547589927706
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v00,1,qwen3-8b__p1d4__l2__r1,5,106.92349999999999,84.515,0.010350581517052445
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v01,0,qwen3-8b__p1d4__l2__r0,5,114.63,85.561,0.01848417090075112
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v01,1,qwen3-8b__p1d4__l2__r1,5,113.8845,86.6435,0.011416843990214648
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v02,0,qwen3-8b__p1d4__l2__r0,5,148.7105,101.58449999999999,0.014995169779062775
