model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v00,107.90350000000001,109.064,109.064,0.010640541333528798,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v01,112.461,112.77000000000001,112.77000000000001,0.00274009044958776,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v02,144.079,148.812,148.812,0.03180523076096016,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v03,294.01,305.663,305.663,0.03812368523504651,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v04,391.579,402.669,402.669,0.027541231135249984,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v05,188.95600000000002,204.01749999999998,204.01749999999998,0.07382454936463768,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v06,119.9265,122.418,122.418,0.020352399156986733,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v07,274.65250000000003,273.26099999999997,274.65250000000003,0.005066402089913853,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v08,248.5845,263.1915,263.1915,0.05549951271222675,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__blind_v09,233.245,235.202,235.202,0.008320507478677875,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v00,106.59700000000001,106.92349999999999,106.92349999999999,0.0030535850397712533,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v01,114.63,113.8845,114.63,0.006503533106516556,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v02,148.7105,148.4035,148.7105,0.0020644137434813812,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v03,303.62149999999997,303.7185,303.7185,0.00031937468412374234,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v04,401.2595,400.5815,401.2595,0.0016896796212924486,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v05,199.985,201.1935,201.1935,0.006006655284589147,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v06,126.1195,127.0205,127.0205,0.007093343200506975,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v07,274.9365,273.1135,274.9365,0.006630621979984599,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v08,263.1195,265.904,265.904,0.010471824417834933,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__blind_v09,235.3155,239.3595,239.3595,0.016895088768150046,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v00,107.667,107.0655,107.667,0.005586670010309579,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v01,113.726,115.721,115.721,0.01723974041012439,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v02,149.08749999999998,148.005,149.08749999999998,0.007260836756937919,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v03,305.58299999999997,303.77700000000004,305.58299999999997,0.005910014627776829,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v04,400.466,399.289,400.466,0.0029390759764874445,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v05,203.2865,202.93099999999998,203.2865,0.00174876344469508,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v06,123.2485,125.506,125.506,0.017987187863528382,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v07,271.5565,275.092,275.092,0.012852064036758454,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v08,267.7505,263.5945,267.7505,0.015521913124345262,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__blind_v09,235.1205,238.62849999999997,238.62849999999997,0.014700674898429909,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v00,99.7945,80.7465,99.7945,0.19087224245825174,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v01,127.27250000000001,117.4675,127.27250000000001,0.07703942328468448,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__blind_v02,198.5785,189.58749999999998,198.5785,0.045276804890761156,False
