candidate_id,oof_scheme,slice_type,slice_value,points,wape,signed_bias
max_edge,payload_cohort,configuration,P1D4,120,0.5136595185021281,-0.5136392940764956
max_edge,payload_cohort,configuration,P2D2_ALL_TO_ALL,120,0.30179679636017387,-0.2995737923906863
max_edge,payload_cohort,configuration,P2D2_MATCHING,120,0.06441886667735595,0.063307567206799
max_edge,payload_cohort,configuration,P4D1,120,0.5108959866370115,-0.5066305669559996
max_edge,payload_cohort,configuration_topology,P1D4/L1,40,0.5125899896902941,-0.5125294264299158
max_edge,payload_cohort,configuration_topology,P1D4/L2,40,0.5147744608495152,-0.5147744608495152
max_edge,payload_cohort,configuration_topology,P1D4/L3,40,0.5136175438656303,-0.5136175438656304
max_edge,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.2985280167323886,-0.2957444426948113
max_edge,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.31233547312184723,-0.3102565637331967
max_edge,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.29432110112749504,-0.29251646440439305
max_edge,payload_cohort,configuration_topology,P2D2_MATCHING/L1,40,0.07520687080202278,0.07355749797792933
max_edge,payload_cohort,configuration_topology,P2D2_MATCHING/L2,40,0.05893533010653897,0.05888218710807631
max_edge,payload_cohort,configuration_topology,P2D2_MATCHING/L3,40,0.05918798504077075,0.057556976145812566
max_edge,payload_cohort,configuration_topology,P4D1/L1,40,0.5133269641598625,-0.5102288406185449
max_edge,payload_cohort,configuration_topology,P4D1/L2,40,0.5097544876182318,-0.5050494759627083
max_edge,payload_cohort,configuration_topology,P4D1/L3,40,0.5095646225292341,-0.5045516332308662
max_edge,payload_cohort,model,deepseek-v2-lite,240,0.4263267912064656,-0.41387366239736567
max_edge,payload_cohort,model,qwen3-8b,240,0.21781256989413506,-0.141375935441164
max_edge,payload_cohort,overall,all,480,0.4047488744199326,-0.3856744669670796
max_edge,topology,configuration,P1D4,120,0.5136595185021281,-0.5136392940764956
max_edge,topology,configuration,P2D2_ALL_TO_ALL,120,0.30179679636017387,-0.2995737923906863
max_edge,topology,configuration,P2D2_MATCHING,120,0.06441886667735595,0.063307567206799
max_edge,topology,configuration,P4D1,120,0.5108959866370115,-0.5066305669559996
max_edge,topology,configuration_topology,P1D4/L1,40,0.5125899896902941,-0.5125294264299158
max_edge,topology,configuration_topology,P1D4/L2,40,0.5147744608495152,-0.5147744608495152
max_edge,topology,configuration_topology,P1D4/L3,40,0.5136175438656303,-0.5136175438656304
max_edge,topology,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.2985280167323886,-0.2957444426948113
max_edge,topology,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.31233547312184723,-0.3102565637331967
max_edge,topology,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.29432110112749504,-0.29251646440439305
max_edge,topology,configuration_topology,P2D2_MATCHING/L1,40,0.07520687080202278,0.07355749797792933
max_edge,topology,configuration_topology,P2D2_MATCHING/L2,40,0.05893533010653897,0.05888218710807631
max_edge,topology,configuration_topology,P2D2_MATCHING/L3,40,0.05918798504077075,0.057556976145812566
max_edge,topology,configuration_topology,P4D1/L1,40,0.5133269641598625,-0.5102288406185449
max_edge,topology,configuration_topology,P4D1/L2,40,0.5097544876182318,-0.5050494759627083
max_edge,topology,configuration_topology,P4D1/L3,40,0.5095646225292341,-0.5045516332308662
max_edge,topology,model,deepseek-v2-lite,240,0.4263267912064656,-0.41387366239736567
max_edge,topology,model,qwen3-8b,240,0.21781256989413506,-0.141375935441164
max_edge,topology,overall,all,480,0.4047488744199326,-0.3856744669670796
max_edge,source_blocked,configuration,P1D4,120,0.5136595185021281,-0.5136392940764956
max_edge,source_blocked,configuration,P2D2_ALL_TO_ALL,120,0.30179679636017387,-0.2995737923906863
max_edge,source_blocked,configuration,P2D2_MATCHING,120,0.06441886667735595,0.063307567206799
max_edge,source_blocked,configuration,P4D1,120,0.5108959866370115,-0.5066305669559996
max_edge,source_blocked,configuration_topology,P1D4/L1,40,0.5125899896902941,-0.5125294264299158
max_edge,source_blocked,configuration_topology,P1D4/L2,40,0.5147744608495152,-0.5147744608495152
max_edge,source_blocked,configuration_topology,P1D4/L3,40,0.5136175438656303,-0.5136175438656304
max_edge,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.2985280167323886,-0.2957444426948113
max_edge,source_blocked,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.31233547312184723,-0.3102565637331967
