model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase67_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v00,36|36|36|36,4,21233664,200.413046583|200.413046583|200.413046583|200.413046583,200.41304658287942,801.6521863315177,801.6521863315177,596.9815020631033,330.3706559728694,473.23861845645126,181.263,453.649,253.23595341712058,143.33250206310333,123.27834402713063,19.589618456451262,19.589618456451262,0.013638297450231372
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v01,40|40|40|40,4,23592960,220.012698379|220.012698379|220.012698379|220.012698379,220.01269837867588,880.0507935147035,880.0507935147035,666.1052221952161,372.08697336161845,539.4202967944981,187.459,496.134,276.12130162132416,169.97122219521611,124.04702663838157,43.28629679449807,43.28629679449807,0.018088863089407367
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v02,48|48|48|48,4,28311552,253.929|253.929|253.929|253.929,253.929,1015.716,1015.716,785.720660551705,444.27515393894635,670.2553525071796,237.6735,608.0125,354.0835000000001,177.70816055170496,163.7373460610537,62.24285250717958,62.24285250717958,0.017473324972759642
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v03,56|56|56|56,4,33030144,280.051854315|280.051854315|280.051854315|280.051854315,280.0518543146644,1120.2074172586576,1120.2074172586576,877.8503008898099,499.8755948572035,797.4257164151018,262.385,704.9155000000001,424.86364568533565,172.93480088980982,205.03990514279656,92.5102164151017,92.5102164151017,0.017369457757703072
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v04,64|64|64|64,4,37748736,302.6805|302.6805|302.6805|302.6805,302.6805,1210.722,1210.722,957.656625390807,548.0388875178141,924.2212319668731,292.585,801.1610000000001,498.48050000000006,156.49562539080694,253.1221124821859,123.06023196687306,123.06023196687306,0.01425868208762047
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v05,36|40|48|56,4,26542080,200.413046583|220.012698379|253.929|280.051854315,280.0518543146644,954.4065992762197,954.4065992762197,736.9027677606092,452.101348606673,686.8011554343864,255.031,634.452,354.4001456853356,102.45076776060921,182.35065139332698,52.349155434386375,52.349155434386375,0.004997225952475439
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v06,36|36|48|48,4,24772608,200.413046583|200.413046583|253.929|253.929,253.929,908.6840931657589,908.6840931657588,694.7326701547054,413.43472301716105,619.6503605778946,236.328,570.79,316.861,123.94267015470541,157.35527698283892,48.86036057789465,48.86036057789465,0.03581527356821245
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v07,40|48|56|64,4,30670848,220.012698379|253.929|280.051854315|302.6805,302.6805,1056.6740526933404,1056.6740526933402,826.7002258946918,503.651141675712,793.9635870159212,282.204,713.57,410.88950000000006,113.13022589469176,209.91885832428807,80.39358701592118,80.39358701592118,0.0007819835475147587
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v08,36|48|48|64,4,28901376,200.413046583|253.929|253.929|302.6805,302.6805,1010.9515465828795,1010.9515465828795,787.8314523676706,490.476548855887,760.0589716379752,281.634,696.5899999999999,393.9094999999999,91.24145236767072,206.1134511441129,63.4689716379753,63.4689716379753,0.00480842389353841
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v09,40|40|40|64,4,27131904,220.012698379|220.012698379|220.012698379|302.6805,302.6805,962.7185951360276,962.7185951360277,746.8285453573183,476.5785902821491,732.068418145408,279.057,668.524,365.8435,78.30454535731826,191.9454097178509,63.54441814540803,63.54441814540803,0.017257420825579985
