model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v00,0,qwen3-8b__p1d4__l1__r0,5,447.462,166.446,0.020651652467165417
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v00,1,qwen3-8b__p1d4__l1__r1,5,453.649,181.263,0.012575707433557548
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v01,0,qwen3-8b__p1d4__l1__r0,5,487.1595,176.5595,0.009580413839672357
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v01,1,qwen3-8b__p1d4__l1__r1,5,496.134,187.459,0.014724891494245967
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v02,0,qwen3-8b__p1d4__l1__r0,5,597.3885,216.69,0.01066911031633595
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v02,1,qwen3-8b__p1d4__l1__r1,5,608.0125,237.6735,0.012646969430780728
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v03,0,qwen3-8b__p1d4__l1__r0,5,692.6714999999999,240.7095,0.008326245942398737
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v03,1,qwen3-8b__p1d4__l1__r1,5,704.9155000000001,262.385,0.009044774919099843
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v04,0,qwen3-8b__p1d4__l1__r0,5,789.7375,263.9415,0.008055029852306543
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v04,1,qwen3-8b__p1d4__l1__r1,5,801.1610000000001,292.585,0.007373435089498367
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v05,0,qwen3-8b__p1d4__l1__r0,5,634.452,238.507,0.01459685002506591
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v05,1,qwen3-8b__p1d4__l1__r1,5,631.2815,255.031,0.007522857658058254
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v06,0,qwen3-8b__p1d4__l1__r0,5,550.347,216.652,0.025856985986754365
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v06,1,qwen3-8b__p1d4__l1__r1,5,570.79,236.328,0.026292538925086824
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v07,0,qwen3-8b__p1d4__l1__r0,5,713.57,264.267,0.014098521194754738
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v07,1,qwen3-8b__p1d4__l1__r1,5,713.012,282.204,0.01754439366988014
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v08,0,qwen3-8b__p1d4__l1__r0,5,693.2405,264.259,0.019778505867178373
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v08,1,qwen3-8b__p1d4__l1__r1,5,696.5899999999999,281.634,0.014848628633230243
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v09,0,qwen3-8b__p1d4__l1__r0,5,668.524,262.905,0.02161923474317624
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v09,1,qwen3-8b__p1d4__l1__r1,5,656.987,279.057,0.01715582038434395
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v00,0,qwen3-8b__p1d4__l2__r0,5,453.617,178.478,0.00473223219202616
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v00,1,qwen3-8b__p1d4__l2__r1,5,451.986,179.366,0.0019925478334030366
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v01,0,qwen3-8b__p1d4__l2__r0,5,497.67100000000005,185.9845,0.0049388357009408175
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v01,1,qwen3-8b__p1d4__l2__r1,5,494.72,186.809,0.002359713922746736
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v02,0,qwen3-8b__p1d4__l2__r0,5,608.1245,232.941,0.0033969456254480885
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v02,1,qwen3-8b__p1d4__l2__r1,5,604.8230000000001,231.7715,0.002988244163705908
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v03,0,qwen3-8b__p1d4__l2__r0,5,701.302,254.9845,0.002919975460606166
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v03,1,qwen3-8b__p1d4__l2__r1,5,701.899,255.46050000000002,0.002610018745624071
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v04,0,qwen3-8b__p1d4__l2__r0,5,798.5899999999999,278.43600000000004,0.0020816588077676337
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v04,1,qwen3-8b__p1d4__l2__r1,5,797.8375,278.94550000000004,0.001338862207569911
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v05,0,qwen3-8b__p1d4__l2__r0,5,628.5515,254.914,0.011628119219015534
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v05,1,qwen3-8b__p1d4__l2__r1,5,617.0535,253.1145,0.007618514434630991
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v06,0,qwen3-8b__p1d4__l2__r0,5,572.399,230.914,0.00601824342092967
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v06,1,qwen3-8b__p1d4__l2__r1,5,565.308,229.575,0.005273030083275387
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v07,0,qwen3-8b__p1d4__l2__r0,5,708.497,280.646,0.004427136556138622
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v07,1,qwen3-8b__p1d4__l2__r1,5,706.416,278.444,0.00851842308625116
