model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v00,447.462,453.649,453.649,0.013638297450231372,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v01,487.1595,496.134,496.134,0.018088863089407367,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v02,597.3885,608.0125,608.0125,0.017473324972759642,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v03,692.6714999999999,704.9155000000001,704.9155000000001,0.017369457757703072,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v04,789.7375,801.1610000000001,801.1610000000001,0.01425868208762047,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v05,634.452,631.2815,634.452,0.004997225952475439,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v06,550.347,570.79,570.79,0.03581527356821245,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v07,713.57,713.012,713.57,0.0007819835475147587,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v08,693.2405,696.5899999999999,696.5899999999999,0.00480842389353841,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__second_blind_v09,668.524,656.987,668.524,0.017257420825579985,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v00,453.617,451.986,453.617,0.0035955442587028894,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v01,497.67100000000005,494.72,497.67100000000005,0.005929620170755422,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v02,608.1245,604.8230000000001,608.1245,0.005428986991972727,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v03,701.302,701.899,701.899,0.0008505497229658113,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v04,798.5899999999999,797.8375,798.5899999999999,0.0009422857786848583,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v05,628.5515,617.0535,628.5515,0.018292852693852526,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v06,572.399,565.308,572.399,0.012388211719447463,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v07,708.497,706.416,708.497,0.002937203686112861,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v08,693.727,694.846,694.846,0.001610428785659021,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__second_blind_v09,642.659,643.566,643.566,0.0014093348623141046,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v00,453.593,451.814,453.593,0.003922018196929839,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v01,496.22749999999996,496.4525,496.4525,0.00045321556442967404,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v02,607.0775,608.2745,608.2745,0.0019678615493498456,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v03,702.2909999999999,702.7695,702.7695,0.0006808775850404061,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v04,799.4765,800.0495000000001,800.0495000000001,0.0007162056847733705,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v05,625.816,623.088,625.816,0.004359108747619213,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v06,568.22,566.383,568.22,0.003232902748935252,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v07,707.406,706.805,707.406,0.0008495828421019883,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v08,695.3295,693.322,695.3295,0.002887120422763668,False
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__second_blind_v09,643.226,643.04,643.226,0.00028916741549631927,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v00,486.202,486.657,486.657,0.0009349500777754848,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v01,536.557,533.3475000000001,536.557,0.005981657121237696,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v02,651.2094999999999,646.1210000000001,651.2094999999999,0.007813921633514008,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v03,744.3435,741.3515,744.3435,0.004019649530089216,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v04,839.077,839.9965,839.9965,0.0010946474181737316,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v05,599.5055,590.79,599.5055,0.014537814915793134,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v06,562.411,560.024,562.411,0.004244227086596713,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v07,686.441,676.12,686.441,0.01503552381049504,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v08,645.912,648.8595,648.8595,0.004542585875678773,False
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__second_blind_v09,609.307,604.436,609.307,0.0079943279824456,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v00,481.712,485.277,485.277,0.007346319730792924,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v01,530.531,527.5025,530.531,0.005708431741029072,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v02,636.4335,648.939,648.939,0.019270686458973778,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v03,739.5899999999999,740.0654999999999,740.0654999999999,0.0006425106966883485,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v04,831.2125,836.527,836.527,0.006353052561363908,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v05,593.4105,593.9965,593.9965,0.0009865377994651699,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v06,561.185,564.843,564.843,0.006476135846598109,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v07,690.62,685.345,690.62,0.007638064347977147,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v08,647.2745,645.0705,647.2745,0.0034050468541553095,False
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__second_blind_v09,601.461,609.541,609.541,0.013255876142868224,False
