model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,phase69_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase69_absolute_error_us,phase69_signed_error_us,cross_replica_relative_spread
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v00,34|34|34|34,4,20054016,189.780173334|189.780173334|189.780173334|189.780173334,189.78017333365082,759.1206933346033,759.1206933346033,559.4816647018324,307.7394215080667,439.87647716048457,432.2804719424646,171.485,425.70550000000003,235.9253266663492,133.77616470183239,117.96607849193333,14.17097716048454,6.574971942464572,6.574971942464572,0.006452817734325891
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v01,38|38|38|38,4,22413312,210.470881853|210.470881853|210.470881853|210.470881853,210.47088185302192,841.8835274120877,841.8835274120877,632.4533052151028,351.7779673243397,506.41048494411905,483.62246929005903,179.439,466.792,256.32111814697805,165.6613052151028,115.01403267566025,39.618484944119075,16.830469290059057,16.830469290059057,0.00972595931378422
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v02,44|44|44|44,4,25952256,237.742740084|237.742740084|237.742740084|237.742740084,237.7427400844917,950.9709603379667,950.9709603379667,728.6352331144076,409.8239727135253,605.0437848932479,559.4677535851279,221.711,557.456,319.71325991550833,171.17923311440757,147.63202728647474,47.587784893247886,2.011753585127849,2.011753585127849,0.0017911727562355333
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v03,52|52|52|52,4,30670848,267.49328654|267.49328654|267.49328654|267.49328654,267.4932865399629,1069.9731461598517,1069.9731461598517,833.5589566780307,473.1456710454997,733.9086702104818,657.9486180302818,246.392,649.852,382.35871346003705,183.70695667803068,176.7063289545003,84.0566702104818,8.096618030281775,8.096618030281775,0.005348910213402435
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v04,60|60|60|60,4,35389440,291.743601199|291.743601199|291.743601199|291.743601199,291.7436011991001,1166.9744047964004,1166.9744047964004,919.084555861042,524.7605585770509,860.851884397552,754.5078113452721,276.892,747.44,455.69639880089994,171.6445558610419,222.67944142294914,113.41188439755194,7.067811345272048,7.067811345272048,0.005829230439901643
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v05,34|38|44|52,4,24772608,189.780173334|210.470881853|237.742740084|267.49328654,267.4932865399629,905.4870818111274,905.4870818111273,693.7290976568322,425.75026106743235,642.317948773352,597.9171497400754,242.677,596.066,328.5727134600371,97.66309765683218,170.31573893256768,46.251948773351955,1.851149740075357,1.851149740075357,0.00518566735898375
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v06,34|34|44|44,4,23003136,189.780173334|189.780173334|237.742740084|237.742740084,237.7427400844917,855.045826836285,855.045826836285,647.0891279945678,382.1838741585847,564.588087229621,534.7916824949627,218.795,523.37,285.6272599155083,123.71912799456777,141.18612584141533,41.218087229621005,11.421682494962738,11.421682494962738,0.01949672315952376
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v07,38|44|52|60,4,28606464,210.470881853|237.742740084|267.49328654|291.743601199,291.7436011991001,1007.4505096765766,1007.4505096765766,783.473044615771,478.79495996881303,738.097532225259,668.046600291941,265.8405,678.466,386.7223988008999,105.00704461577095,199.67104003118698,59.63153222525898,10.419399708059018,-10.419399708059018,0.00980741849996921
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v08,34|44|44|60,4,26836992,189.780173334|237.742740084|237.742740084|291.743601199,291.7436011991001,957.0092547017343,957.0092547017343,740.5928553431336,464.26069550813247,710.8042976002091,650.2211416109681,266.547,660.2305,368.4868988008999,80.36235534313357,195.96980449186754,50.573797600209105,10.009358389031945,-10.009358389031945,0.01366492459830324
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v09,38|38|38|60,4,25657344,210.470881853|210.470881853|210.470881853|291.743601199,291.7436011991001,923.1562467581659,923.1562467581659,711.8143606607092,454.5062084223781,693.1159825261753,638.844677166319,264.7435,642.3415,350.5978988008999,69.47286066070922,187.8352915776219,50.77448252617535,3.4968228336809943,-3.4968228336809943,0.024525116312740233
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v00,34|34|34|34,4,20054016,185.128569485|185.128569485|185.128569485|185.128569485,185.12856948513215,740.5142779405286,740.5142779405286,543.0764670003393,297.8388485523191,435.484551017295,427.888545799275,170.35399999999998,427.3765,242.24793051486787,115.69996700033931,129.5376514476809,8.108051017294997,0.5120457992749721,0.5120457992749721,0.0022720013851956307
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v01,38|38|38|38,4,22413312,205.564986916|205.564986916|205.564986916|205.564986916,205.5649869158612,822.2599476634448,822.2599476634448,615.1512780073245,341.3361557857109,501.778463617299,478.99044796323903,179.833,472.672,267.1070130841388,142.47927800732452,131.33584421428912,29.10646361729897,6.318447963239009,6.318447963239009,0.0026360774490556617
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v02,44|44|44|44,4,25952256,232.501671003|232.501671003|232.501671003|232.501671003,232.50167100322287,930.0066840128915,930.0066840128915,710.1511194096736,398.66876936968526,600.0953006572963,554.5192693491763,219.864,560.8505,328.3488289967771,149.30061940967357,162.18173063031475,39.24480065729631,6.331230650823727,-6.331230650823727,0.0073557926755884176
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v03,52|52|52|52,4,30670848,261.729144845|261.729144845|261.729144845|261.729144845,261.72914484547033,1046.9165793818813,1046.9165793818813,813.230079336577,460.87714878263245,728.466314105898,652.506261925698,244.607,655.14,393.41085515452966,158.090079336577,194.26285121736754,73.32631410589806,2.6337380743019594,-2.6337380743019594,0.0004105992612266164
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v04,60|60|60|60,4,35389440,285.399956995|285.399956995|285.399956995|285.399956995,285.3999569953946,1141.5998279815783,1141.5998279815783,896.7118988810498,511.2586107995994,854.8623767505886,748.5183036983087,266.417,750.981,465.5810430046054,145.73089888104982,239.72238920040058,103.88137675058863,2.462696301691267,-2.462696301691267,0.0018855337218916858
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v05,34|38|44|52,4,24772608,185.128569485|205.564986916|232.501671003|261.729144845,261.72914484547033,884.9243722496865,884.9243722496865,675.5202522122268,414.20032481774615,633.803732870381,589.4029338371045,241.247,588.923,327.1938551545297,86.59725221222675,174.72267518225385,44.88073287038105,0.47993383710445414,0.47993383710445414,0.004742555478390225
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v06,34|34|44|44,4,23003136,185.128569485|185.128569485|232.501671003|232.501671003,232.50167100322287,835.26048097671,835.26048097671,629.6072249113806,371.368370673023,559.2024520113567,529.4060472766985,219.099,534.819,302.31732899677706,94.78822491138067,163.45062932697698,24.38345201135678,5.412952723301487,-5.412952723301487,0.024451262950643114
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v07,38|44|52|60,4,28606464,205.564986916|232.501671003|261.729144845|285.399956995,285.3999569953946,985.1957597599489,985.1957597599489,763.7525573321744,466.1919666133424,730.9511833284497,660.9002513951317,264.7595,666.7705000000001,381.3705430046055,96.98205733217435,200.57853338665768,64.18068332844962,5.8702486048683795,-5.8702486048683795,0.005669117035021924
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v08,34|44|44|60,4,26836992,185.128569485|232.501671003|232.501671003|285.399956995,285.3999569953946,935.5318684869725,935.5318684869724,721.533206151022,451.8816935983681,705.5168298913555,644.9336739021145,265.54150000000004,655.163,369.76304300460544,66.37020615102199,203.28130640163192,50.35382989135553,10.229326097885519,-10.229326097885519,0.0013271506480067043
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v09,38|38|38|60,4,25657344,205.564986916|205.564986916|205.564986916|285.399956995,285.3999569953946,902.0949177429782,902.0949177429782,693.1084023407791,442.2470902342301,685.5271095495805,631.2558041897241,266.36850000000004,615.5174999999999,330.11754300460535,77.59090234077917,173.27040976576984,70.00960954958055,15.738304189724204,15.738304189724204,0.004467785237625251
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v00,34|34|34|34,4,20054016,187.690456115|187.690456115|187.690456115|187.690456115,187.69045611472396,750.7618244588958,750.7618244588958,552.1116853929481,303.2916227580816,437.9034192680759,430.30741405005585,174.4325,429.3155,241.62504388527603,122.79618539294808,126.0238772419184,8.587919268075893,0.9919140500558683,0.9919140500558683,0.0014744401262008508
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v01,38|38|38|38,4,22413312,208.333982253|208.333982253|208.333982253|208.333982253,208.3339822530309,833.3359290121236,833.3359290121236,624.916923883477,347.22974458702384,504.3928786465492,481.6048629924892,179.731,474.708,266.3740177469691,150.20892388347698,127.47825541297618,29.68487864654918,6.896862992489162,6.896862992489162,0.0023888369271215454
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__third_blind_v02,44|44|44|44,4,25952256,235.543650676|235.543650676|235.543650676|235.543650676,235.54365067566943,942.1746027026777,942.1746027026777,720.8795218178669,405.1433838591692,602.9674605586008,557.3914292504808,227.733,561.2945,325.75084932433055,159.58502181786696,156.15111614083077,41.672960558600835,3.903070749519202,-3.903070749519202,0.001321053386412968
