model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v00,425.70550000000003,422.95849999999996,425.70550000000003,0.006452817734325891,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v01,462.252,466.792,466.792,0.00972595931378422,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v02,556.4575,557.456,557.456,0.0017911727562355333,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v03,646.376,649.852,649.852,0.005348910213402435,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v04,743.083,747.44,747.44,0.005829230439901643,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v05,596.066,592.975,596.066,0.00518566735898375,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v06,513.166,523.37,523.37,0.01949672315952376,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v07,671.8119999999999,678.466,678.466,0.00980741849996921,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v08,660.2305,651.2085,660.2305,0.01366492459830324,False
qwen3-8b,P1D4,L1,qwen3-8b__p1d4__third_blind_v09,642.3415,626.588,642.3415,0.024525116312740233,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v00,426.40549999999996,427.3765,427.3765,0.0022720013851956307,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v01,472.672,471.426,472.672,0.0026360774490556617,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v02,556.7249999999999,560.8505,560.8505,0.0073557926755884176,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v03,655.14,654.871,655.14,0.0004105992612266164,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v04,749.565,750.981,750.981,0.0018855337218916858,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v05,586.13,588.923,588.923,0.004742555478390225,False
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__third_blind_v06,521.742,534.819,534.819,0.024451262950643114,False
