configuration,topology_level,slice_type,slice_value,cases,h0_cost_mape,dnn_cost_mape,cost_mape_ratio,h0_cost_wape,dnn_cost_wape,cost_wape_ratio,h0_signed_bias,dnn_signed_bias,strict_mape_and_wape_improvement
P1D1,L1,model,deepseek-v2-lite,300,0.03783035897007294,0.03718774139438121,0.9830131779558292,0.027642765834532654,0.027011366914693816,0.9771586199579904,-0.0021382721053509256,0.0045292780919699615,True
P1D1,L1,model,llama-3.2-3b-instruct,300,0.01879628152492681,0.015587937526782471,0.8293096432988849,0.018154529686033146,0.01501148033911653,0.8268724444382239,-0.008819845322244207,0.006241993836298959,True
P1D1,L1,model,mixtral-8x7b-instruct-v0.1,300,0.018926346882524835,0.013597365373322049,0.7184358110796771,0.01827373459541404,0.013230422939378681,0.7240130839318951,-0.008477874181538702,0.0017156173600668375,True
P1D1,L1,model,qwen2.5-14b-instruct,300,0.019375638817527137,0.01400877187535489,0.7230095486029913,0.01873882594648454,0.01359441949373008,0.7254680486682482,-0.010212759067536928,0.0017435503217686618,True
P1D1,L1,model,qwen3-30b-a3b,300,0.015693107082078096,0.013838033506880718,0.8817905488380999,0.015244633033886072,0.013365204883722677,0.876715422012077,-0.00946651125728853,0.0005322100891269343,True
P1D1,L1,model,qwen3-8b,300,0.01889348935639042,0.013023147281547277,0.6892928582904887,0.018279610617117074,0.012740549336563406,0.696981440328555,-0.008921947392250468,0.0015287705728472918,True
P1D1,L1,overall,all,1800,0.021585870438920043,0.017873832826378104,0.8280339158411231,0.02047339623615263,0.017101516717584992,0.8353043393643964,-0.007380441643838956,0.002856931861898883,True
P1D1,L1,segment,burstgpt_1,600,0.02246218510219756,0.019704390690781802,0.8772250162275641,0.019822982663205778,0.01776560140510645,0.8962123262147571,-0.004565996959377897,0.0031157834043027146,True
P1D1,L1,segment,burstgpt_2,600,0.020479567734552586,0.014151862506278175,0.6910234966728095,0.020271586434495024,0.013746584634335523,0.6781208110552083,-0.01215891471501252,0.0016287769119765383,True
P1D1,L1,segment,burstgpt_3,600,0.021815858480009977,0.01976524528207433,0.9060035524242771,0.021322537497919458,0.019041654392006887,0.8930294714625251,-0.006599543337951761,0.0035504598738500407,True
P1D1,L2,model,deepseek-v2-lite,300,0.03859801268197741,0.037791417829617806,0.9791026844048831,0.028075370894504622,0.027187305582438672,0.9683685278672569,-0.0011660760215988835,0.004643681749763264,True
P1D1,L2,model,llama-3.2-3b-instruct,300,0.018851906254776944,0.01573838159282552,0.8348429798094037,0.018207639303384662,0.015149819159594527,0.8320583963225969,-0.008656222927708979,0.0063663101032259166,True
P1D1,L2,model,mixtral-8x7b-instruct-v0.1,300,0.019000191122079287,0.013688002590851895,0.7204139423074365,0.01834401625778225,0.013313395428233307,0.725762299877228,-0.008393421547492282,0.0018127881343892465,True
P1D1,L2,model,qwen2.5-14b-instruct,300,0.01951570765345851,0.014097537747307879,0.7223687707173436,0.018868336034870037,0.013679881378339464,0.7250179005217028,-0.010253573013600605,0.0017765917329247013,True
P1D1,L2,model,qwen3-30b-a3b,300,0.015845903925188178,0.013980743525796072,0.882293846523498,0.015388406187090482,0.01349800358611012,0.8771541004313856,-0.009554410582348318,0.0005300898964374607,True
P1D1,L2,model,qwen3-8b,300,0.01895273503462307,0.01307364459859016,0.6898025311231903,0.018336893381889693,0.01278734858366279,0.6973563251609527,-0.00887549136305778,0.001603511182124348,True
P1D1,L2,overall,all,1800,0.02179407611201723,0.01806162131416489,0.8287399392996397,0.020673694449038722,0.017237559422180464,0.8337919216457206,-0.007093210187149338,0.002935703718160429,True
P1D1,L2,segment,burstgpt_1,600,0.0226660481745253,0.01990642578971933,0.8782486314527669,0.020052005787077463,0.017939900461906678,0.8946686257924414,-0.0042098414858190636,0.0031027190751682027,True
P1D1,L2,segment,burstgpt_2,600,0.02067067731598189,0.01433287523499933,0.6933916589137415,0.020442897327909527,0.013895044287816335,0.6797003411471534,-0.01203362493032432,0.0017781153431622827,True
P1D1,L2,segment,burstgpt_3,600,0.022045502845544507,0.019945562917776015,0.9047452016639802,0.021515166898601938,0.019118770163169013,0.888618259540964,-0.006271920847110224,0.003668138221453529,True
P1D1,L3,model,deepseek-v2-lite,300,0.03853130287874794,0.03762007374710062,0.9763509390140579,0.028034702121828785,0.02710449716358211,0.9668195169613597,-0.00152884070854199,0.004591554932667811,True
P1D1,L3,model,llama-3.2-3b-instruct,300,0.018646538823685,0.015615499496446809,0.8374476166382075,0.01801676320550234,0.015038038920232205,0.8346692881904321,-0.008512742552021314,0.00632280968946141,True
P1D1,L3,model,mixtral-8x7b-instruct-v0.1,300,0.01900235288371628,0.01368954248334003,0.7204130229089174,0.01834598648363169,0.013314905018779877,0.7257666427836656,-0.00839744420305597,0.0018084476171453196,True
P1D1,L3,model,qwen2.5-14b-instruct,300,0.01966718723989136,0.014179342539908735,0.7209644351759912,0.019009666388545933,0.013754123431582848,0.7235331304851433,-0.010452568638924005,0.0016861410987454928,True
P1D1,L3,model,qwen3-30b-a3b,300,0.015804656383139538,0.013868991576114577,0.8775256633171769,0.01534929490643792,0.013393093303132422,0.8725543019904443,-0.009596548322199073,0.0005535656674574576,True
P1D1,L3,model,qwen3-8b,300,0.01906885644245222,0.013123538771814942,0.68821844725825,0.01844435320664133,0.012833321778048393,0.6957859478329362,-0.00900050144344075,0.0015678526788956923,True
P1D1,L3,overall,all,1800,0.021786815775272056,0.018016164769120952,0.8269296878880861,0.020666259192596185,0.017190875780900568,0.8318329708677662,-0.007248460489411058,0.0028895980663405933,True
P1D1,L3,segment,burstgpt_1,600,0.022694999890011815,0.019873772091948086,0.8756894553101379,0.020102067380706804,0.017929517331098894,0.8919240489814972,-0.004378448321287262,0.003097320153792104,True
P1D1,L3,segment,burstgpt_2,600,0.020669689946886623,0.01429534711068855,0.6916091701144162,0.020433990490647983,0.013847445987905858,0.6776672424430956,-0.012179425654843444,0.0016521431065061676,True
P1D1,L3,segment,burstgpt_3,600,0.02199575748891773,0.01987937510472622,0.9037822459509375,0.021447855393700404,0.019038038149316545,0.8876429740806784,-0.006414133606398313,0.0036429509163646403,True
P1D2,L1,model,deepseek-v2-lite,300,0.04681039859278581,0.04642658260742014,0.9918006255681656,0.030782138604521673,0.029933676086937998,0.972436531181786,-0.0015680728862600077,0.0050207732991962295,True
