configuration,slice_type,slice_value,cases,h0_agreement_rate,dnn_agreement_rate,agreement_delta,h0_mean_teacher_regret,dnn_mean_teacher_regret,regret_delta,weak_agreement_and_regret_improvement
P1D1,model,deepseek-v2-lite,300,0.9666666666666667,0.98,0.013333333333333308,3.918027346888279e-05,1.1119583202315992e-05,-2.8060690266566794e-05,True
P1D1,model,llama-3.2-3b-instruct,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D1,model,mixtral-8x7b-instruct-v0.1,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D1,model,qwen2.5-14b-instruct,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D1,model,qwen3-30b-a3b,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D1,model,qwen3-8b,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D1,overall,all,1800,0.9944444444444445,0.9966666666666667,0.0022222222222222365,6.530045578147131e-06,1.8532638670526653e-06,-4.6767817110944654e-06,True
P1D1,segment,burstgpt_1,600,0.9866666666666667,0.9916666666666667,0.0050000000000000044,1.811920683761628e-05,5.229795598953412e-06,-1.2889411238662869e-05,True
P1D1,segment,burstgpt_2,600,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D1,segment,burstgpt_3,600,0.9966666666666667,0.9983333333333333,0.0016666666666665941,1.4709298968251143e-06,3.299960022045842e-07,-1.14093389462053e-06,True
P1D2,model,deepseek-v2-lite,300,0.9666666666666667,0.98,0.013333333333333308,4.168941110576647e-05,1.177413835314193e-05,-2.9915272752624537e-05,True
P1D2,model,llama-3.2-3b-instruct,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D2,model,mixtral-8x7b-instruct-v0.1,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D2,model,qwen2.5-14b-instruct,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D2,model,qwen3-30b-a3b,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D2,model,qwen3-8b,300,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D2,overall,all,1800,0.9944444444444445,0.9966666666666667,0.0022222222222222365,6.948235184294411e-06,1.9623563921903218e-06,-4.9858787921040895e-06,True
P1D2,segment,burstgpt_1,600,0.9866666666666667,0.9916666666666667,0.0050000000000000044,1.9279855824411077e-05,5.533828985988993e-06,-1.3746026838422084e-05,True
P1D2,segment,burstgpt_2,600,1.0,1.0,0.0,0.0,0.0,0.0,True
P1D2,segment,burstgpt_3,600,0.9966666666666667,0.9983333333333333,0.0016666666666665941,1.564849728472156e-06,3.5324019058197273e-07,-1.2116095378901833e-06,True
