method,configuration,slice_type,slice_value,cases,agreement_rate,mean_teacher_regret,max_teacher_regret,predicted_choice_wave_stability_rate,teacher_choice_wave_stability_rate
h0,P1D1,model,deepseek-v2-lite,300,0.9666666666666667,3.918027346888279e-05,0.003946403950787289,1.0,1.0
h0,P1D1,model,llama-3.2-3b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0,P1D1,model,mixtral-8x7b-instruct-v0.1,300,1.0,0.0,0.0,1.0,1.0
h0,P1D1,model,qwen2.5-14b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0,P1D1,model,qwen3-30b-a3b,300,1.0,0.0,0.0,1.0,1.0
h0,P1D1,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0,P1D1,overall,all,1800,0.9944444444444445,6.530045578147131e-06,0.003946403950787289,1.0,1.0
h0,P1D1,segment,burstgpt_1,600,0.9866666666666667,1.811920683761628e-05,0.003946403950787289,1.0,1.0
h0,P1D1,segment,burstgpt_2,600,1.0,0.0,0.0,1.0,1.0
h0,P1D1,segment,burstgpt_3,600,0.9966666666666667,1.4709298968251143e-06,0.0006845603367723181,1.0,1.0
h0,P1D2,model,deepseek-v2-lite,300,0.9666666666666667,4.168941110576647e-05,0.004191699655660409,0.9466666666666667,0.9733333333333334
h0,P1D2,model,llama-3.2-3b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0,P1D2,model,mixtral-8x7b-instruct-v0.1,300,1.0,0.0,0.0,1.0,1.0
h0,P1D2,model,qwen2.5-14b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0,P1D2,model,qwen3-30b-a3b,300,1.0,0.0,0.0,1.0,1.0
h0,P1D2,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0,P1D2,overall,all,1800,0.9944444444444445,6.948235184294411e-06,0.004191699655660409,0.9911111111111112,0.9955555555555555
h0,P1D2,segment,burstgpt_1,600,0.9866666666666667,1.9279855824411077e-05,0.004191699655660409,0.99,0.99
h0,P1D2,segment,burstgpt_2,600,1.0,0.0,0.0,1.0,1.0
h0,P1D2,segment,burstgpt_3,600,0.9966666666666667,1.564849728472156e-06,0.0007269657227341101,0.9833333333333333,0.9966666666666667
h0,P1D4,model,deepseek-v2-lite,300,0.9666666666666667,4.49974408490181e-06,0.00044834578906434794,0.81,0.85
h0,P1D4,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0,P1D4,overall,all,600,0.9833333333333333,2.249872042450905e-06,0.00044834578906434794,0.905,0.925
h0,P1D4,segment,burstgpt_1,200,0.96,6.2395313857100245e-06,0.00044834578906434794,0.83,0.885
h0,P1D4,segment,burstgpt_2,200,1.0,0.0,0.0,0.985,0.99
h0,P1D4,segment,burstgpt_3,200,0.99,5.100847416426918e-07,7.93536654951795e-05,0.9,0.9
h0,P2D1,model,deepseek-v2-lite,300,0.9666666666666667,4.168941110576647e-05,0.004191699655660409,0.9466666666666667,0.9733333333333334
h0,P2D1,model,llama-3.2-3b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0,P2D1,model,mixtral-8x7b-instruct-v0.1,300,1.0,0.0,0.0,1.0,1.0
h0,P2D1,model,qwen2.5-14b-instruct,300,1.0,0.0,0.0,1.0,1.0
h0,P2D1,model,qwen3-30b-a3b,300,1.0,0.0,0.0,1.0,1.0
