configuration,role_method,cost_rows,placement_cases,mean_relative_cost_range,max_relative_cost_range,placement_stability_rate,official_policy,diagnostic_policies_selected
P1D1,h0,5400,1800,0.0,0.0,1.0,bin_aligned,False
P1D1,h0_plus_dnn_residual,5400,1800,0.0,0.0,1.0,bin_aligned,False
P1D1,teacher,5400,1800,0.0,0.0,1.0,bin_aligned,False
P1D2,h0,5400,1800,0.01914796787659706,0.43566976177967043,0.9911111111111112,bin_aligned,False
P1D2,h0_plus_dnn_residual,5400,1800,0.014569143039449154,0.2993869022824796,0.9944444444444445,bin_aligned,False
P1D2,teacher,5400,1800,0.01309763337809462,0.24269683933674496,0.9955555555555555,bin_aligned,False
P2D1,h0,5400,1800,0.01914796787659706,0.43566976177967043,0.9911111111111112,bin_aligned,False
P2D1,h0_plus_dnn_residual,5400,1800,0.014569143039449154,0.2993869022824796,0.9944444444444445,bin_aligned,False
P2D1,teacher,5400,1800,0.01309763337809462,0.24269683933674496,0.9955555555555555,bin_aligned,False
P1D4,h0,1800,600,0.03957912861321144,0.5235280167629375,0.905,bin_aligned,False
P1D4,h0_plus_dnn_residual,1800,600,0.03399164556562395,0.3803475354405028,0.9166666666666666,bin_aligned,False
P1D4,teacher,1800,600,0.03055910409737053,0.2852828440219838,0.925,bin_aligned,False
P4D1,h0,1800,600,0.03950659931660718,0.4487074365478945,0.895,bin_aligned,False
P4D1,h0_plus_dnn_residual,1800,600,0.03493237077769968,0.4044356044239876,0.9133333333333333,bin_aligned,False
P4D1,teacher,1800,600,0.03186897637548605,0.31647727359623645,0.9183333333333333,bin_aligned,False
P2D2_MATCHING,h0,1800,600,0.15183235980615134,0.9256235791219317,0.9733333333333334,bin_aligned,False
P2D2_MATCHING,h0_plus_dnn_residual,1800,600,0.1331579937953676,1.0680102686001438,0.9833333333333333,bin_aligned,False
P2D2_MATCHING,teacher,1800,600,0.13041870726616964,0.9815086041577907,0.9866666666666667,bin_aligned,False
P2D2_ALL_TO_ALL,h0,1800,600,0.16123704635508754,1.6926477001408682,0.7366666666666667,bin_aligned,False
P2D2_ALL_TO_ALL,h0_plus_dnn_residual,1800,600,0.13972955522140384,1.09952544285424,0.7133333333333334,bin_aligned,False
P2D2_ALL_TO_ALL,teacher,1800,600,0.13832572786288747,0.9658724518434845,0.6766666666666666,bin_aligned,False
