configuration,topology,cases,h0_cost_wape,dnn_cost_wape,strict_improvement
P1D1,L1,1800,0.02047339623615263,0.017101516717584992,True
P1D1,L2,1800,0.020673694449038722,0.017237559422180464,True
P1D1,L3,1800,0.020666259192596185,0.017190875780900568,True
P1D2,L1,1800,0.023570723550468735,0.01989473672816769,True
P1D2,L2,1800,0.023875392627415396,0.02013279609078011,True
P1D2,L3,1800,0.023824529430494904,0.020031069533690226,True
P1D4,L1,600,0.027582955486805647,0.02516326034606613,True
P1D4,L2,600,0.027639439072891937,0.02520739414588076,True
P1D4,L3,600,0.02763144775105188,0.02518452876595736,True
P2D1,L1,1800,0.023570723550468735,0.01989473672816769,True
P2D1,L2,1800,0.023875392627415396,0.02013279609078011,True
P2D1,L3,1800,0.023824529430494904,0.020031069533690226,True
P2D2_ALL_TO_ALL,L1,600,0.025735765572534586,0.02359265730592281,True
P2D2_ALL_TO_ALL,L2,600,0.025806685635364434,0.023674696209370294,True
P2D2_ALL_TO_ALL,L3,600,0.02579957853489863,0.02363353981232189,True
P2D2_MATCHING,L1,600,0.02519928811994892,0.022835524346351294,True
P2D2_MATCHING,L2,600,0.025269240205133717,0.02286090489593285,True
P2D2_MATCHING,L3,600,0.025265301964693797,0.022847450350865415,True
P4D1,L1,600,0.026981186540717583,0.024659707605207932,True
P4D1,L2,600,0.02706480000325074,0.02473224543330388,True
P4D1,L3,600,0.027052285460851658,0.02469520047463096,True
