model,phase,tp,left_workload,right_workload,left_calls,right_calls,left_total_payload_bytes,right_total_payload_bytes,relative_payload_gap,calls_ratio,histogram_shape_distance,left_histogram_json,right_histogram_json
deepseek-v2-lite,decode,2,decode-tp2-b1-l128-m512,decode-tp2-b16-l128-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,2,decode-tp2-b1-l2048-m512,decode-tp2-b16-l2048-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,2,decode-tp2-b1-l8192-m512,decode-tp2-b16-l8192-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,4,decode-tp4-b1-l128-m512,decode-tp4-b16-l128-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,4,decode-tp4-b1-l2048-m512,decode-tp4-b16-l2048-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,4,decode-tp4-b1-l8192-m512,decode-tp4-b16-l8192-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,8,decode-tp8-b1-l128-m512,decode-tp8-b16-l128-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,8,decode-tp8-b1-l2048-m512,decode-tp8-b16-l2048-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
deepseek-v2-lite,decode,8,decode-tp8-b1-l8192-m512,decode-tp8-b16-l8192-m32,28105,1705,115118080,111738880,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:4096"":28105}","{""all_reduce:65536"":1705}"
qwen3-8b,decode,2,decode-tp2-b1-l128-m512,decode-tp2-b16-l128-m32,37303,2263,305586176,296615936,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:131072"":2263}"
qwen3-8b,decode,2,decode-tp2-b1-l2048-m512,decode-tp2-b16-l2048-m32,37303,2263,305586176,296615936,0.029354207436399216,16.483870967741936,1.0,"{""all_reduce:8192"":37303}","{""all_reduce:131072"":2263}"
