timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 06:33:58.145, 0, P0, 37, 243.94 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.147, 1, P0, 34, 240.95 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.150, 2, P0, 37, 237.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.152, 3, P0, 33, 239.72 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.155, 4, P0, 34, 237.02 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.157, 5, P0, 37, 245.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.160, 6, P0, 34, 243.53 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:58.162, 7, P0, 38, 244.82 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 0, P0, 37, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 1, P0, 34, 241.10 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 2, P0, 37, 237.51 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 3, P0, 33, 239.75 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 4, P0, 34, 237.03 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 5, P0, 37, 245.75 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 6, P0, 34, 243.67 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:33:59.165, 7, P0, 38, 244.75 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:34:00.165, 0, P0, 37, 244.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:34:00.165, 1, P0, 34, 241.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:34:00.165, 2, P0, 37, 237.40 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:34:00.165, 3, P0, 33, 239.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:34:00.165, 4, P0, 34, 236.98 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
