timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/31 06:44:33.214, 0, P0, 37, 244.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.216, 1, P0, 34, 241.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.219, 2, P0, 37, 237.65 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.221, 3, P0, 33, 239.85 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.223, 4, P0, 34, 236.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.226, 5, P0, 37, 245.83 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.228, 6, P0, 34, 243.65 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:33.231, 7, P0, 38, 245.15 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 0, P0, 37, 244.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 1, P0, 34, 241.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 2, P0, 37, 237.64 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 3, P0, 33, 239.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 4, P0, 34, 236.99 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 5, P0, 37, 245.86 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 6, P0, 34, 243.62 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:34.234, 7, P0, 38, 245.09 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 0, P0, 37, 244.35 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 1, P0, 34, 241.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 2, P0, 37, 237.65 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 3, P0, 33, 239.83 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 4, P0, 34, 236.90 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 5, P0, 37, 245.80 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 6, P0, 33, 243.65 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:35.234, 7, P0, 38, 245.01 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/07/31 06:44:36.234, 0, P0, 37, 244.61 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:36.234, 1, P0, 34, 241.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:36.234, 2, P0, 37, 237.86 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:36.235, 3, P0, 33, 239.95 W, 1965 MHz, 3996 MHz, 0 %, 2 MiB
2026/07/31 06:44:36.235, 4, P0, 34, 236.97 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 06:44:36.236, 5, P0, 37, 245.84 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 06:44:36.236, 6, P0, 34, 243.71 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 06:44:36.236, 7, P0, 38, 245.11 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 06:44:37.236, 0, P0, 37, 244.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:37.241, 1, P0, 34, 241.24 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:37.251, 2, P0, 37, 237.71 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:37.252, 3, P0, 33, 240.06 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:37.253, 4, P0, 34, 237.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:37.253, 5, P0, 37, 245.98 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:37.254, 6, P0, 33, 243.69 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 06:44:37.301, 7, P0, 38, 245.09 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/07/31 06:44:38.312, 0, P0, 37, 244.41 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.320, 1, P0, 34, 241.14 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.331, 2, P0, 37, 237.62 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.332, 3, P0, 33, 239.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.333, 4, P0, 34, 237.03 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.333, 5, P0, 37, 246.03 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.334, 6, P0, 33, 244.05 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:38.381, 7, P0, 38, 245.10 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.392, 0, P0, 37, 244.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.392, 1, P0, 34, 241.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.392, 2, P0, 37, 237.58 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.392, 3, P0, 33, 239.95 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.393, 4, P0, 34, 236.94 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.393, 5, P0, 37, 245.87 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.393, 6, P0, 33, 243.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:39.393, 7, P0, 38, 245.29 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 0, P0, 37, 244.21 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 1, P0, 34, 241.04 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 2, P0, 37, 237.54 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 3, P0, 33, 239.83 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 4, P0, 34, 236.82 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 5, P0, 37, 245.80 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 6, P0, 33, 243.58 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:40.393, 7, P0, 38, 244.89 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 0, P0, 37, 244.15 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 1, P0, 34, 241.08 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 2, P0, 37, 237.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 3, P0, 33, 239.83 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 4, P0, 34, 236.81 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 5, P0, 37, 245.74 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 6, P0, 33, 243.58 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:41.393, 7, P0, 38, 244.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 0, P0, 37, 244.07 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 1, P0, 34, 241.02 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 2, P0, 37, 237.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 3, P0, 33, 239.82 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 4, P0, 34, 236.83 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 5, P0, 37, 245.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 6, P0, 33, 243.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:42.393, 7, P0, 38, 244.85 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.393, 0, P0, 37, 244.17 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.393, 1, P0, 34, 241.04 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.394, 2, P0, 37, 237.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.394, 3, P0, 33, 239.78 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.394, 4, P0, 34, 236.84 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.394, 5, P0, 37, 245.64 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.394, 6, P0, 33, 243.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:43.394, 7, P0, 38, 244.85 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 0, P0, 37, 244.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 1, P0, 34, 240.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 2, P0, 37, 237.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 3, P0, 33, 239.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 4, P0, 34, 236.85 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 5, P0, 37, 245.69 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 6, P0, 33, 243.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:44.394, 7, P0, 38, 244.81 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 0, P0, 37, 244.12 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 1, P0, 34, 240.93 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 2, P0, 37, 237.43 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 3, P0, 33, 239.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 4, P0, 34, 236.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 5, P0, 37, 245.60 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 6, P0, 33, 243.53 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:45.394, 7, P0, 38, 244.87 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/07/31 06:44:46.394, 0, P0, 36, 243.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
