window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,normality_distance,normality_pool_quantile,selection_cluster,selection_cluster_members,selection_distance_to_medoid_mean,role_order_sha256,role,profile_id
burstgpt_1-1712105000,burstgpt,burstgpt_1,train,1712105000,300,114,0.48190680513789197,0.95,0,3879,1118.9079511089244,6a6f98d012e1feb54455e6970057260ed3c4c568397cf3f3e5366e88cbd20fd2,blind_confirmation,phase41_burstgpt_1_blind_confirmation_01
burstgpt_1-1737605000,burstgpt,burstgpt_1,train,1737605000,300,204,4.408785546193332,0.95,3,184,1793.702671268316,923b6aa041f990be5b64b3fb1a0501e3ddfe7beb8d875034cd1a8a1be9b4dc56,blind_confirmation,phase41_burstgpt_1_blind_confirmation_02
burstgpt_1-1979705000,burstgpt,burstgpt_1,train,1979705000,300,58,11.554386275791117,0.95,2,136,2180.539882837769,c7f49e43f09cb4f1be95233069101f2f74f6429ee379d9b178f367b1d4effad1,blind_confirmation,phase41_burstgpt_1_blind_confirmation_04
burstgpt_1-4735205000,burstgpt,burstgpt_1,train,4735205000,300,245,0.8866456614669399,0.95,1,535,4500.193862161384,bb17de8da5e4a12058a10356a8ec25eb65b15b534e3f7d9b3cfe637249bd1990,blind_confirmation,phase41_burstgpt_1_blind_confirmation_03
burstgpt_2-5610614000,burstgpt,burstgpt_2,validation,5610614000,300,746,0.28631840157314187,0.95,0,5012,61.254464839096656,6b9db09df62a0ed8c27a7adbc4e782a9ec08284ee29d56db3954794ed7d8765b,blind_confirmation,phase41_burstgpt_2_blind_confirmation_03
burstgpt_2-6601814000,burstgpt,burstgpt_2,validation,6601814000,300,37,3.709168526696191,0.95,1,45,606.5756375804046,d41c872e14c3bc74f65a03e8af175cb8756a277b20c12efb5ad7d7ab3d82e0f8,blind_confirmation,phase41_burstgpt_2_blind_confirmation_04
burstgpt_2-6640514000,burstgpt,burstgpt_2,validation,6640514000,300,470,1.9299049849594376,0.95,3,401,295.25200890113115,4892253be5467f86a5a9b252949328aa800666e50a7588556f5a701ccc97e51e,blind_confirmation,phase41_burstgpt_2_blind_confirmation_01
burstgpt_2-7653014000,burstgpt,burstgpt_2,validation,7653014000,300,492,3.366080530938202,0.95,2,617,105.89286171111021,5aa341cfab1a91afaafff09bffb4acdf8d8d1f6074ddf2a5f25c71e1469286d2,blind_confirmation,phase41_burstgpt_2_blind_confirmation_02
burstgpt_3-23939210000,burstgpt,burstgpt_3,temporal_test,23939210000,300,177,0.6007212360634335,0.95,0,9614,83.94432244408594,3ce7ab53e492520ec63232f3fcb9542247dc097d97d21c0091cc620324501ec4,blind_confirmation,phase41_burstgpt_3_blind_confirmation_02
burstgpt_3-27440210000,burstgpt,burstgpt_3,temporal_test,27440210000,300,38,3.231140884583461,0.95,1,196,185.27789543177667,2a2e2d02f659b86856162c0b8c46af415675b7e3c80d04d05029ec2c970be93d,blind_confirmation,phase41_burstgpt_3_blind_confirmation_01
burstgpt_3-27964310000,burstgpt,burstgpt_3,temporal_test,27964310000,300,77,1.5784987117178517,0.95,3,1657,159.45377144344076,9c9b64e8965abbd511d641849ddcd58ba06572657a03310132b8ad6f9691b19b,blind_confirmation,phase41_burstgpt_3_blind_confirmation_03
burstgpt_3-28140110000,burstgpt,burstgpt_3,temporal_test,28140110000,300,229,2.8080198964198204,0.95,2,838,145.80929373958747,b7b6fa82be596551840563d21138f5068846650000d472ccaa56dc9052f4f34f,blind_confirmation,phase41_burstgpt_3_blind_confirmation_04
